N	3gram	Vygotskiy_	Komedia
1	в том что	21	29
2	до сих пор	8	16
3	то же время	2	16
4	в то же	2	16
5	о том что	9	13
6	в самом деле	13	13
7	для того чтобы	11	11
8	в то время	6	11
9	и т п	23	11
10	в свою очередь	3	10
11	едва ли не	2	10
12	то время как	6	9
13	с одной стороны	6	9
14	вместе с тем	3	9
15	с другой стороны	7	8
16	и в самом	3	8
17	бы то ни	2	7
18	в конце концов	6	7
19	во всяком случае	7	7
20	в связи с	2	6
21	с точки зрения	12	6
22	до тех пор	2	6
23	в отличие от	4	6
24	то же самое	8	5
25	и т д	10	5
26	в этом отношении	7	5
27	том что он	2	5
28	тем не менее	6	5
29	что и в	5	4
30	к тому что	2	4
31	именно потому что	2	4
32	в этой области	3	4
33	можно было бы	2	4
34	и тот же	2	4
35	в одном из	2	4
36	не в состоянии	4	4
37	по сравнению с	3	4
38	что у него	3	4
39	более или менее	3	3
40	в чем же	2	3
41	таким образом в	2	3
42	хотя и не	2	3
43	на то что	12	3
44	один и тот	2	3
45	состоит в том	3	3
46	в какой мере	3	3
47	не означает что	2	2
48	только в том	4	2
49	подобно тому как	7	2
50	в зависимости от	6	2
51	к одному и	2	2
52	точно так же	6	2
53	так и в	2	2
54	в основе своей	2	2
55	в отношении к	3	2
56	и в том	2	2
57	представление о том	2	2
58	на то чтобы	3	2
59	так же как	8	2
60	и таким образом	4	2
61	и тем что	2	2
62	в конечном счете	6	2
63	только потому что	2	2
64	этой точки зрения	7	2
65	том что она	5	2
66	в этом смысле	3	2
67	но в их	2	2
68	как и в	5	2
69	с этой точки	5	2
70	как будто бы	2	2
71	таким образом и	3	2
