N	3gram	Losev_Prob	TeoriaLi
1	в том что	17	10
2	в то же	10	8
3	в отличие от	2	7
4	с другой стороны	11	6
5	более или менее	2	6
6	того или иного	5	6
7	так или иначе	2	5
8	в данном случае	12	5
9	для того чтобы	4	5
10	не может быть	5	5
11	тот или иной	4	3
12	с точки зрения	9	3
13	с одной стороны	2	3
14	в этом смысле	5	3
15	тем не менее	23	3
16	подобно тому как	2	3
17	той или иной	16	3
18	можно сказать что	2	3
19	тех или иных	7	3
20	в связи с	9	3
21	имеем в виду	4	3
22	ту или иную	3	2
23	то ни было	4	2
24	одно и то	4	2
25	бы то ни	5	2
26	не только не	5	2
27	и то же	5	2
28	в таком случае	7	2
29	этой точки зрения	2	2
30	том что он	2	2
31	мы имеем дело	2	2
32	и тем самым	3	2
33	и в то	2	2
34	как и в	2	2
35	может быть и	3	2
36	сама по себе	11	2
