N	2gram	Trubetskoy	FransuaR
1	и в	14	367
2	в этом	17	112
3	и не	19	101
4	таким образом	11	100
5	в его	4	98
6	прежде всего	8	92
7	не только	9	87
8	мы уже	2	85
9	но и	10	84
10	как бы	4	82
11	все эти	2	79
12	как и	4	76
13	в нем	5	75
14	но в	2	75
15	и на	5	72
16	в том	17	71
17	то же	11	66
18	в этой	4	65
19	и с	7	64
20	во время	2	63
21	в то	10	63
22	все это	6	62
23	во всех	5	62
24	же время	10	55
25	что в	4	52
26	в своем	6	51
27	только в	5	48
28	так как	4	46
29	том что	9	45
30	то что	13	41
31	жизни и	4	40
32	у него	2	40
33	в самом	3	38
34	точки зрения	11	37
35	в ней	2	37
36	может быть	9	35
37	о том	7	35
38	и даже	2	34
39	в себе	9	34
40	в конце	3	32
41	он не	5	32
42	для него	6	32
43	в своей	5	31
44	так же	2	30
45	никогда не	5	30
46	и потому	3	30
47	потому что	5	30
48	в этих	2	29
49	не может	22	29
50	еще не	3	29
51	его в	4	29
52	не в	4	29
53	при этом	5	29
54	связи с	3	29
55	что он	6	29
56	из них	3	28
57	всех этих	3	28
58	и к	6	28
59	сих пор	5	27
60	до сих	5	27
61	все же	4	27
62	все они	3	26
63	на самом	6	25
64	в области	2	25
65	но это	2	25
66	того чтобы	8	24
67	и от	2	24
68	в частности	2	24
69	но не	4	24
70	в большинстве	3	24
71	и для	6	23
72	в их	4	23
73	с ним	2	23
74	есть и	2	23
75	к нему	2	23
76	большинстве случаев	2	23
77	и о	2	22
78	и во	3	22
79	а в	5	22
80	что и	3	22
81	тем что	3	22
82	вместе с	4	22
83	не было	3	22
84	именно в	3	21
85	в своих	6	21
86	в качестве	3	21
87	что это	3	21
88	и наконец	2	21
89	ни в	2	21
90	культуры и	2	21
91	и как	3	21
92	одной из	3	20
93	в значительной	3	20
94	с точки	9	20
95	самом деле	7	20
96	их в	2	19
97	во всем	4	19
98	было бы	5	19
99	это в	2	18
100	одна из	3	18
101	для того	6	17
102	того что	3	17
103	можно было	4	17
104	в результате	2	17
105	и вот	2	17
106	конечно не	5	17
107	а не	2	17
108	между тем	5	16
109	не подлежит	2	16
110	в начале	2	16
111	в другом	3	16
112	как на	8	15
113	из этих	3	15
114	все что	4	14
115	по существу	5	14
116	в данном	7	14
117	несмотря на	3	14
118	и по	3	14
119	в котором	2	14
120	что все	3	13
121	на этой	2	13
122	в других	2	13
123	или в	3	13
124	с этим	2	13
125	в мире	4	13
126	и есть	2	13
127	только на	2	13
128	из всех	2	12
129	лишь в	3	12
130	только для	2	12
131	не могут	4	12
132	жизни в	5	12
133	благодаря этому	2	12
134	главным образом	3	12
135	место в	2	12
136	и более	2	11
137	из этого	3	11
138	уже не	2	11
139	и что	2	11
140	на эту	2	11
141	отметить что	2	11
142	в течение	2	11
143	и т.д	4	11
144	культуры в	3	11
145	время в	2	11
146	той или	3	11
147	что они	3	11
148	данном случае	3	10
149	или иной	5	10
150	на земле	4	10
151	в таких	2	10
152	конце концов	3	10
153	к тому	7	10
154	целый ряд	2	10
155	что для	3	10
156	для всех	6	10
157	по отношению	2	10
158	даже и	2	10
159	да и	3	10
160	не просто	2	10
161	именно на	2	9
162	вся эта	2	9
163	и то	4	9
164	был и	3	9
165	для нас	2	9
166	том же	2	9
167	мы можем	2	9
168	о котором	3	9
169	отношения к	2	9
170	от него	2	8
171	следовательно и	2	8
172	так что	2	8
173	людей и	2	8
174	с тем	6	8
175	для этого	3	8
176	если бы	6	8
177	и ни	3	8
178	в другое	4	8
179	народа и	2	8
180	в совершенно	4	8
181	и при	6	8
182	более или	4	8
183	или менее	4	8
184	и те	2	8
185	точку зрения	4	7
186	себе и	4	7
187	мы говорили	3	7
188	только с	2	7
189	на том	3	7
190	по этому	2	7
191	в виде	3	7
192	во всяком	9	7
193	себя в	4	7
194	из которых	5	7
195	в таком	2	7
196	этой культуры	2	7
197	значительной мере	2	7
198	и если	7	7
199	к себе	2	7
200	в настоящее	2	7
201	настоящее время	2	7
202	но она	2	7
203	в некоторых	2	7
204	и тот	2	6
205	вряд ли	3	6
206	ее в	2	6
207	для них	3	6
208	совершенно не	2	6
209	его и	2	6
210	друг друга	3	6
211	хотя бы	5	6
212	от того	4	6
213	как будто	2	6
214	за то	2	6
215	в корне	4	6
216	ведь в	2	6
217	говорить о	3	6
218	таким же	3	6
219	тем самым	2	5
220	тогда когда	4	5
221	но мы	3	5
222	стремление к	7	5
223	нисколько не	2	5
224	должна быть	2	5
225	друг с	14	5
226	проявляется в	2	5
