N	2gram	Vinokur_St	KFilosof
1	может быть	16	45
2	в его	19	42
3	в нем	9	32
4	не может	10	29
5	и не	23	28
6	и в	61	28
7	по отношению	3	26
8	в котором	11	24
9	отношению к	3	22
10	в себе	3	21
11	и его	11	18
12	только в	11	18
13	в своем	8	17
14	в ее	6	17
15	а не	19	17
16	в этом	37	15
17	не в	15	13
18	для него	10	13
19	точки зрения	16	13
20	но не	5	12
21	и это	4	12
22	к нему	2	12
23	ни в	5	12
24	в своей	12	11
25	во всех	8	11
26	все эти	7	11
27	это не	8	10
28	в целом	5	10
29	и для	4	10
30	все это	13	10
31	с точки	10	10
32	в их	3	9
33	но и	28	9
34	как бы	8	9
35	и все	3	9
36	если бы	11	8
37	не было	7	8
38	лишь в	3	8
39	со стороны	7	8
40	жизни и	6	8
41	было бы	21	8
42	для себя	3	7
43	и здесь	2	7
44	должен быть	3	7
45	совершенно не	7	7
46	то что	27	7
47	конечно не	2	7
48	и только	3	7
49	что и	8	7
50	вовсе не	24	7
51	отношение к	3	6
52	в том	56	6
53	но все	9	6
54	не имеет	5	6
55	место в	2	6
56	и их	3	6
57	я не	13	6
58	но это	9	6
59	и я	5	6
60	он не	11	6
61	не значит	3	6
62	никогда не	7	5
63	от его	2	5
64	его в	4	5
65	все же	12	5
66	не только	36	5
67	мы имеем	2	5
68	хотя бы	8	5
69	то же	7	5
70	но ведь	8	5
71	еще не	4	5
72	не знает	2	5
73	а в	18	5
74	но в	16	5
75	как и	11	5
76	именно в	8	5
77	что я	3	5
78	в одном	7	5
79	там где	6	5
80	в основе	4	5
81	в каком	4	4
82	что это	5	4
83	тем самым	2	4
84	том что	49	4
85	нисколько не	3	4
86	что в	41	4
87	не как	2	4
88	не по	5	4
89	времени и	4	4
90	чем не	2	4
91	быть в	2	4
92	прежде всего	11	4
93	в чем	4	4
94	могло бы	3	4
95	в своих	2	4
96	места в	3	4
97	для нас	7	4
98	меня не	2	4
99	при этом	4	4
100	должна быть	3	4
101	между тем	7	4
102	до конца	4	3
103	или иного	4	3
104	ничего не	6	3
105	того или	4	3
106	в то	10	3
107	на самом	8	3
108	всех этих	2	3
109	в каждом	3	3
110	в другом	5	3
111	это и	5	3
112	тем что	6	3
113	и тем	3	3
114	бы не	2	3
115	нигде не	2	3
116	для того	15	3
117	где он	2	3
118	самом деле	14	3
119	в виду	6	3
120	и пр	4	3
121	не должен	2	3
122	по своему	2	3
123	его жизни	3	3
124	не менее	8	3
125	только с	4	3
126	о том	30	3
127	не могу	2	3
128	что этот	3	3
129	в ней	9	3
130	стороны в	2	3
131	могут быть	5	3
132	но для	3	3
133	котором он	2	3
134	этом смысле	2	3
135	и на	7	3
136	что не	3	3
137	того что	14	3
138	мы не	3	3
139	из его	3	3
140	меня в	2	3
141	тот же	2	3
142	бы и	4	3
143	не дает	2	3
144	быть и	2	3
145	ясно что	10	3
146	не о	2	2
147	и то	6	2
148	кажется что	5	2
149	для этого	2	2
150	и потому	3	2
151	в данном	16	2
152	я уже	3	2
153	или иным	3	2
154	говорить о	3	2
155	дело в	9	2
156	не потому	3	2
157	то ни	2	2
158	к этому	4	2
159	дело не	4	2
160	вопрос о	9	2
161	это было	2	2
162	в это	3	2
163	из нее	3	2
164	знает и	2	2
165	тем не	4	2
166	как к	3	2
167	и как	2	2
168	оба эти	4	2
169	в виде	3	2
170	то или	3	2
171	а как	5	2
172	были бы	2	2
173	в области	16	2
174	а с	6	2
175	что он	23	2
176	и за	3	2
177	со всеми	2	2
178	отказаться от	2	2
179	так и	15	2
180	отношении к	3	2
181	но нет	2	2
182	что только	2	2
183	с тем	3	2
184	вытекает из	2	2
185	как в	15	2
186	от этого	2	2
187	думать что	2	2
188	в сознании	2	2
189	тому что	8	2
190	можно ли	5	2
191	она не	3	2
192	дело с	2	2
193	гораздо более	5	2
194	еще более	5	2
195	другое дело	3	2
196	оно не	3	2
197	если не	4	2
198	но я	5	2
199	и именно	2	2
200	в процессе	3	2
201	это можно	3	2
202	по себе	3	2
203	потому что	13	2
204	совсем не	3	2
205	может не	2	2
206	того чтобы	15	2
207	или иное	3	2
208	что эта	5	2
209	выхода в	4	2
210	и эти	2	2
211	в качестве	7	2
212	же время	5	2
213	ничего общего	3	2
214	дело когда	2	2
215	быть не	2	2
216	этого слова	2	2
217	в этой	13	2
218	бы то	2	2
219	что значит	2	2
220	с его	3	2
