N	3gram	Bakhtin_Pr	FransuaR
1	в то же	8	55
2	то же время	8	55
3	мы уже говорили	3	43
4	как мы уже	5	28
5	до сих пор	8	27
6	в том числе	15	27
7	в том что	6	27
8	в средние века	11	25
9	в большинстве случаев	9	22
10	но в то	3	20
11	с точки зрения	13	20
12	о том что	3	17
13	том числе и	13	17
14	большей или меньшей	6	16
15	но и в	2	15
16	в большей или	5	15
17	то есть в	5	15
18	сих пор еще	2	15
19	жизни и смерти	2	15
20	и прежде всего	5	14
21	нужно сказать что	2	14
22	или меньшей степени	5	14
23	не может быть	8	13
24	дело в том	3	13
25	в известной мере	3	12
26	а также и	3	12
27	мы уже сказали	2	12
28	с другой стороны	3	12
29	и в то	3	12
30	все то что	2	11
31	можно сказать что	6	11
32	той или иной	2	10
33	таким образом и	2	10
34	на самом же	2	10
35	мы еще вернемся	4	10
36	хвалы и брани	2	10
37	как и в	4	10
38	до наших дней	3	10
39	самом же деле	2	10
40	по отношению к	5	9
41	так и в	2	9
42	в свое время	4	9
43	более или менее	3	8
44	и др в	3	8
45	в эпоху возрождения	6	8
46	мы видели что	2	8
47	и т.п все	2	8
48	и в эпоху	2	8
49	можно было бы	2	7
50	это конечно не	2	7
51	до нас дошли	2	6
52	с самого начала	4	6
53	есть здесь и	2	6
54	в xix веке	3	6
55	в сущности только	2	6
56	и до сих	2	6
57	во всех его	2	6
58	как мы сказали	4	6
59	имеем в виду	3	6
60	и во всех	3	6
61	в новое время	4	6
62	мы имеем в	3	5
63	как бы в	2	5
64	и до наших	2	5
65	средние века и	3	5
66	друг в друга	2	5
67	празднества карнавального типа	5	5
68	друг с другом	6	5
69	и так сказать	2	5
70	по сравнению с	6	5
71	в строгом смысле	2	4
72	может быть и	2	4
73	со смертью и	2	4
74	то есть с	2	4
75	еще вернемся в	2	4
76	а следовательно и	2	4
77	и др все	2	4
78	в собственном смысле	3	4
79	и не может	6	4
80	в нем только	2	4
81	мы находим в	3	4
82	на карнавальной площади	2	4
83	для правильного понимания	3	4
84	здесь перед нами	2	4
85	др все эти	2	4
86	на священные тексты	2	4
87	в обычной жизни	2	3
88	как своего рода	2	3
89	священные тексты и	2	3
90	это своего рода	2	3
91	в литературе эпохи	2	3
92	обычной жизненной колеи	2	3
93	но конечно не	2	3
94	хотя и в	2	3
95	в этом смысле	5	3
96	выраженный карнавальный характер	2	3
97	является одним из	2	3
98	форм и символов	2	3
99	в его творчестве	4	3
100	несколько слов о	3	3
101	нет и не	3	3
102	определяющее влияние на	3	3
103	тех или иных	2	3
104	почти вовсе не	2	3
105	почти во всех	2	3
106	всей мировой литературе	2	3
107	ровно ничего не	2	3
108	мы уже отмечали	2	3
109	потому что это	2	3
110	и вообще в	2	3
111	во всей мировой	2	3
112	шекспира и сервантеса	2	3
113	в одной плоскости	2	3
114	смысле этого слова	2	3
115	друг от друга	2	3
116	существенное влияние на	2	2
117	по своей природе	3	2
118	оба полюса становления	2	2
119	место в жизни	2	2
120	и у лукиана	2	2
121	на протяжении тысячелетий	2	2
122	к себе самому	6	2
123	из них в	2	2
124	в нем нет	3	2
125	на этом мы	3	2
126	карнавальное мироощущение и	2	2
127	и карнавального мироощущения	2	2
128	во всех других	2	2
129	в какой-то мере	5	2
130	со всеми другими	2	2
131	на равных правах	2	2
132	никогда не может	2	2
133	некоторых из них	2	2
134	в последующие эпохи	2	2
135	мы не будем	2	2
136	на самой границе	3	2
137	в дальнейшем развитии	2	2
138	пор еще недостаточно	2	2
139	еще раз подчеркнуть	2	2
140	в сущности почти	2	2
141	и в нем	2	2
142	и в сущности	2	2
143	при всей их	2	2
144	пафосом смен и	2	2
145	вольного фамильярного контакта	2	2
146	и т.п это	2	2
147	под углом зрения	3	2
