N	2gram	Voloshinov	Otkroven
1	и в	13	19
2	но и	3	13
3	и не	8	13
4	в этом	2	12
5	не только	6	11
6	не в	3	11
7	а не	2	11
8	может быть	8	11
9	и все	3	10
10	в нем	2	10
11	никогда не	3	9
12	прежде всего	9	9
13	лишь в	4	7
14	в его	7	7
15	нет ничего	2	7
16	как и	3	6
17	все это	4	6
18	для него	2	5
19	а в	2	5
20	в том	2	5
21	в самом	2	5
22	то что	6	5
23	и его	12	4
24	что в	3	4
25	только и	4	4
26	все эти	2	4
27	не может	8	4
28	в себе	3	3
29	было бы	4	3
30	в своих	2	3
31	и ее	2	3
32	как бы	6	3
33	хотя бы	5	3
34	могут быть	2	3
35	и то	3	2
36	уже в	2	2
37	что же	3	2
38	и для	3	2
39	не имеет	2	2
40	ее в	2	2
41	в ее	3	2
42	тем что	2	2
43	но в	4	2
44	том что	2	2
45	все же	5	2
46	в своей	4	2
47	так как	3	2
48	что они	2	2
49	и к	2	2
50	так и	3	2
51	в которой	3	2
52	учение о	2	2
53	в другом	2	2
54	в этот	2	2
55	подойти к	2	2
