N	3gram	Losev_Prob	Formalny
1	с точки зрения	3	40
2	не может быть	5	29
3	на самом деле	6	21
4	в то же	4	20
5	и т д	12	19
6	во всяком случае	11	16
7	в связи с	7	16
8	в настоящее время	17	13
9	так и в	2	11
10	в самом деле	4	11
11	в этом отношении	2	11
12	бы то ни	2	10
13	с другой стороны	7	9
14	для того чтобы	9	8
15	до сих пор	6	8
16	вместе с тем	2	8
17	с одной стороны	4	8
18	более или менее	7	7
19	сами по себе	5	7
20	и в этом	5	7
21	того или иного	6	7
22	сам по себе	7	6
23	может быть и	5	6
24	в данном случае	10	6
25	не только не	4	6
26	с тем что	2	6
27	в том что	7	6
28	связи с этим	2	5
29	в этом смысле	8	5
30	одной стороны и	2	5
31	как раз и	11	4
32	в конце концов	11	4
33	с самого начала	2	4
34	тем не менее	25	4
35	подобно тому как	2	4
36	вовсе не является	6	4
37	то ни стало	2	4
38	но и в	3	4
39	сама по себе	6	4
40	можно говорить о	2	3
41	то и другое	3	3
42	то же самое	9	3
43	что же касается	3	3
44	на первый план	3	3
45	а часто и	2	3
46	то или иное	2	3
47	у нас не	2	3
48	ни о каком	2	3
49	в том числе	2	3
50	только то что	6	3
51	как мы увидим	2	3
52	во что бы	2	3
53	что бы то	2	3
54	так или иначе	7	3
55	том числе и	2	3
56	и в частности	3	3
57	в данное время	2	2
58	находится еще в	2	2
59	но уже в	2	2
60	в том случае	2	2
61	тот или иной	3	2
62	не совпадает с	2	2
63	но отнюдь не	4	2
64	что же такое	5	2
65	говоря уже о	5	2
66	иметь в виду	4	2
67	вовсе не есть	12	2
68	тем или другим	4	2
69	так же как	2	2
70	ничего общего с	9	2
71	может быть только	2	2
72	и в данном	2	2
73	одним и тем	2	2
74	именно в этом	2	2
75	даже и не	4	2
76	не потому что	2	2
77	не говоря уже	6	2
78	или хотя бы	2	2
79	один из моментов	2	2
80	в таком случае	14	2
81	и тем же	2	2
82	не только в	3	2
83	и тем самым	4	2
84	о том как	2	2
85	было говорить о	3	2
86	хотя бы и	3	2
87	и в других	3	2
88	в этом случае	6	2
89	так же и	4	2
90	вовсе не являются	5	2
91	так как они	2	2
92	что в нем	4	2
93	дело в том	3	2
94	тех или иных	2	2
