N	2gram	Voloshinov	Poddanst
1	не только	10	17
2	и в	28	14
3	и не	34	12
4	в области	4	11
5	в этом	28	10
6	в отношении	2	10
7	но в	13	9
8	то же	12	9
9	в том	10	9
10	в качестве	2	9
11	хотя бы	7	8
12	в пределах	6	8
13	в то	7	7
14	только в	11	7
15	же время	6	7
16	но и	10	6
17	было бы	8	6
18	в ней	8	6
19	с другой	2	5
20	не в	10	5
21	и о	6	5
22	и пр	29	5
23	может быть	28	5
24	по себе	4	4
25	что в	7	4
26	если бы	4	4
27	и потому	12	4
28	в своем	4	4
29	том что	12	4
30	а также	2	4
31	мы должны	9	4
32	в котором	4	4
33	и к	7	4
34	как бы	19	4
35	то что	17	4
36	не может	30	4
37	а в	8	4
38	что мы	3	3
39	и как	3	3
40	исторического материализма	2	3
41	но не	7	3
42	это не	5	3
43	с точки	15	3
44	сводится к	4	3
45	мы не	9	3
46	я и	7	3
47	для того	6	3
48	в себе	7	3
49	точки зрения	31	3
50	потому что	4	3
51	одной стороны	2	3
52	в нем	7	3
53	между тем	3	3
54	могут быть	9	3
55	прежде всего	26	3
56	тот же	10	3
57	с одной	2	3
58	с ними	5	3
59	заключается в	5	3
60	для нас	2	2
61	должно быть	2	2
62	да и	2	2
63	по-видимому не	2	2
64	в них	3	2
65	в жизни	7	2
66	в мире	2	2
67	одна из	4	2
68	отношения к	2	2
69	для них	3	2
70	не к	2	2
71	в эту	2	2
72	современной европейской	2	2
73	и тем	2	2
74	в его	25	2
75	с этим	8	2
76	и вот	8	2
77	в общем	5	2
78	не менее	6	2
79	исключительно в	2	2
80	говорить о	5	2
81	время в	2	2
82	со стороны	5	2
83	именно в	4	2
84	еще более	2	2
85	все это	12	2
86	как на	3	2
87	а не	9	2
88	во всей	3	2
89	не было	5	2
90	и есть	3	2
91	из важнейших	2	2
92	и с	10	2
93	не будем	3	2
94	во всех	13	2
95	в ее	5	2
96	как раз	6	2
97	хх века	2	2
98	того что	7	2
99	думать что	2	2
100	главным образом	4	2
101	из них	7	2
102	отнюдь не	5	2
