N	2gram	Vinokur_Ku	UchenyiS
1	и в	44	14
2	не только	29	10
3	а не	17	10
4	и не	23	8
5	прежде всего	14	8
6	то что	14	7
7	не может	13	7
8	в этом	31	7
9	в искусстве	2	6
10	может быть	25	6
11	и только	2	5
12	то же	12	5
13	хотя бы	19	5
14	все это	10	5
15	в конечном	3	4
16	но и	13	4
17	в этой	8	4
18	конечном счете	2	4
19	что такое	8	4
20	с другой	14	4
21	в их	3	4
22	конечно не	3	4
23	у нас	19	3
24	в частности	6	3
25	для этого	6	3
26	не следует	6	3
27	это не	13	3
28	формы в	2	3
29	только к	2	3
30	вряд ли	5	3
31	очевидно что	4	3
32	как такового	2	3
33	пришлось бы	2	3
34	и то	7	3
35	в своей	4	3
36	все же	17	3
37	не как	2	3
38	как и	3	3
39	в то	4	3
40	но в	11	3
41	этой области	3	3
42	же время	4	3
43	к сожалению	2	3
44	было бы	28	3
45	в области	15	3
46	то ни	2	3
47	другой стороны	12	3
48	для него	2	3
49	в самом	20	2
50	в себе	4	2
51	что мы	6	2
52	и у	3	2
53	в широком	2	2
54	о чем	2	2
55	на эту	2	2
56	что он	7	2
57	крайней мере	11	2
58	таким образом	17	2
59	в буквальном	2	2
60	но не	11	2
61	и для	3	2
62	если бы	21	2
63	противном случае	2	2
64	не все	4	2
65	между тем	11	2
66	самом деле	17	2
67	только в	15	2
68	одним из	2	2
69	этом смысле	8	2
70	в противовес	3	2
71	и является	4	2
72	не есть	4	2
73	что она	5	2
74	ничего не	6	2
75	всех этих	4	2
76	даже и	5	2
77	и с	11	2
78	не случайно	7	2
79	что и	5	2
80	по крайней	11	2
81	вопроса о	7	2
82	могут быть	5	2
83	приемов и	3	2
84	меньшей степени	2	2
85	не приходится	2	2
86	но даже	3	2
87	не могут	5	2
88	смысле этого	5	2
89	это было	2	2
90	превращается в	4	2
91	сих пор	5	2
92	по себе	10	2
93	тем что	9	2
94	том что	30	2
95	в сторону	2	2
96	в его	16	2
97	пишет он	4	2
98	сводится к	3	2
99	в том	47	2
100	что все	6	2
101	этом отношении	8	2
102	этого термина	4	2
103	как таковой	2	2
104	если не	4	2
105	с его	4	2
106	как раз	10	2
107	должна быть	6	2
108	фактов и	2	2
109	конце концов	3	2
110	но это	4	2
111	по существу	9	2
112	в противном	2	2
113	не в	18	2
114	бы и	6	2
115	мы получаем	2	2
116	сколько угодно	2	2
117	в конце	5	2
118	в системе	3	2
119	с проблемой	2	2
120	до сих	5	2
121	могли бы	4	2
122	не столько	2	2
