N	2gram	Voloshinov	Problemy
1	и в	28	106
2	и не	34	90
3	как бы	19	70
4	может быть	28	66
5	в его	25	56
6	в этом	28	52
7	в нем	7	51
8	не может	30	49
9	что он	12	44
10	как и	13	44
11	но и	10	40
12	точки зрения	31	40
13	для него	12	39
14	и его	22	39
15	а не	9	38
16	о себе	4	37
17	не только	10	36
18	то же	12	36
19	в пределах	6	35
20	то что	17	33
21	но в	13	33
22	прежде всего	26	32
23	в то	7	29
24	все это	12	29
25	он не	10	29
26	и все	13	28
27	не в	10	27
28	в одном	3	27
29	к себе	3	26
30	же время	6	26
31	к нему	9	25
32	с точки	15	25
33	в самом	12	25
34	и с	10	25
35	самом деле	14	24
36	не как	2	24
37	вовсе не	16	24
38	рядом с	2	23
39	слова и	4	23
40	и на	9	23
41	таким образом	34	22
42	по себе	4	22
43	как мы	18	21
44	там где	2	21
45	никогда не	10	20
46	все же	8	20
47	потому что	4	20
48	только в	11	20
49	что в	7	19
50	с его	9	19
51	отношению к	11	19
52	что же	10	19
53	на самом	6	18
54	в себе	7	18
55	по отношению	13	18
56	о нем	2	18
57	все эти	15	18
58	уже не	9	18
59	еще не	8	18
60	но не	7	18
61	это не	5	17
62	в том	10	17
63	так и	14	17
64	себе самом	3	17
65	а в	8	17
66	и к	7	17
67	с ним	14	17
68	так же	4	16
69	в другом	4	16
70	если бы	4	16
71	в своей	14	16
72	этом смысле	2	16
73	до конца	7	15
74	и наконец	12	15
75	и для	7	15
76	у него	4	15
77	в отношении	2	14
78	так как	15	14
79	другого человека	2	14
80	в своем	4	14
81	в конце	2	14
82	я не	4	14
83	и сам	3	14
84	он и	2	14
85	как раз	6	14
86	а как	3	14
87	его в	11	13
88	большинстве случаев	6	13
89	в целом	4	13
90	себя и	4	13
91	с другими	8	13
92	в мире	2	13
93	на него	4	13
94	но все	2	13
95	в большинстве	5	13
96	точка зрения	15	13
97	том что	12	12
98	в одной	2	12
99	ничего не	5	12
100	к тому	6	12
101	между тем	3	12
102	не знает	5	12
103	что и	5	12
104	при этом	8	12
105	было бы	8	12
106	во всяком	9	12
107	так сказать	7	12
108	но это	4	12
109	за пределы	10	12
110	и даже	3	12
111	и как	3	12
112	как в	4	12
113	себе и	3	12
114	в котором	4	12
115	и что	6	12
116	не могут	7	11
117	конце концов	2	11
118	она не	6	11
119	бы и	2	11
120	он сам	5	11
121	должно быть	2	11
122	бы в	2	11
123	сознания и	6	11
124	или как	3	11
125	с другой	2	11
126	их в	3	11
127	более того	7	11
128	входит в	2	11
129	мы уже	10	11
130	отношение к	7	10
131	для себя	2	10
132	в него	2	10
133	ведь и	3	10
134	самого начала	5	10
135	как не	3	10
136	до сих	3	10
137	сих пор	3	10
138	далеко не	5	10
139	приводит к	3	10
140	той же	5	10
141	и потому	12	9
142	с самого	7	9
143	могут быть	9	9
144	в них	3	9
145	раз и	3	9
146	да и	2	9
147	хотя бы	7	9
148	человека в	4	9
149	ни в	12	9
150	зрения на	6	9
151	всяком случае	8	9
152	мы должны	9	8
153	но как	2	8
154	уже в	3	8
155	его целом	2	8
156	как к	2	8
157	одним из	3	8
158	это и	4	8
159	вот как	2	8
160	и о	6	8
161	того что	7	8
162	сознание и	5	8
163	с ними	5	8
164	и до	5	8
165	должна быть	2	8
166	и от	3	8
167	что это	5	8
168	бы он	3	8
169	все время	4	8
170	с их	5	8
171	мы увидим	4	8
172	в человеке	6	8
173	ни было	2	8
174	в результате	3	8
175	о том	3	8
176	и у	7	8
177	и так	2	8
178	из них	7	8
179	переходим к	3	8
180	вопрос о	2	7
181	его к	4	7
182	и следовательно	3	7
183	в этих	5	7
184	в их	2	7
185	к своему	2	7
186	и со	3	7
187	точку зрения	12	7
188	в виду	4	7
189	и др	9	7
190	его и	2	7
191	в процессе	5	7
192	он в	2	7
193	все его	3	7
194	только на	4	7
195	не входит	2	7
196	между ними	5	7
197	что все	7	7
198	то ни	4	7
199	и ее	7	7
200	тот же	10	7
201	бы то	3	7
202	сказать что	11	7
203	в жизни	7	7
204	его с	2	7
205	что она	5	7
206	мысли и	4	7
207	отличается от	2	7
208	и их	2	7
209	такой же	3	7
210	во всех	13	7
211	мы остановимся	2	7
212	на этот	3	7
213	если же	2	7
214	со всею	3	7
215	не было	5	7
216	как его	2	7
217	в себя	5	7
218	все те	10	6
219	может стать	4	6
220	отличие от	2	6
221	а с	2	6
222	выражение в	4	6
223	не менее	6	6
224	но эти	2	6
225	и этим	3	6
226	себя в	3	6
227	и во	2	6
228	во время	6	6
229	на них	2	6
230	одна из	4	6
231	для этого	6	6
232	с этим	8	6
233	зависимости от	4	6
234	и самое	2	6
235	внутренней речи	5	6
236	превращается в	2	6
237	и вот	8	6
238	но ведь	4	6
239	человека как	2	6
240	но для	3	6
241	друг друга	2	6
242	в отличие	2	6
243	и пр	29	6
244	и только	6	6
245	в этой	7	6
246	на почве	3	6
247	в своих	5	6
248	этот вопрос	4	6
249	на этом	8	6
250	жизни и	7	6
251	конечно не	10	6
252	в основе	6	6
253	как на	3	6
254	отношения к	2	6
255	нисколько не	4	5
256	и то	3	5
257	или иной	2	5
258	с таким	2	5
259	есть и	2	5
260	но именно	2	5
261	ту сторону	4	5
262	со всеми	5	5
263	по своему	4	5
264	но так	2	5
265	тому что	5	5
266	они не	3	5
267	в общем	5	5
268	того же	3	5
269	на себя	3	5
270	в чем	9	5
271	один из	10	5
272	что может	5	5
273	в такой	2	5
274	в зависимости	4	5
275	мы не	9	5
276	в ее	5	5
277	в последнем	4	5
278	те же	9	5
279	в мир	4	5
280	все то	3	5
281	в глаза	2	5
282	мира в	2	5
283	совершенно не	9	5
284	между собою	2	5
285	на протяжении	7	5
286	не укладывается	2	5
287	нет и	4	5
288	человека с	3	5
289	ни на	3	5
290	именно в	4	5
291	когда он	3	5
292	же что	2	5
293	по ту	4	5
294	сам по	4	5
295	высшей степени	6	5
296	я и	7	5
297	в высшей	6	5
298	быть и	7	5
299	в ней	8	5
300	вместе с	5	5
301	тем не	4	4
302	тому чтобы	3	4
303	его отношение	2	4
304	смерти отца	3	4
