N	3gram	Tiupa_Hudo	Myshleni
1	в том что	15	133
2	с точки зрения	5	89
3	для того чтобы	2	78
4	по отношению к	15	42
5	с одной стороны	4	39
6	так же как	2	39
7	то же самое	3	31
8	в этом отношении	4	30
9	можно было бы	5	28
10	о том что	14	25
11	на то что	2	25
12	не может быть	5	23
13	к тому что	8	22
14	не только не	3	21
15	в самом деле	5	19
16	состоит в том	3	18
17	до сих пор	3	17
18	в связи с	3	17
19	же как и	2	17
20	в данном случае	3	15
21	друг от друга	2	14
22	в первую очередь	2	14
23	подобно тому как	4	14
24	то и другое	2	13
25	тем не менее	6	12
26	в такой же	2	11
27	том что в	4	11
28	по своей природе	2	10
29	вместо того чтобы	2	10
30	такой же мере	2	10
31	в конечном счете	4	9
32	как и в	5	9
33	в равной мере	2	8
34	речь идет о	2	8
35	что он не	3	8
36	только в том	4	8
37	в первом случае	2	7
38	содержит в себе	2	7
39	о том как	4	7
40	же самое что	2	7
41	как раз в	2	7
42	приводит к тому	2	7
43	в этом и	2	6
44	но все же	2	5
45	в то же	11	5
46	тому что он	4	5
47	тот момент когда	3	5
48	и в этом	3	5
49	не только в	4	5
50	только потому что	2	5
51	в тот момент	3	4
52	в значительной степени	3	4
53	и в самом	4	3
54	связи с этим	2	3
55	та или иная	4	3
56	но при этом	3	3
57	что у нее	2	3
58	того или иного	4	3
59	то же время	11	3
60	на том что	2	3
61	мы узнаем что	2	3
62	том случае если	2	2
63	то что я	2	2
64	в следующей главе	3	2
65	все же не	2	2
66	с того что	2	2
67	в заключительной главе	2	2
68	что у него	2	2
69	в том случае	2	2
70	как бы в	2	2
71	но тем не	2	2
72	в противоречие с	2	2
73	в этой связи	5	2
74	ту или иную	2	2
75	по сути дела	2	2
76	столь же мало	2	2
77	не только для	2	2
78	что она не	2	2
