N	2gram	Vygotskiy_	RusskieA
1	и в	55	79
2	в том	55	64
3	том что	30	59
4	что в	39	57
5	т е	3	54
6	не только	25	41
7	так как	28	34
8	в этом	21	33
9	и другие	5	33
10	состоит в	5	32
11	как бы	11	31
12	но и	12	31
13	п в	2	30
14	в других	3	30
15	как и	25	28
16	может быть	35	28
17	и на	6	28
18	одна из	5	24
19	и т	36	23
20	о том	11	23
21	с в	4	23
22	при этом	28	22
23	т д	10	21
24	как мы	2	20
25	а в	10	20
26	там же	2	20
27	из них	4	19
28	все это	11	18
29	с тем	11	17
30	потому что	27	17
31	показывает что	6	17
32	то что	47	17
33	об этом	3	17
34	таким образом	38	17
35	вместе с	10	17
36	мы не	15	16
37	один из	6	15
38	будто бы	2	15
39	у нас	4	14
40	мы видели	2	14
41	для нас	5	14
42	не менее	9	14
43	в них	4	14
44	как это	8	14
45	тем не	6	14
46	и не	24	14
47	и с	5	14
48	и что	28	14
49	так что	8	13
50	и по	7	13
51	к этому	5	13
52	не может	30	13
53	еще не	2	13
54	как в	17	13
55	уже не	3	13
56	в которых	5	13
57	мы имеем	7	12
58	тем что	7	12
59	полагает что	2	12
60	что на	4	11
61	а на	4	11
62	но это	3	11
63	мы увидим	4	11
64	не имеет	3	11
65	далеко не	7	11
66	его в	3	10
67	и других	4	10
68	так и	6	10
69	по существу	6	10
70	между тем	6	10
71	все же	9	10
72	что и	27	10
73	том чтобы	9	10
74	представляет собой	2	10
75	или в	2	10
76	о чем	2	9
77	том же	4	9
78	но в	5	9
79	к жизни	2	9
80	и все	8	9
81	что они	7	9
82	того как	5	9
83	то же	17	9
84	но не	5	9
85	в русском	4	9
86	так же	29	8
87	того что	15	8
88	одно из	2	8
89	того чтобы	13	8
90	их в	4	8
91	связи с	2	8
92	представление о	6	8
93	что это	12	8
94	как например	2	8
95	во всех	4	8
96	подобно тому	7	8
97	для того	12	8
98	в этих	6	8
99	что по	5	8
100	тому как	10	8
101	в своем	3	7
102	мы должны	4	7
103	ничего не	4	7
104	в настоящее	2	7
105	в свете	3	7
106	не в	19	7
107	главным образом	3	7
108	должна была	3	7
109	а с	2	7
110	в руках	2	7
111	к нему	3	7
112	настоящее время	2	7
113	по этому	3	7
114	было бы	14	7
115	до конца	9	7
116	с этого	2	7
117	из этих	6	7
118	и как	9	7
119	не можем	3	7
120	только в	18	7
121	как будто	10	7
122	а не	18	7
123	в этой	5	6
124	должны были	2	6
125	и их	4	6
126	и у	6	6
127	на этом	3	6
128	в их	4	6
129	не всегда	2	6
130	только на	7	6
131	тому что	7	6
132	она не	6	6
133	к тому	8	6
134	что этот	3	6
135	в нем	5	6
136	этому поводу	3	6
137	же как	8	6
138	с ними	2	6
139	все эти	7	6
140	в качестве	3	6
141	чем в	2	6
142	в одном	4	6
143	что она	11	6
144	и о	4	6
145	что здесь	2	6
146	в первый	3	6
147	после того	2	6
148	и более	3	6
149	видели что	2	6
150	и другой	6	6
151	приводит к	3	6
152	в разные	2	6
153	в таком	5	6
154	на самом	6	5
155	вопрос о	3	5
156	и потому	2	5
157	в тех	2	5
158	вплоть до	3	5
159	но если	2	5
160	или же	2	5
161	тогда когда	7	5
162	что он	17	5
163	вывод что	2	5
164	прежде всего	5	5
165	эта теория	7	5
166	к ним	4	5
167	в свою	3	5
168	с этим	7	5
169	заметить что	3	5
170	в то	8	5
171	в целом	8	5
172	в связи	3	5
173	там где	5	5
174	не было	5	5
175	например в	5	5
176	тот же	8	5
177	в его	8	5
178	по поводу	3	5
179	то и	2	5
180	его с	3	5
181	такие же	2	5
182	можно было	4	5
183	в особенности	3	5
184	и для	9	5
185	рассматриваться как	4	5
186	с другой	7	5
187	и к	5	5
188	отнюдь не	11	5
189	то на	2	5
190	с ним	2	5
191	совпадают с	3	4
192	в таких	2	4
193	как можно	3	4
194	показывают что	2	4
195	которые в	3	4
196	означает что	2	4
197	если в	2	4
198	и ее	4	4
199	в глаза	2	4
200	иное как	2	4
201	он же	3	4
202	не что	2	4
203	чтобы вызвать	3	4
204	она как	2	4
205	у них	2	4
206	и при	3	4
207	нас не	2	4
208	только тогда	8	4
209	его и	4	4
210	они и	2	4
211	и там	2	4
212	отличие от	6	4
213	могут быть	15	4
214	и до	2	4
215	и тогда	3	4
216	не на	2	4
217	этого слова	5	4
218	во всяком	9	4
219	в основе	13	4
220	и от	4	4
221	по своему	2	4
222	несмотря на	8	4
223	за ним	2	4
224	и здесь	3	4
225	та же	4	4
226	и многие	3	4
227	она в	2	4
228	что иное	2	4
229	такой же	9	4
230	в отличие	4	4
231	и из	7	4
232	это имеет	3	4
233	что у	8	4
234	что для	5	4
235	для объяснения	3	4
236	при рассмотрении	2	4
237	в котором	5	4
238	в своих	12	4
239	как они	2	4
240	этот вопрос	2	4
241	уже в	3	4
242	в ней	3	4
243	которое в	2	4
244	всяком случае	7	4
245	то время	6	4
246	во всем	5	4
247	тем и	2	4
248	на основе	2	4
249	но он	3	4
250	никогда не	13	3
251	в изучении	2	3
252	очевидно что	7	3
253	ее и	2	3
254	его к	2	3
255	том как	2	3
256	в одной	3	3
257	и поэтому	3	3
258	то есть	44	3
259	с той	2	3
260	это и	3	3
261	в виду	6	3
262	на все	6	3
263	к выводу	2	3
264	как он	4	3
265	или менее	3	3
266	представления о	2	3
267	почему именно	2	3
268	мы знаем	8	3
269	когда они	2	3
270	что все	10	3
271	и это	6	3
272	более или	3	3
273	тех пор	2	3
274	на другой	3	3
275	точки зрения	32	3
276	живет в	2	3
277	какой степени	2	3
278	и те	5	3
279	такое же	3	3
280	в области	12	3
281	совсем не	3	3
282	в какой	6	3
283	в ее	7	3
284	что с	5	3
285	и во	3	3
286	считает что	2	3
287	в своей	6	3
288	свою очередь	3	3
289	значение и	3	3
290	из самых	2	3
291	и другими	4	3
292	этом не	2	3
293	хотя и	3	3
294	увидим что	3	3
295	имеет место	2	3
296	и то	4	3
297	выводу что	2	3
298	или не	2	3
299	совершенно очевидно	3	3
300	независимо от	3	3
301	с другими	2	3
302	ее на	2	3
303	это в	4	3
304	и наоборот	2	3
305	в которой	6	3
306	которые не	3	3
307	до тех	3	3
308	на него	2	3
309	если бы	10	3
310	сих пор	8	3
311	жизнь и	3	3
312	с одной	6	3
313	есть в	7	3
314	на этот	2	3
315	думать что	3	3
316	не к	2	3
317	на то	17	3
318	все что	4	3
319	слова в	5	3
320	когда он	11	3
321	с таким	18	3
322	из которых	5	3
323	к числу	3	3
324	с точки	12	3
325	сводится к	3	3
326	говорит о	4	3
327	только как	3	3
328	и его	14	3
329	сходство с	3	3
330	же и	2	3
331	как на	6	3
332	как только	3	3
333	что именно	4	3
334	тому же	4	3
335	пор пока	2	3
336	и объяснить	3	3
337	до сих	8	3
338	в область	3	2
339	во все	2	2
340	и следовательно	4	2
341	могло бы	5	2
342	в себе	6	2
343	от него	2	2
344	по тому	4	2
345	и вообще	3	2
346	евгении онегине	3	2
347	но даже	4	2
348	не как	3	2
349	в силу	4	2
350	в конце	6	2
351	остановиться на	2	2
352	отношение к	3	2
353	и наконец	2	2
354	должен быть	2	2
355	и тем	5	2
356	а как	2	2
357	и всегда	2	2
358	между ними	2	2
359	в новой	2	2
360	в частности	6	2
361	на основании	7	2
362	самом деле	19	2
363	на место	3	2
364	т п	24	2
365	тем как	2	2
366	показать что	12	2
367	утверждает что	5	2
368	его от	2	2
369	по ним	3	2
370	подойти к	2	2
371	образом в	3	2
372	не так	2	2
373	для такого	2	2
374	в него	4	2
375	тот кто	2	2
376	но так	2	2
377	но мы	3	2
378	только с	2	2
379	к этой	2	2
380	можно показать	3	2
381	людей и	2	2
382	точка зрения	6	2
383	ту же	6	2
384	и без	3	2
385	не дает	3	2
386	одной стороны	7	2
387	ответ на	2	2
388	в евгении	2	2
389	полагают что	4	2
390	исходя из	4	2
391	поэзии и	8	2
392	мы видим	8	2
393	и когда	5	2
394	себя и	3	2
395	под влиянием	4	2
396	случае не	2	2
397	что эти	3	2
398	можно сказать	2	2
399	значение в	2	2
400	обращается к	2	2
401	интерес к	2	2
402	который в	3	2
403	относится к	4	2
404	с его	3	2
405	и состоит	2	2
406	в одну	2	2
407	сказать что	12	2
408	на тех	3	2
409	все то	4	2
410	он не	8	2
411	что если	7	2
412	когда мы	4	2
413	другой стороны	7	2
414	как оно	2	2
415	ту или	2	2
416	другой в	2	2
417	дело в	2	2
418	в каждом	5	2
419	должно быть	2	2
420	разница между	3	2
421	если она	2	2
422	но совершенно	4	2
423	и даже	11	2
424	мы можем	6	2
425	в игре	2	2
426	целый ряд	12	2
427	ее от	4	2
428	как не	2	2
429	принадлежат к	4	2
430	этом отношении	7	2
431	и которые	2	2
432	не является	5	2
433	с этой	8	2
434	совершенно не	7	2
435	не составляет	2	2
436	с и	17	2
437	не означает	2	2
438	нас в	2	2
439	что есть	3	2
440	в жизни	5	2
441	что такие	3	2
442	и так	7	2
443	представления об	2	2
444	в чем	5	2
445	что такое	2	2
446	если это	2	2
447	не значит	2	2
448	и если	4	2
449	оно не	2	2
450	в другой	3	2
451	но что	3	2
452	по себе	21	2
453	должны будем	2	2
454	детскую игру	2	2
455	и теперь	2	2
456	характер этого	2	2
457	из этого	5	2
458	что эта	4	2
459	у него	4	2
460	что при	8	2
461	все в	2	2
462	моментов в	2	2
