N	2gram	Vinokur_Vv	StatiiOP
1	в и	4	145
2	и в	35	103
3	в том	38	89
4	том что	30	77
5	в этом	35	76
6	что в	13	74
7	не только	26	60
8	и т	45	51
9	о том	16	47
10	но и	7	46
11	то что	19	44
12	что он	5	42
13	в его	12	42
14	и не	13	41
15	может быть	30	38
16	т е	40	33
17	было бы	7	32
18	т д	39	32
19	в этой	3	31
20	вовсе не	6	31
21	все это	6	29
22	тем что	6	29
23	таким образом	21	28
24	в г	5	28
25	а в	6	27
26	а не	5	27
27	но в	10	26
28	что это	3	25
29	так и	2	25
30	этом отношении	4	24
31	и его	6	24
32	все же	9	23
33	не в	10	23
34	так что	5	23
35	точки зрения	12	23
36	потому что	18	23
37	того что	12	22
38	в области	4	22
39	прежде всего	10	22
40	для того	23	22
41	у нас	2	22
42	как в	3	22
43	того чтобы	22	21
44	это не	8	20
45	до сих	7	20
46	т п	5	19
47	в то	6	19
48	сих пор	7	19
49	в своей	4	19
50	только в	16	19
51	об этом	6	18
52	не может	19	18
53	но также	16	18
54	с другой	8	18
55	в котором	4	18
56	самом деле	7	17
57	в данном	11	17
58	как на	12	17
59	в самом	13	17
60	как бы	7	17
61	с этим	3	16
62	сказать что	6	16
63	в ней	3	16
64	можно было	8	16
65	если бы	3	16
66	в этих	3	16
67	в отношении	3	15
68	с тем	6	15
69	как и	7	15
70	например в	2	15
71	другой стороны	5	15
72	из этих	9	15
73	также и	20	15
74	и на	3	15
75	как раз	4	15
76	так например	6	14
77	к тому	4	14
78	между тем	10	14
79	то же	11	14
80	в течение	5	14
81	но все	4	14
82	с точки	4	14
83	и что	6	14
84	в своем	3	13
85	в конце	3	13
86	со стороны	16	13
87	а с	2	13
88	тому что	2	13
89	но это	2	13
90	в качестве	8	13
91	в нем	13	13
92	во всяком	5	13
93	дело в	5	13
94	в языке	2	13
95	именно в	8	13
96	из них	4	13
97	всяком случае	5	13
98	в той	10	13
99	жизни и	2	13
100	вместе с	6	13
101	не менее	9	12
102	что они	2	12
103	в тексте	4	12
104	так как	15	12
105	как например	6	12
106	хотя бы	6	12
107	в своих	2	12
108	никогда не	3	11
109	вопрос о	10	11
110	и с	2	11
111	в другом	3	11
112	должна была	2	11
113	своего рода	3	11
114	в них	5	11
115	все эти	3	11
116	из его	2	11
117	того как	3	11
118	на то	2	11
119	не было	2	11
120	ясно что	11	11
121	в каком	3	10
122	так же	3	10
123	ответ на	4	10
124	в виду	5	10
125	а как	5	10
126	в частности	3	10
127	на вопрос	6	10
128	ничего не	2	10
129	не столько	2	10
130	речь идет	2	10
131	в целом	5	10
132	что и	5	10
133	в истории	9	10
134	в начале	3	10
135	во всех	2	10
136	во второй	3	10
137	но не	9	10
138	что такое	12	10
139	же время	6	10
140	в печати	2	9
141	в каждом	4	9
142	в чем	4	9
143	такого рода	3	9
144	что же	3	9
145	несмотря на	2	9
146	по этому	3	9
147	можно сказать	4	9
148	вряд ли	3	9
149	в одном	4	9
150	с этой	5	9
151	времени и	4	9
152	и для	4	9
153	и к	3	9
154	что мы	2	9
155	внимание на	5	9
156	говорит о	3	9
157	и тем	5	9
158	и это	6	9
159	до конца	3	8
160	при помощи	3	8
161	могут быть	6	8
162	отношение к	3	8
163	в их	12	8
164	и др	2	8
165	той же	4	8
166	в общем	14	8
167	в какой	6	8
168	связи с	3	8
169	к этому	3	8
170	а также	3	8
171	мы имеем	4	8
172	это в	2	8
173	дело не	5	8
174	что она	3	8
175	в результате	4	8
176	тем не	9	8
177	и даже	6	8
178	должен был	4	8
179	но ведь	4	8
180	одним из	5	8
181	заключается в	4	8
182	не имеет	4	8
183	в которых	6	8
184	по его	2	8
185	данном отношении	2	7
186	данном случае	5	7
187	о чем	4	7
188	уже в	5	7
189	что здесь	2	7
190	нельзя не	6	7
191	конце концов	2	7
192	факт что	2	7
193	раньше чем	3	7
194	в виде	4	7
195	одной из	4	7
196	гораздо более	3	7
197	и сейчас	2	7
198	того же	3	7
199	другое дело	3	7
200	во втором	2	7
201	этому поводу	3	7
202	как это	5	7
203	тем более	2	7
204	в ее	11	7
205	и то	7	7
206	с которыми	2	7
207	работы над	6	7
208	материал для	3	7
209	еще не	4	7
210	отношению к	4	7
211	еще и	4	7
212	на этот	6	7
213	xix в	12	7
214	по себе	11	7
215	не просто	5	7
216	этой области	3	7
217	но с	5	7
218	на почве	5	7
219	не мог	2	7
220	о которых	2	6
221	в себе	4	6
222	по отношению	4	6
223	должен быть	4	6
224	из которых	3	6
225	том смысле	2	6
226	по существу	2	6
227	к нему	3	6
228	в в	3	6
229	по крайней	4	6
230	в известном	3	6
231	языка и	15	6
232	же как	3	6
233	и вообще	3	6
234	крайней мере	4	6
235	одно из	5	6
236	что с	3	6
237	независимо от	5	6
238	не трудно	7	6
239	мы не	2	6
240	и здесь	3	6
241	в особенности	4	6
242	д но	5	6
243	и сам	3	6
244	в подлиннике	2	6
245	этот вопрос	7	6
