N	2gram	Vygotskiy_	Morfolog
1	может быть	20	61
2	таким образом	38	26
3	могут быть	7	21
4	так как	25	20
5	мы имеем	3	19
6	не может	23	19
7	в этом	47	18
8	в этих	2	17
9	представляет собой	23	17
10	и в	47	17
11	и не	27	16
12	представляют собой	2	16
13	мы видим	10	15
14	перед нами	3	14
15	с этим	5	14
16	прежде всего	9	14
17	по существу	2	13
18	связи с	4	12
19	а не	7	11
20	вопрос о	9	10
21	но если	5	10
22	то же	16	10
23	в том	38	10
24	то что	40	10
25	так и	8	10
26	что в	23	10
27	что и	4	10
28	а затем	2	10
29	этом случае	15	10
30	все же	7	9
31	но и	19	9
32	с другой	7	9
33	не только	36	8
34	в результате	3	8
35	но не	13	8
36	а в	3	8
37	мы не	10	8
38	в качестве	9	8
39	как мы	24	8
40	не могут	9	7
41	том что	28	7
42	если в	6	7
43	по отношению	10	7
44	образом мы	2	7
45	тем не	4	7
46	наряду с	2	7
47	не менее	6	7
48	отношению к	9	7
49	как это	7	7
50	и здесь	5	7
51	точки зрения	39	7
52	во втором	5	7
53	один из	3	7
54	потому что	26	7
55	очень часто	2	6
56	это не	6	6
57	но это	4	6
58	во всех	9	6
59	и как	7	6
60	или в	2	6
61	во время	2	6
62	увидим ниже	3	6
63	также и	2	6
64	подобно тому	2	6
65	в нашем	6	6
66	о том	5	6
67	если мы	6	6
68	с точки	31	6
69	как бы	13	6
70	вовсе не	3	6
71	одна из	2	5
72	ничего не	2	5
73	они и	2	5
74	и ее	3	5
75	мы можем	7	5
76	было бы	12	5
77	об этом	4	5
78	в ходе	14	5
79	что он	13	5
80	начинается с	2	5
81	как в	7	5
82	тому что	14	5
83	прежде чем	3	5
84	к тому	13	5
85	из которых	3	5
86	между тем	2	5
87	в целом	7	5
88	другой стороны	3	5
89	между собой	15	5
90	на его	3	5
91	тому как	2	5
92	там где	7	5
93	в других	2	5
94	все эти	7	5
95	что они	11	5
96	он не	5	5
97	раньше чем	2	5
98	в первом	6	5
99	если же	2	5
100	хотя и	4	5
101	учение о	3	5
102	ясно что	4	5
103	сказать что	18	4
104	на самом	3	4
105	его в	7	4
106	так же	26	4
107	в то	10	4
108	можно было	7	4
109	к этому	2	4
110	нами в	6	4
111	тем что	14	4
112	не является	4	4
113	еще не	5	4
114	самом деле	6	4
115	показать что	8	4
116	из них	2	4
117	но в	9	4
118	на котором	4	4
119	но все	2	4
120	что его	2	4
121	и для	5	4
122	как и	19	4
123	что функции	2	4
124	оно может	2	4
125	входит в	3	4
126	этот вопрос	2	4
127	и к	11	4
128	на этом	4	4
129	несмотря на	2	4
130	того чтобы	26	4
131	с теми	2	4
132	о его	3	4
133	никто не	2	4
134	случае не	2	4
135	от того	6	4
136	мы уже	5	4
137	первом случае	5	3
138	то в	4	3
139	мы приходим	2	3
140	время как	7	3
141	но эти	2	3
142	мы должны	7	3
143	а и	2	3
144	но как	3	3
145	как таковое	2	3
146	в которой	16	3
147	в собственном	4	3
148	вопроса о	2	3
149	это было	2	3
150	что это	7	3
151	и их	7	3
152	целый ряд	6	3
153	для каждой	3	3
154	друг друга	9	3
155	только что	7	3
156	если бы	8	3
157	в виде	2	3
158	может существовать	2	3
159	возникает вопрос	2	3
160	это и	7	3
161	связана с	4	3
162	и тем	10	3
163	та же	2	3
164	из двух	3	3
165	не в	7	3
166	для того	24	3
167	и при	2	3
168	с этой	5	3
169	у нас	3	3
170	собственном смысле	4	3
171	к ней	2	3
172	в пределах	3	3
173	в какой	6	3
174	того что	27	3
175	приводит к	10	3
176	здесь мы	2	3
177	ее в	11	3
178	к нему	5	3
179	они не	2	3
180	на то	5	3
181	ни в	3	3
182	что такое	2	3
183	состоит в	3	3
184	но мы	5	3
185	с собой	3	3
186	что при	4	3
187	в большинстве	2	3
188	и функции	2	3
189	благодаря этому	3	3
190	но для	2	3
191	а по	4	3
192	большинстве случаев	2	3
193	совсем не	2	3
194	в начале	6	3
195	и что	14	3
196	то время	8	3
197	и тогда	3	3
198	и по	6	3
199	и его	14	3
200	только в	24	3
201	в сущности	16	3
202	в ином	3	3
203	и есть	4	3
204	и только	7	3
205	значение и	2	3
206	приводят к	2	3
