N	2gram	Bakhtin_Pr	formyVre
1	и в	59	148
2	в этом	40	73
3	то есть	64	70
4	в романе	12	58
5	в нем	38	51
6	прежде всего	17	46
7	и не	66	37
8	в его	44	36
9	и его	21	36
10	вовсе не	13	35
11	но и	22	33
12	то же	15	32
13	не только	26	32
14	в литературе	7	32
15	но в	7	31
16	жизни и	21	31
17	так и	13	29
18	времени в	2	27
19	может быть	38	27
20	не в	10	26
21	как мы	10	26
22	как и	21	25
23	как бы	40	25
24	человеческой жизни	4	24
25	мы уже	4	24
26	точки зрения	36	24
27	в то	15	23
28	человека в	8	23
29	только в	15	23
30	то что	21	22
31	в том	17	22
32	жизни в	3	21
33	все эти	12	21
34	во всех	8	21
35	же время	10	21
36	в основном	2	19
37	в своем	12	19
38	и для	5	19
39	и на	15	19
40	у него	9	18
41	и все	4	18
42	по существу	5	18
43	еще не	11	18
44	таким образом	22	18
45	человека и	2	17
46	с этим	2	17
47	те же	3	17
48	при этом	5	17
49	так как	11	17
50	в особенности	2	17
51	в пределах	13	17
52	все же	9	16
53	и во	2	16
54	в основе	6	16
55	не может	31	16
56	в условиях	4	16
57	и их	7	16
58	никогда не	19	15
59	в них	5	15
60	лишь в	4	15
61	в пространстве	3	15
62	так сказать	8	15
63	в дальнейшем	2	15
64	в одном	14	15
65	с точки	21	15
66	с его	14	15
67	вместе с	2	15
68	так же	10	14
69	его жизни	2	14
70	все это	12	14
71	всех этих	3	14
72	и как	10	14
73	в конце	9	14
74	и с	10	14
75	как раз	9	14
76	а не	30	14
77	роль в	2	13
78	в их	5	13
79	в частности	2	13
80	а в	9	13
81	с другом	4	13
82	здесь в	3	13
83	того чтобы	5	13
84	же в	3	13
85	друг с	4	13
86	для того	3	13
87	как в	10	13
88	в котором	6	13
89	в самом	19	13
90	с ним	13	13
91	ничего не	8	12
92	образа человека	2	12
93	в истории	3	12
94	не было	5	12
95	и до	5	12
96	конечно не	7	12
97	и наконец	5	12
98	но не	13	12
99	потому что	20	12
100	он не	11	12
101	что в	14	12
102	его в	6	11
103	и у	6	11
104	между ними	4	11
105	в образе	4	11
106	в ней	8	11
107	ни в	5	11
108	романа в	8	11
109	из них	8	11
110	уже в	9	11
111	мира и	8	11
112	здесь не	2	10
113	в ее	4	10
114	тот же	4	10
115	кроме того	3	10
116	и другие	4	10
117	сих пор	3	10
118	входит в	11	10
119	уже не	14	10
120	в большинстве	3	10
121	уже говорили	2	10
122	до сих	3	10
123	могут быть	5	9
124	одного и	2	9
125	к себе	2	9
126	и других	8	9
127	всего в	2	9
128	и следовательно	7	9
129	жизнь и	3	9
130	том что	15	9
131	должно быть	4	9
132	и даже	4	9
133	мира в	6	9
134	и это	5	9
135	с другой	3	9
136	на протяжении	3	9
137	для него	23	9
138	но все	8	9
139	есть в	10	9
140	в самой	10	9
141	их в	8	9
142	оно не	2	9
143	здесь нет	3	9
144	отношения к	4	9
145	до конца	11	8
146	это не	13	8
147	или иной	3	8
148	для себя	5	8
149	и прежде	2	8
150	и потому	9	8
151	в произведении	4	8
152	отношение к	4	8
153	все его	4	8
154	в целом	8	8
155	и т.п	8	8
156	большинстве случаев	3	8
157	один из	4	8
158	что и	10	8
