N	2gram	Propp_Isto	Problemy
1	и в	41	106
2	и не	12	90
3	как бы	8	70
4	может быть	19	66
5	т е	34	59
6	в его	4	56
7	в этом	19	52
8	в нем	12	51
9	не может	19	49
10	что он	29	44
11	как и	8	44
12	но и	20	40
13	точки зрения	4	40
14	и его	11	39
15	а не	9	38
16	не только	30	36
17	то же	12	36
18	то что	12	33
19	но в	7	33
20	прежде всего	6	32
21	в то	6	29
22	все это	9	29
23	он не	8	29
24	и все	6	28
25	не в	12	27
26	в одном	2	27
27	к другому	2	27
28	к себе	4	26
29	к нему	8	25
30	и т	29	25
31	в самом	2	25
32	и с	4	25
33	героя и	5	24
34	вовсе не	6	24
35	и на	12	23
36	таким образом	15	22
37	что я	2	22
38	по себе	2	22
39	как мы	6	21
40	там где	7	21
41	никогда не	16	20
42	все же	14	20
43	потому что	13	20
44	только в	10	20
45	что в	21	19
46	с его	4	19
47	отношению к	3	19
48	что же	2	19
49	в себе	3	18
50	по отношению	3	18
51	все эти	8	18
52	уже не	8	18
53	еще не	13	18
54	но не	8	18
55	это не	14	17
56	в том	14	17
57	так и	8	17
58	а в	12	17
59	с ним	9	17
60	так же	6	16
61	в другом	2	16
62	если бы	3	16
63	в своей	4	16
64	и наконец	6	15
65	у него	16	15
66	так как	21	14
67	в своем	3	14
68	в конце	4	14
69	и сам	3	14
70	он и	3	14
71	а как	2	14
72	его в	7	13
73	перед нами	4	13
74	героя в	3	13
75	и это	9	13
76	в целом	2	13
77	на него	3	13
78	но все	5	13
79	том что	18	12
80	в одной	3	12
81	даже в	2	12
82	ничего не	7	12
83	так что	6	12
84	к тому	4	12
85	не знает	2	12
86	что и	13	12
87	при этом	7	12
88	было бы	4	12
89	во всяком	3	12
90	но это	5	12
91	и даже	3	12
92	и как	3	12
93	как в	17	12
94	себе и	3	12
95	в котором	3	12
96	и что	15	12
97	не могут	3	11
98	в форме	4	11
99	она не	3	11
100	а я	2	11
101	тем что	11	11
102	с другой	20	11
103	их в	3	11
104	мы уже	10	11
105	как будто	4	11
106	отношение к	6	10
107	в него	4	10
108	что не	3	10
109	до сих	4	10
110	сих пор	5	10
111	далеко не	3	10
112	или в	11	9
113	могут быть	3	9
114	в них	4	9
115	хотя и	3	9
116	другой стороны	17	9
117	из одного	3	9
118	что у	6	9
119	ни в	4	9
120	всяком случае	3	9
121	но он	4	9
122	мы должны	7	8
123	но как	4	8
124	уже в	4	8
125	никак не	2	8
126	и о	2	8
127	того что	7	8
128	здесь не	4	8
