N	3gram	Propp_Isto	Psycholo
1	в том что	4	78
2	для того чтобы	3	70
3	на то что	3	55
4	о том что	5	34
5	с одной стороны	7	28
6	до сих пор	7	23
7	не может быть	6	23
8	и т д	36	22
9	с другой стороны	10	20
10	в том чтобы	2	20
11	мы видим что	4	16
12	так же как	10	14
13	в то время	3	14
14	то время как	3	13
15	этой точки зрения	2	12
16	то что он	2	11
17	подобно тому как	2	11
18	с этой точки	2	10
19	вместе с тем	7	10
20	не в том	2	10
21	и то что	3	10
22	потому что он	5	9
23	в данном случае	2	9
24	точно так же	3	9
25	и то же	2	8
26	мы знаем что	8	8
27	друг с другом	2	8
28	и таким образом	2	8
29	на этот вопрос	2	7
30	что и в	3	7
31	если бы мы	3	7
32	как и в	4	7
33	одно и то	2	7
34	тем не менее	6	6
35	не только в	2	6
36	что у него	2	6
37	и вместе с	3	5
38	мы видели что	2	5
39	же как и	4	5
40	о том как	4	5
41	мы видим в	2	5
42	в том смысле	2	5
43	таким образом мы	3	4
44	но так как	3	4
45	здесь мы видим	2	4
46	он не может	2	4
47	таким образом в	2	4
48	только тогда когда	2	4
49	во всех этих	2	3
50	после того как	4	3
51	не потому что	2	3
52	в это время	2	3
53	так как в	3	3
54	в этом случае	13	3
55	по отношению к	2	3
56	мы имеем в	2	2
57	как мы видели	2	2
58	но вместе с	4	2
59	на задний план	3	2
60	так и в	2	2
61	и целый ряд	2	2
62	мы перейдем к	2	2
63	т д мы	3	2
64	мы увидим ниже	4	2
65	но и в	2	2
66	здесь мы имеем	4	2
67	в связи с	6	2
68	так как он	2	2
69	и в особенности	2	2
70	это еще не	2	2
71	т д все	2	2
72	и в русской	2	2
73	это значит что	2	2
74	как мы увидим	4	2
75	целый ряд других	2	2
76	можно найти в	2	2
77	том что при	2	2
78	и тем не	2	2
79	и тем самым	2	2
