N	3gram	Propp_Morf	Vvedenie
1	и т д	60	39
2	для того чтобы	3	22
3	в том что	4	15
4	о том что	3	13
5	не может быть	9	10
6	тем не менее	6	9
7	в этом случае	10	6
8	вопрос о том	2	5
9	не что иное	2	5
10	во всяком случае	2	5
11	т д но	4	5
12	что иное как	2	5
13	с другой стороны	5	5
14	может быть названо	4	4
15	в данном случае	2	4
16	в этом отношении	2	4
17	но все же	4	4
18	с одной стороны	2	4
19	по отношению к	7	4
20	с точки зрения	6	4
21	можно было бы	2	4
22	и тем не	2	3
23	в собственном смысле	3	3
24	т д а	2	2
25	состоит в том	3	2
26	т д в	2	2
27	подобно тому как	5	2
28	в первом случае	3	2
29	а также и	5	2
30	это еще не	2	2
31	в этих случаях	14	2
32	точно так же	2	2
33	до наших дней	2	2
34	может быть и	2	2
35	в связи с	9	2
36	не могут быть	4	2
