N	3gram	Potebnia_M	Komedia
1	в том что	22	29
2	до сих пор	4	16
3	то же время	8	16
4	в то же	8	16
5	о том что	5	13
6	для того чтобы	5	11
7	в то время	7	11
8	и т п	7	11
9	в свою очередь	6	10
10	по отношению к	10	9
11	то время как	3	9
12	с одной стороны	4	9
13	вместе с тем	5	9
14	с другой стороны	4	8
15	и в самом	3	8
16	во всяком случае	3	7
17	после того как	2	6
18	с точки зрения	2	6
19	до тех пор	5	6
20	что он не	3	5
21	то же самое	3	5
22	и т д	5	5
23	в этом отношении	2	5
24	том что он	2	5
25	тем не менее	7	5
26	что и в	4	4
27	к тому что	3	4
28	и тот же	2	4
29	не в состоянии	4	4
30	более или менее	6	3
31	друг от друга	2	3
32	в том же	2	3
33	но и в	4	3
34	по тому что	2	3
35	на то что	3	3
36	один и тот	2	3
37	равно как и	2	3
38	в большинстве случаев	2	2
39	что ни одно	2	2
40	только в том	5	2
41	из них не	2	2
42	подобно тому как	3	2
43	в первом случае	2	2
44	потому что в	4	2
45	так и в	2	2
46	не только в	4	2
47	и в том	3	2
48	в этом случае	2	2
49	только потому что	5	2
50	в этом смысле	2	2
51	как и в	3	2
52	а может быть	2	2
