N	2gram	Voloshinov	Vladivir
1	и в	32	116
2	то что	12	71
3	и не	42	67
4	не только	18	65
5	у него	2	65
6	в этом	27	53
7	в том	13	52
8	том что	12	51
9	что в	5	48
10	но и	17	47
11	в конце	5	41
12	в его	10	40
13	и с	4	39
14	то есть	2	37
15	сказать что	7	36
16	и даже	4	36
17	так что	2	35
18	учение о	3	35
19	потому что	2	33
20	еще и	2	32
21	что он	5	32
22	не может	40	31
23	о том	4	30
24	только в	14	30
25	никогда не	7	29
26	как мы	26	29
27	для него	18	29
28	вовсе не	15	27
29	а в	5	27
30	не было	6	26
31	в то	7	25
32	но в	13	25
33	в себе	5	25
34	и то	4	25
35	и его	33	25
36	даже и	2	24
37	точки зрения	48	23
38	может быть	50	23
39	он не	5	23
40	что же	5	23
41	так как	5	22
42	он был	2	22
43	кроме того	7	22
44	ни в	7	22
45	в своей	5	21
46	вместе с	2	21
47	в своем	3	20
48	прежде всего	19	20
49	и что	2	20
50	и потому	7	19
51	и вообще	3	19
52	так и	21	19
53	не менее	5	19
54	как раз	5	19
55	в дальнейшем	3	19
56	таким образом	29	19
57	тем не	3	19
58	не в	13	18
59	как это	2	18
60	как и	19	18
61	с его	6	18
62	что и	5	17
63	в этой	3	17
64	у нас	4	17
65	а не	15	17
66	и если	2	17
67	уже не	2	16
68	все же	13	16
69	того что	5	16
70	совсем не	2	16
71	было бы	8	16
72	к тому	8	16
73	и все	8	16
74	для себя	4	16
75	в котором	6	16
76	не есть	6	16
77	до конца	6	15
78	в эти	2	15
79	в связи	12	15
80	к этому	10	15
81	это было	2	15
82	то же	19	15
83	в своих	2	15
84	и к	3	15
85	того же	11	14
86	уже в	3	14
87	же касается	2	14
88	все эти	8	14
89	его жизни	2	14
90	и как	8	14
91	и на	8	14
92	мы уже	7	14
93	так же	10	13
94	можно сказать	4	13
95	и от	6	13
96	что это	3	13
97	в результате	9	13
98	не просто	2	13
99	жизни и	4	13
100	на этот	3	13
101	только на	7	12
102	ничего не	9	12
103	в нем	17	12
104	связи с	22	12
105	во всяком	8	12
106	то в	3	12
107	и это	6	12
108	по себе	5	12
109	всяком случае	4	12
110	в отношении	7	11
111	мы должны	4	11
112	еще в	2	11
113	или менее	3	11
114	при этом	13	11
115	все это	4	11
116	в данном	8	11
117	хотя бы	8	11
118	в которой	4	11
119	и здесь	9	11
120	на то	4	11
121	более или	3	11
122	но что	2	11
123	конце концов	3	11
124	тому же	2	11
125	в основном	10	11
126	к нему	5	10
127	в ней	5	10
128	что все	3	10
129	в качестве	4	10
130	в истории	5	10
131	можно было	2	10
132	еще не	7	10
133	но не	2	10
134	в самом	14	10
135	отнюдь не	14	10
136	он и	2	10
137	с точки	31	10
