N	3gram	Voloshinov	Vvedenie
1	для того чтобы	7	22
2	о том что	2	13
3	не может быть	2	10
4	в то же	9	6
5	в этом случае	3	6
6	в самом деле	2	6
7	то же время	7	6
8	не что иное	2	5
9	что иное как	2	5
10	не только в	3	4
11	в этом отношении	2	4
12	но все же	3	4
13	по отношению к	2	4
14	с точки зрения	5	4
15	вместе с тем	2	3
16	то же самое	4	3
17	той или иной	4	3
18	как мы видели	3	3
19	есть не что	2	3
20	в зависимости от	7	3
21	можно сказать что	2	3
22	тех или иных	3	3
23	но в то	2	3
24	одно и то	5	2
25	и то же	5	2
26	одной и той	4	2
27	как мы уже	3	2
28	и той же	4	2
29	в конце концов	3	2
30	смысле этого слова	2	2
31	в связи с	2	2
32	в свою очередь	4	2
