N	3gram	Propp_Isto	StatiiOP
1	в том что	7	47
2	и т д	25	32
3	о том что	9	29
4	до сих пор	4	19
5	во всяком случае	3	13
6	с другой стороны	17	13
7	не может быть	5	11
8	можно было бы	3	9
9	вместе с тем	6	9
10	тем не менее	4	8
11	не только в	9	8
12	в данном случае	7	7
13	в то время	4	7
14	но все же	3	7
15	по отношению к	3	6
16	так и в	3	6
17	так же как	4	6
18	том что в	2	6
19	т д но	2	6
20	после того как	4	5
21	с тем что	2	5
22	и в области	2	5
23	в одной из	2	5
24	то время как	4	5
25	но и в	4	5
26	то что в	4	5
27	в том чтобы	2	5
28	дело не в	3	4
29	в другом месте	2	4
30	но это не	3	4
31	с одной стороны	11	4
32	что и в	3	4
33	так или иначе	2	4
34	во всех этих	6	3
35	т е в	2	3
36	что это не	2	3
37	ответ на вопрос	2	3
38	в этом случае	4	3
39	более или менее	3	3
40	о том как	3	3
41	что у него	5	3
42	мы имеем в	7	2
43	но вместе с	2	2
44	как мы видели	3	2
45	в том-то и	2	2
46	и что он	2	2
47	как и в	3	2
48	с того что	3	2
49	у него есть	2	2
50	между прочим и	2	2
51	независимо от того	2	2
52	на этот вопрос	3	2
53	в зависимости от	3	2
54	точно так же	2	2
55	и в других	2	2
56	и вместе с	3	2
