N	3gram	Trubetskoy	Problema
1	тем не менее	4	56
2	о том что	4	39
3	в том что	16	37
4	в настоящее время	3	30
5	в связи с	3	29
6	в данном случае	3	28
7	во всяком случае	2	25
8	с точки зрения	8	25
9	с другой стороны	4	25
10	в конце концов	4	23
11	и то что	3	20
12	на то что	7	19
13	для того чтобы	7	17
14	в то же	2	17
15	до сих пор	15	14
16	в этом случае	4	14
17	на самом деле	7	13
18	ничего общего с	2	13
19	не может быть	4	12
20	в то время	2	12
21	так или иначе	5	12
22	бы то ни	3	11
23	с одной стороны	2	11
24	более или менее	8	10
25	вместе с тем	3	10
26	только то что	2	10
27	что же касается	2	9
28	может быть и	4	9
29	заключается в том	3	8
30	к тому же	5	7
31	в этой области	4	7
32	то ни было	3	6
33	в самом деле	5	6
34	в том виде	2	5
35	мы говорили выше	6	5
36	том что он	2	5
37	так же как	3	5
38	во всех этих	2	4
39	мы все же	2	4
40	друг от друга	6	4
41	а с другой	2	4
42	все же не	3	4
43	именно потому что	2	4
44	но все же	2	4
45	друг к другу	2	4
46	несмотря на то	2	3
47	как и в	2	3
48	тот факт что	4	3
49	одного и того	3	3
50	и может быть	2	3
51	то ясно что	4	3
52	отличаются друг от	3	3
53	то что у	2	3
54	и того же	3	3
55	по сравнению с	5	3
56	в том случае	4	2
57	по отношению к	11	2
58	а следовательно и	2	2
59	в том же	3	2
60	и в том	2	2
61	нечего и говорить	3	2
62	так и для	2	2
63	в свою очередь	2	2
64	друг на друга	2	2
65	мы сказали выше	2	2
66	таким образом в	3	2
67	в том и	2	2
68	о которых мы	4	2
69	не может не	3	2
70	принять во внимание	2	2
