N	2gram	Trubetskoy	Analitik
1	не только	9	71
2	тогда как	2	67
3	и в	14	66
4	в качестве	3	61
5	но и	10	57
6	в том	17	52
7	может быть	9	52
8	в частности	2	51
9	в этом	17	51
10	как и	4	50
11	и не	19	48
12	а не	2	42
13	том что	9	40
14	при этом	5	40
15	в мире	4	31
16	состоит в	2	30
17	не может	22	29
18	как бы	4	29
19	отнюдь не	7	29
20	а в	5	28
21	в его	4	27
22	не в	4	26
23	но не	4	26
24	в себе	9	24
25	к тому	7	22
26	и даже	2	22
27	в этой	4	22
28	что в	4	22
29	лишь в	3	21
30	о том	7	20
31	по отношению	2	19
32	но в	2	19
33	в своей	5	19
34	то же	11	19
35	в самом	3	19
36	в то	10	18
37	в данном	7	18
38	тем самым	2	17
39	или иной	5	17
40	со стороны	4	17
41	только в	5	17
42	то что	13	16
43	что и	3	16
44	не есть	3	15
45	в их	4	15
46	прежде всего	8	15
47	уже не	2	15
48	и на	5	15
49	между тем	5	15
50	данном случае	3	14
51	той или	3	14
52	себя в	4	14
53	же время	10	14
54	по себе	2	13
55	точки зрения	11	13
56	в начале	2	13
57	для него	6	13
58	он не	5	13
59	никогда не	5	12
60	и к	6	12
61	еще не	3	12
62	сводится к	3	12
63	и как	3	11
64	в конце	3	10
65	все же	4	10
66	на себя	2	10
67	было бы	5	10
68	того или	2	10
69	именно в	3	10
70	отношения к	2	10
71	в своем	6	9
72	того что	3	9
73	или иного	2	9
74	во всех	5	9
75	в результате	2	9
76	том чтобы	3	9
77	говорить о	3	9
78	таким образом	11	9
79	вместе с	4	9
80	что он	6	8
81	одной из	3	8
82	если бы	6	8
83	с точки	9	8
84	с ним	2	8
85	в другом	3	7
86	и тем	2	7
87	место в	2	7
88	все это	6	7
89	во всяком	9	7
90	одна из	3	7
91	себя и	5	7
92	несмотря на	3	7
93	как будто	2	7
94	в глазах	2	7
95	и для	6	7
96	у него	2	7
97	и является	2	7
98	и т.д	4	7
99	приводит к	4	7
100	всяком случае	6	7
101	в таком	2	7
102	его в	4	6
103	для всех	6	6
104	если в	6	6
105	в силу	2	6
106	в нем	5	6
107	самим собой	12	6
108	не будет	7	6
109	или в	3	6
110	и состоит	2	6
111	и то	4	6
112	хотя бы	5	6
113	то в	3	6
114	в сознании	3	6
115	из этих	3	6
116	с самим	2	6
117	во всем	4	6
118	и более	2	6
119	из которых	5	6
120	из них	3	6
121	не о	2	5
122	и потому	3	5
123	не могут	4	5
124	жизни в	5	5
125	для себя	2	5
126	проявляется в	2	5
127	совершенно не	2	5
128	так что	2	5
129	самом деле	7	5
130	а с	2	5
131	не так	2	5
132	речь идет	2	5
133	и по	3	5
134	все эти	2	5
135	этом случае	3	5
136	да и	3	5
137	для того	6	5
138	в этих	2	5
139	тем что	3	5
140	ни в	2	5
141	в котором	2	5
142	все что	4	5
143	путь к	4	5
144	таким же	3	5
145	все они	3	4
146	в области	2	4
147	были бы	2	4
148	только на	2	4
149	его и	2	4
150	и о	2	4
151	к нему	2	4
152	указывает на	2	4
153	и что	2	4
154	потому что	5	4
155	в борьбе	2	4
156	по воле	2	4
157	что же	4	4
158	того чтобы	8	4
159	и во	3	4
160	и тогда	2	4
161	то ни	4	4
162	лишь при	5	4
163	и т	3	4
164	и от	2	4
165	с этим	2	4
166	но это	2	4
167	отличается от	2	4
168	сама по	2	4
169	в значительной	3	4
170	не должен	2	4
171	ее в	2	4
172	мы уже	2	4
173	в своих	6	4
174	и если	7	4
175	на которой	2	4
176	не было	3	4
177	и есть	2	4
178	на самом	6	3
179	вопрос о	5	3
180	в таких	2	3
181	мы должны	7	3
182	от него	2	3
183	она может	3	3
184	для нее	2	3
185	одному из	2	3
186	говоря о	2	3
187	видеть в	2	3
188	с тем	6	3
189	она не	2	3
190	к этой	4	3
191	взгляде на	2	3
192	в ней	2	3
193	остается в	2	3
194	и те	2	3
195	между собой	5	3
196	только к	3	3
197	что все	3	3
198	связи с	3	3
199	что они	3	3
200	во время	2	3
201	бы то	4	3
202	для этого	3	3
203	так как	4	3
204	можно было	4	3
205	бы ни	2	3
206	должно быть	3	3
207	всех этих	3	3
208	о котором	3	3
209	и тот	2	3
210	только для	2	3
211	и наконец	2	3
212	ни к	7	3
213	при условии	3	3
214	на то	5	3
215	в единое	2	3
216	и с	7	3
217	от своей	2	3
218	на почве	2	3
219	если не	2	3
220	тогда когда	4	3
221	жизни и	4	3
222	он сам	3	3
223	из этого	3	3
224	как на	8	3
225	не к	2	3
226	в большинстве	3	2
227	о которых	3	2
228	но мы	3	2
229	так же	2	2
230	для нас	2	2
231	на эту	2	2
232	даже не	2	2
233	к себе	2	2
234	и должно	2	2
235	а лишь	4	2
236	к чему	2	2
237	это только	2	2
238	том же	2	2
239	и при	6	2
240	противоречие с	2	2
241	или менее	4	2
242	от нас	2	2
243	что может	3	2
244	любви к	2	2
245	весьма часто	2	2
246	тому что	2	2
247	на этой	2	2
248	только с	2	2
249	с другом	14	2
250	более или	4	2
251	собой и	3	2
