N	2gram	Tiupa_Vved	NovoeSre
1	а не	31	17
2	и в	23	16
3	не может	14	16
4	нового времени	5	12
5	и не	24	11
6	и есть	2	10
7	что в	6	9
8	жизни и	8	8
9	в том	21	8
10	он не	6	8
11	может быть	25	7
12	как и	21	7
13	в этом	27	7
14	никогда не	6	6
15	в высшей	2	6
16	лишь в	4	6
17	не в	12	6
18	высшей степени	2	6
19	не знает	2	6
20	но это	4	6
21	не только	32	5
22	в жизни	7	5
23	должен быть	3	5
24	все это	3	5
25	в нем	9	5
26	с ее	3	5
27	в ней	5	5
28	истории в	6	5
29	и к	2	5
30	по своему	3	4
31	в них	4	4
32	и для	8	4
33	не имеет	3	4
34	прежде всего	11	4
35	не менее	4	4
36	не было	5	4
37	и потому	2	4
38	то что	9	4
39	о том	7	4
40	это не	7	4
41	потому что	7	4
42	и все	8	4
43	в мире	9	3
44	тому как	3	3
45	но и	31	3
46	к жизни	2	3
47	подобно тому	3	3
48	с другой	10	3
49	к тому	9	3
50	к ее	3	3
51	что такое	23	3
52	жизни в	5	3
53	в своей	10	3
54	еще не	8	3
55	к ним	4	3
56	жизни не	2	3
57	должна быть	3	3
58	как в	8	3
59	не есть	2	3
60	во всех	2	3
61	не существует	3	3
62	наряду с	2	3
63	в основе	6	3
64	зависит от	3	2
65	в себе	15	2
66	что она	2	2
67	истории а	3	2
68	как будто	6	2
69	все они	2	2
70	и с	2	2
71	одна из	5	2
72	том чтобы	2	2
73	для этого	2	2
74	себя в	4	2
75	но не	9	2
76	в категориях	2	2
77	и т.п	14	2
78	и от	3	2
79	мира а	2	2
80	нашего времени	2	2
81	роль в	2	2
82	войны и	5	2
83	того чтобы	2	2
84	и это	2	2
85	хотя бы	2	2
86	а в	15	2
87	но в	14	2
88	том что	16	2
89	не к	4	2
90	можно назвать	2	2
91	и на	5	2
92	бытия в	3	2
93	не хотят	2	2
94	есть в	2	2
95	и что	2	2
96	ли это	2	2
97	мы не	6	2
98	на протяжении	2	2
99	можно было	2	2
100	вернуться к	2	2
101	времени в	3	2
102	мира и	5	2
103	у него	8	2
104	времени и	7	2
105	уже не	7	2
106	с их	2	2
107	как это	2	2
108	другой стороны	3	2
109	так же	2	2
110	так и	14	2
111	ни к	3	2
112	такого рода	23	2
113	могут быть	5	2
114	жизни как	2	2
115	одной стороны	9	2
116	но она	2	2
117	в то	5	2
118	который в	5	2
119	хотя и	10	2
120	с одной	9	2
121	еще до	2	2
122	место в	2	2
123	и даже	3	2
124	более не	2	2
125	в центре	4	2
126	вместе с	2	2
