N	2gram	Potebnia_M	Tragedij
1	и в	48	18
2	в этом	19	9
3	не только	32	8
4	и не	28	7
5	он сам	2	7
6	и на	5	7
7	как бы	10	7
8	и с	4	7
9	может быть	46	7
10	же время	8	6
11	что он	8	6
12	но в	8	6
13	и его	4	6
14	в образе	4	6
15	у него	3	6
16	несмотря на	2	5
17	что это	6	5
18	все же	3	5
19	это не	2	5
20	то же	35	5
21	как и	22	5
22	так и	17	5
23	не может	18	5
24	в то	16	5
25	что в	30	4
26	еще не	9	4
27	в целом	5	4
28	но и	30	4
29	прежде всего	6	4
30	об этом	4	4
31	том что	28	4
32	в этой	3	4
33	и что	13	4
34	так же	6	4
35	и все	5	4
36	все это	4	4
37	в нем	16	4
38	что я	5	4
39	то что	37	4
40	но это	9	4
41	и даже	3	4
42	в себе	26	4
43	этот образ	7	4
44	один из	7	3
45	и как	8	3
46	в мире	3	3
47	уже в	10	3
48	тем самым	11	3
49	к нему	7	3
50	в своем	6	3
51	при этом	6	3
52	в его	6	3
53	что с	2	3
54	никто не	5	3
55	должно быть	9	3
56	как в	17	3
57	для него	14	3
58	то есть	53	3
59	с ним	10	3
60	никогда не	2	2
61	в самом	11	2
62	и то	13	2
63	но все	2	2
64	данном случае	3	2
65	по поводу	8	2
66	с тем	9	2
67	точно так	15	2
68	друг друга	6	2
69	тем что	13	2
70	перед нами	3	2
71	в душе	17	2
72	вопрос о	2	2
73	в одном	4	2
74	его в	6	2
75	не имеет	10	2
76	в виде	3	2
77	то и	10	2
78	в данном	3	2
79	не могут	7	2
80	в ее	3	2
81	но эта	3	2
82	что все	5	2
83	вряд ли	4	2
84	к тому	9	2
85	а как	2	2
86	от всего	4	2
87	о том	7	2
88	что и	16	2
89	ни в	2	2
90	тут же	2	2
91	не в	24	2
92	столь же	8	2
93	и здесь	3	2
94	потому что	82	2
95	одном из	4	2
96	было в	6	2
97	что этот	2	2
98	и я	3	2
99	в известной	3	2
100	только о	2	2
101	как у	2	2
102	в таком	6	2
103	еще раз	2	2
104	так что	14	2
105	он не	4	2
106	в первом	5	2
107	бы и	4	2
108	уже не	11	2
109	что она	4	2
110	что эти	3	2
111	и это	6	2
112	если б	9	2
113	отличие от	2	2
114	в том	47	2
115	с первого	2	2
116	в глаза	2	2
117	и до	2	2
118	в глазах	3	2
119	который в	2	2
120	теперь и	2	2
121	его за	2	2
122	в это	2	2
123	отношение к	2	2
