N	3gram	Ircho_Kome	Myshleni
1	в том что	15	133
2	с точки зрения	6	89
3	для того чтобы	8	78
4	по сравнению с	3	45
5	по отношению к	4	42
6	с одной стороны	4	39
7	с самого начала	5	36
8	друг с другом	3	35
9	то же самое	3	31
10	в этом отношении	2	30
11	в этом случае	2	27
12	с другой стороны	2	26
13	вместе с тем	5	26
14	о том что	7	25
15	в то время	3	22
16	в высшей степени	2	22
17	то время как	3	20
18	в самом деле	13	19
19	в отличие от	3	18
20	во всяком случае	3	18
21	состоит в том	2	18
22	до сих пор	12	17
23	в связи с	3	17
24	в свою очередь	10	14
25	в первую очередь	2	14
26	тем не менее	3	12
27	и тот же	3	12
28	один и тот	3	12
29	то обстоятельство что	3	11
30	одной стороны и	2	10
31	в том числе	2	10
32	не иначе как	2	10
33	том числе и	2	10
34	в конечном счете	2	9
35	более или менее	2	9
36	что и в	2	8
37	речь идет о	3	8
38	что он не	3	8
39	в том же	2	8
40	о том как	5	7
41	потому что в	2	6
42	именно потому что	2	6
43	в конце концов	3	5
44	но все же	3	5
45	в то же	11	5
46	едва ли не	4	5
47	так как он	2	5
48	в какой мере	2	5
49	после того как	3	4
50	с полным основанием	2	4
51	на этот раз	2	4
52	если бы он	3	4
53	вместе с ним	3	4
54	и тем более	2	4
55	таким образом и	2	4
56	бы то ни	3	3
57	и в самом	7	3
58	то ни было	3	3
59	чем идет речь	2	3
60	том что она	2	3
61	имеем в виду	2	3
62	мы имеем в	2	3
63	к тому же	9	3
64	о чем идет	2	3
65	ответа на вопрос	2	3
66	то же время	11	3
67	требует от него	2	3
68	наряду с этим	2	2
69	и все же	2	2
70	только для того	2	2
71	само собой разумеется	3	2
72	на пути к	2	2
73	в ответ на	4	2
74	в этой связи	3	2
75	собой разумеется что	3	2
76	что он в	2	2
77	там и здесь	3	2
78	в чем же	2	2
79	по отношению ко	2	2
