N	2gram	Vinokur_Ku	Myshleni
1	в том	47	195
2	в этом	31	167
3	то что	14	166
4	и в	44	162
5	том что	30	161
6	таким образом	17	147
7	точки зрения	25	143
8	с помощью	12	131
9	что в	25	119
10	не только	29	116
11	того что	11	109
12	так же	8	100
13	речи и	8	99
14	потому что	40	95
15	того чтобы	25	91
16	может быть	25	89
17	с точки	16	89
18	что он	7	86
19	не может	13	81
20	как и	3	79
21	так как	16	78
22	для того	23	78
23	и не	23	78
24	только в	15	75
25	в целом	5	74
26	как мы	2	72
27	но и	13	70
28	речи в	7	70
29	заключается в	3	67
30	в его	16	67
31	мы могли	2	65
32	сказать что	5	65
33	как бы	11	64
34	вместе с	8	62
35	письменной речи	10	60
36	в качестве	12	60
37	и что	11	60
38	было бы	28	60
39	устной речи	2	58
40	то же	12	58
41	в отношении	2	55
42	могли бы	4	54
43	что мы	6	53
44	в силу	16	53
45	в самом	20	52
46	в сущности	11	51
47	по сравнению	3	51
48	мы должны	2	50
49	к тому	8	49
50	что они	5	48
51	мы можем	2	48
52	тем что	9	48
53	тогда когда	7	47
54	на основе	2	47
55	если бы	21	46
56	но не	11	45
57	с другой	14	45
58	по отношению	9	45
59	тем самым	5	43
60	с тем	5	43
61	же как	3	43
62	как это	6	42
63	тому что	3	42
64	отношению к	9	42
65	не является	2	41
66	одной стороны	2	40
67	о том	10	40
68	так и	10	39
69	никогда не	2	39
70	с одной	3	39
71	в области	15	38
72	мы видели	3	38
73	вопрос о	11	37
74	не в	18	37
75	если мы	5	37
76	значение слова	3	37
77	в этой	8	37
78	в своем	4	36
79	все эти	17	36
80	и его	8	36
81	как в	6	36
82	а не	17	36
83	того же	6	35
84	можно было	14	35
85	он не	4	35
86	в которой	7	35
87	в себе	4	35
88	и как	3	34
89	связи с	8	34
90	приводит к	3	34
91	при этом	6	33
92	прежде всего	14	33
93	по себе	10	33
94	что и	5	32
95	именно в	7	32
96	но в	11	32
97	слова и	8	32
98	той же	5	32
99	и тем	7	32
100	что оно	6	32
101	и на	8	32
102	и то	7	31
103	все же	17	31
104	этом отношении	8	30
105	на то	6	30
106	между тем	11	29
107	могут быть	5	29
108	этого слова	8	29
109	от того	5	29
110	переход от	4	28
111	к слову	2	28
112	с этим	6	28
113	самом деле	17	28
114	что с	2	28
115	что все	6	27
116	в своей	4	27
117	речи но	2	27
118	только что	2	27
119	с этой	4	27
120	в результате	8	27
121	в то	4	27
122	перед нами	4	27
123	этом случае	4	27
124	другой стороны	12	27
125	и с	11	27
126	в их	3	26
127	в частности	6	26
128	что это	11	26
129	для него	2	26
130	в собственном	2	26
131	все это	10	25
132	по мере	3	25
133	еще не	10	25
134	уже в	5	25
135	что она	5	25
136	это не	13	25
137	в чем	2	25
138	можно сказать	6	25
139	так что	5	24
140	мы знаем	3	24
141	тот же	7	24
142	целый ряд	8	24
143	в какой	7	24
144	в нем	7	24
145	того как	6	24
146	зависимости от	9	24
147	на этот	4	24
148	в слове	3	24
149	в смысле	2	24
150	в сфере	3	24
151	состоит в	4	23
152	бы в	8	23
153	слова в	7	23
154	ни в	3	23
155	этот вопрос	7	23
156	речи с	2	23
157	речи к	2	23
158	смысле этого	5	22
159	в известном	2	22
160	во всяком	8	22
161	в зависимости	7	22
162	не могут	5	22
163	столь же	2	22
164	отношение к	2	21
165	в истории	3	21
166	и более	3	21
167	в нашем	8	21
168	представление о	3	21
169	там где	7	21
170	показать что	2	21
171	к этому	4	21
172	и все	4	21
173	ее в	2	21
174	между ними	2	21
175	и следовательно	2	21
176	не имеет	6	21
177	в такой	2	20
178	речи не	3	20
179	в котором	4	20
180	в виду	7	20
181	по существу	9	20
182	а в	7	20
183	должно быть	6	20
184	к которому	3	20
185	из них	4	20
186	как раз	10	20
187	в другом	2	20
188	и их	2	20
189	на этом	4	20
190	не менее	12	20
191	из этих	5	20
192	речь в	7	19
193	в данном	8	19
194	в себя	2	19
195	с ним	5	19
196	из которых	3	19
197	в той	6	19
198	как на	4	19
199	но если	2	19
200	а с	3	19
201	и по	4	19
202	в речи	5	19
203	один из	8	19
204	в связи	4	19
205	отличие от	3	18
206	от речи	2	18
207	слов и	2	18
208	одного и	2	18
209	чем в	3	18
210	всяком случае	8	18
211	но это	4	18
212	в отличие	3	18
213	этом смысле	8	18
214	для этого	6	17
215	мы находим	2	17
216	на деле	2	17
217	сих пор	5	17
218	и для	3	17
219	в своих	2	17
220	в свою	4	17
221	и того	2	17
222	в одном	4	17
223	и от	2	17
224	обе эти	4	17
225	казалось бы	5	17
226	этой точки	4	17
227	то и	4	17
228	это положение	2	17
229	и есть	3	17
230	и только	2	17
231	ту же	6	17
232	не есть	4	17
233	в этих	5	17
234	иначе как	2	17
235	тем же	2	17
236	до конца	3	17
237	я не	5	17
238	в совершенно	2	17
239	у него	3	17
240	до сих	5	17
241	на этой	4	16
242	языка и	16	16
243	вовсе не	18	16
244	по поводу	2	16
245	бы сказать	3	16
246	для нас	6	16
247	к одному	2	16
248	которые в	2	16
249	и даже	5	16
250	в которых	8	16
251	мы имеем	11	16
252	данном случае	2	15
253	тем более	2	15
254	когда он	4	15
255	но как	2	15
256	том же	3	15
257	который мы	2	15
258	этого процесса	2	15
259	что если	4	15
260	от этого	4	15
261	хотя бы	19	15
262	отличается от	2	15
263	вообще не	2	15
264	ничего не	6	15
265	на все	3	15
266	и это	3	15
267	в них	10	15
268	и является	4	15
269	он должен	2	14
270	точку зрения	2	14
271	только тогда	4	14
272	что для	3	14
273	что эти	4	14
274	что у	3	14
275	это есть	2	14
276	когда мы	3	14
277	последнее время	3	14
278	в первую	5	14
279	очевидно что	4	14
280	от слова	3	14
281	но что	3	14
282	связанные с	3	14
283	о чем	2	14
284	свою очередь	4	14
285	об этом	4	14
286	первую очередь	3	14
287	с его	4	14
288	одним из	2	14
289	и здесь	8	14
290	все более	2	13
291	на его	3	13
292	но все	5	13
293	лишь в	6	13
294	точно так	4	13
295	как они	2	13
296	в состоянии	2	13
297	слова как	5	13
298	они не	4	13
299	что между	2	13
300	отнюдь не	5	13
301	в действительности	2	13
302	его к	5	13
303	если в	2	13
304	смысле слова	3	13
305	были бы	2	12
306	и потому	6	12
307	в ее	2	12
308	в первом	3	12
309	никак не	5	12
310	тем не	10	12
311	но только	5	12
312	даже в	4	12
313	выражение в	4	12
314	это и	6	12
315	что слово	6	12
316	несмотря на	6	12
317	в ней	6	12
318	только к	2	12
319	с их	3	12
320	свое выражение	2	12
321	том чтобы	9	12
322	ясно что	7	12
323	которых мы	2	12
324	тому же	2	12
325	но он	2	12
326	на самом	3	11
327	в каком	6	11
328	в конце	5	11
329	одно из	3	11
330	идет о	3	11
331	а только	10	11
332	действия и	2	11
333	что этот	2	11
334	иначе говоря	2	11
335	есть не	2	11
336	и при	3	11
337	на том	4	11
338	ответ на	2	11
339	находится в	2	11
340	например в	5	11
341	в пределах	8	11
342	мы увидим	3	11
343	наряду с	2	11
344	гораздо более	6	11
345	что на	2	11
346	нуждается в	5	11
347	обстоятельство что	15	11
348	то обстоятельство	15	11
349	на примере	3	11
350	или менее	3	11
351	слово в	2	11
352	не знает	4	11
353	не столько	2	11
354	ничего общего	2	11
355	есть в	6	11
356	отношения к	2	11
357	здесь мы	2	10
358	относится к	3	10
359	потребность в	3	10
360	с той	2	10
361	у нас	19	10
362	что такое	8	10
363	если не	4	10
364	в следующем	2	10
365	о которых	2	10
366	или иной	3	10
367	вопроса о	7	10
368	за собой	2	10
369	речь идет	4	10
370	что его	2	10
371	как с	2	10
372	в конечном	3	10
373	но для	4	10
374	указывает на	2	10
375	в нашей	4	10
376	мысль и	2	10
377	внимание на	5	10
378	в случае	2	10
379	и у	3	10
380	к жизни	2	10
381	и может	3	10
382	и значение	2	10
383	учение о	4	10
384	что именно	2	10
385	под влиянием	3	9
386	само по	6	9
387	также и	7	9
388	только для	3	9
389	мы говорим	4	9
390	связано с	3	9
391	к этой	3	9
392	хотя и	7	9
393	и он	4	9
394	совершенно не	4	9
395	целом и	2	9
396	мы в	3	9
397	как только	2	9
398	в системе	3	9
399	в тех	4	9
400	более или	3	9
401	что можно	4	9
402	должны быть	4	9
403	в самой	6	9
404	оно не	5	9
405	но с	2	9
406	этого вопроса	3	9
407	что же	11	9
408	силу того	2	9
409	по пути	2	9
410	конечном счете	2	9
411	не с	4	9
412	должен быть	8	9
413	говорить о	5	9
414	или в	5	9
415	различие между	2	8
416	нисколько не	6	8
417	что не	10	8
418	речи а	3	8
419	себе и	3	8
420	что только	2	8
421	со стороны	8	8
422	в современной	3	8
423	главным образом	3	8
424	дело с	2	8
425	почти всегда	3	8
426	увидим что	2	8
427	как правило	2	8
428	тому чтобы	2	8
429	не как	2	8
430	мы наблюдаем	2	8
431	в более	2	8
432	не на	4	8
433	который по	2	8
434	уже и	3	8
435	поэтому что	2	8
436	все равно	4	8
437	стоит в	5	8
438	этой области	3	8
439	что я	4	8
440	не мог	2	8
441	том как	3	8
442	только и	3	8
443	образом в	3	8
444	еще один	3	8
445	только то	2	8
446	и тогда	4	8
447	о котором	4	8
448	связан с	2	8
449	не имеют	3	7
450	к вопросу	4	7
451	должна быть	6	7
452	с ними	6	7
453	а также	3	7
454	в живом	2	7
455	слова не	2	7
456	в разных	2	7
457	в общем	4	7
458	же в	5	7
459	всех этих	4	7
460	из области	4	7
461	в таком	3	7
462	с первого	2	7
463	слова с	2	7
464	общего с	2	7
465	во втором	2	7
466	до того	2	7
467	в ряде	2	7
468	без всякого	2	7
469	мере в	7	7
470	это слово	7	7
471	знаем что	3	7
472	со словом	3	7
473	в каждом	3	6
474	значение и	2	6
475	это было	2	6
476	можно считать	2	6
477	что иное	2	6
478	как таковой	2	6
479	на язык	4	6
480	роль в	6	6
481	том смысле	2	6
482	как например	3	6
483	для обозначения	2	6
484	бы и	6	6
485	или даже	2	6
486	смысле что	2	6
487	уже не	13	6
488	еще и	7	6
489	иное как	3	6
490	как к	2	6
491	слов в	5	6
492	и эти	3	6
493	всего в	2	6
494	но так	2	6
495	вопросу о	4	6
496	именно поэтому	2	6
497	дело в	2	6
498	фактов и	2	6
499	предположить что	2	6
500	ли не	4	6
501	том и	3	6
502	и о	3	6
503	что их	2	6
504	а это	5	6
505	тех же	2	6
506	нужно было	3	6
507	себе в	3	6
508	только потому	13	6
509	и там	2	6
510	сравнению со	2	6
511	что было	2	6
512	очень часто	2	6
513	и мы	2	6
514	которую можно	2	6
515	для данного	2	6
516	не что	2	6
517	когда оно	2	5
518	мы приходим	2	5
519	отношений в	3	5
520	то мы	4	5
521	это как	2	5
522	слова но	3	5
523	своей собственной	3	5
524	как у	2	5
525	после того	3	5
526	формы в	2	5
527	это так	2	5
528	совершенно ясно	2	5
529	не потому	6	5
530	в область	2	5
531	так называемая	2	5
532	в свое	4	5
533	в контексте	2	5
534	для них	2	5
535	содержания и	2	5
536	речи можно	5	5
537	слова на	2	5
538	к ним	2	5
539	о языке	8	5
540	сами по	2	5
541	но даже	3	5
542	вообще и	2	5
543	конце концов	3	5
544	роли в	3	5
545	быть в	2	5
546	может иметь	3	5
547	более того	2	5
548	именно это	2	5
549	тех случаях	2	5
550	а потому	6	5
551	аналогии с	3	5
552	был бы	4	5
553	в наши	2	5
554	случаях когда	2	5
555	в стороне	2	5
556	той мере	6	5
557	втором случае	2	5
558	есть нечто	2	5
559	может служить	4	5
560	когда в	4	5
561	на более	3	5
562	в значении	2	5
563	под этим	2	5
564	дело не	4	5
565	как такового	2	5
566	не для	2	5
567	только как	3	5
568	свое время	4	5
569	не просто	7	5
570	а следовательно	2	5
571	в форме	3	5
572	кроме того	2	5
573	в большей	2	5
574	однако не	9	5
575	все те	3	5
576	и вот	4	4
577	же слово	2	4
578	так например	3	4
579	ряд слов	2	4
580	однако в	2	4
581	культурного развития	3	4
582	рядом с	7	4
583	время в	2	4
584	так сказать	5	4
585	исходит из	2	4
586	идет речь	3	4
587	значения в	2	4
588	и если	4	4
589	отношения и	2	4
590	в одно	2	4
591	связанная с	2	4
592	же образом	2	4
593	нам не	5	4
594	мне кажется	2	4
595	можно ли	6	4
596	и когда	2	4
597	но ведь	3	4
598	постановка вопроса	2	4
599	все дело	3	4
600	на эту	2	4
601	как о	2	4
602	а именно	4	4
603	ни одного	2	4
604	что значит	2	4
605	того или	6	4
606	что вся	2	4
607	однако и	2	4
608	противоречии с	2	4
609	языка на	2	4
610	превращается в	4	4
611	в целях	2	4
612	речи на	2	4
613	как будто	2	4
614	и становится	3	4
615	во все	2	4
616	на который	2	4
617	в определенных	2	4
618	общения и	2	4
619	в известных	3	4
620	за счет	2	4
621	с полным	2	4
622	была бы	5	4
623	так мы	2	4
624	и говорит	2	4
625	здесь не	5	4
626	приходим к	2	4
627	сейчас не	2	4
628	то это	3	4
629	указывает что	3	4
630	уже на	3	4
631	не было	6	4
632	чтобы показать	2	4
633	языка в	14	4
634	конечно не	3	4
635	и сами	2	4
636	языка так	2	4
637	следовательно и	2	3
638	здесь как	3	3
639	к своему	2	3
640	говорим о	3	3
641	она есть	2	3
642	для примера	2	3
643	внимание и	2	3
644	поставить вопрос	2	3
645	именно с	3	3
646	на ту	3	3
647	наоборот в	2	3
648	на практике	3	3
649	в некоторой	2	3
650	этом в	2	3
651	в языке	16	3
652	слово с	2	3
653	связанных с	2	3
654	соответствии с	5	3
655	не надо	4	3
656	как я	2	3
657	условия в	3	3
658	действительно ли	2	3
659	к сожалению	2	3
660	языка но	3	3
661	что наша	2	3
662	тогда как	2	3
663	имя с	3	3
664	же это	2	3
665	такие же	2	3
666	и еще	4	3
667	на это	3	3
668	в первый	2	3
669	в возможности	3	3
670	нельзя было	2	3
671	и мысли	2	3
672	а главное	3	3
673	не приходится	2	3
674	что касается	4	3
675	на фоне	3	3
676	иными словами	10	3
677	но уже	6	3
678	факты и	2	3
679	мы также	2	3
680	и без	2	3
681	в соответствии	6	3
682	как можно	2	3
683	никаких оснований	2	3
684	в структуре	3	3
685	доказать что	3	3
686	ни были	3	3
687	что за	3	3
688	мы с	3	3
689	может и	2	3
690	что даже	2	3
691	не так	2	3
692	и сейчас	3	3
693	с большим	4	3
694	как именно	2	3
695	это все	2	3
696	при отсутствии	2	3
697	все чаще	2	3
698	недостаточно для	2	3
699	во многих	3	3
700	что так	3	3
701	указать на	5	3
702	оно совершается	2	3
703	уже из	2	3
704	язык в	7	3
705	которого не	2	3
706	далеко не	2	3
707	для каждой	2	3
708	языка не	5	3
709	сводится к	3	3
710	в плоскости	2	3
711	подобного рода	4	3
712	знания о	2	3
713	и именно	3	3
714	эта фраза	2	3
715	не находится	3	3
716	в это	3	3
717	в настоящее	2	3
718	на известной	2	3
719	подойти к	3	3
720	о нем	2	3
721	научного знания	3	3
722	настоящее время	2	3
723	этого термина	4	3
724	совершенно ином	2	3
725	всегда в	2	3
726	да и	5	3
727	или иного	5	3
728	могла бы	2	3
729	то ни	2	3
730	действительно в	2	3
731	но также	6	3
732	и пр	23	3
733	или иначе	4	3
734	по своим	2	3
735	в большинстве	3	3
736	о значении	2	3
737	смысле и	2	3
738	же время	4	3
739	только о	3	3
740	быть не	2	3
741	этих случаях	2	3
742	перед вами	2	2
743	за этим	2	2
744	предполагает что	2	2
745	это определение	2	2
746	которые можно	3	2
747	большинстве случаев	3	2
748	но здесь	2	2
749	и социальной	2	2
750	поскольку оно	2	2
751	обратно в	2	2
752	к такому	2	2
753	и против	2	2
754	к действию	2	2
755	переходит в	2	2
756	это особенно	2	2
757	для самого	3	2
758	языковых форм	2	2
759	что когда	3	2
760	но звук	2	2
761	грамматических форм	4	2
762	именно этот	3	2
763	ему нужно	3	2
764	можно говорить	4	2
765	свое место	2	2
766	разумеется что	2	2
767	составные элементы	3	2
768	задача не	2	2
769	с проблемой	2	2
770	в лингвистике	3	2
771	однако он	2	2
772	в таких	7	2
773	этого рода	6	2
774	же есть	2	2
775	не всегда	4	2
776	теряет свою	2	2
777	вопрос этот	3	2
778	этого не	5	2
779	для данной	3	2
780	а то	2	2
781	выход из	2	2
782	как впрочем	2	2
783	которое в	2	2
784	убедиться что	2	2
785	прав когда	2	2
786	отсюда следует	2	2
787	как то	2	2
788	так называемых	3	2
789	меньше чем	2	2
790	проблемы как	2	2
791	с основной	2	2
792	не следует	6	2
793	лишь как	3	2
794	какой они	2	2
795	в прямой	2	2
796	не хочу	2	2
797	какие же	2	2
798	глаза на	2	2
799	на улице	2	2
800	слов на	2	2
801	не хочет	2	2
802	принципиальное значение	2	2
803	зрения в	2	2
804	мы скажем	2	2
805	для этой	2	2
806	следует что	6	2
807	в точности	2	2
808	а если	5	2
809	состоит не	2	2
810	социального целого	2	2
811	но вот	3	2
812	и т	62	2
813	но зато	2	2
814	ряду с	2	2
815	было известно	2	2
816	характер и	2	2
817	к примеру	5	2
818	как не	4	2
819	из одного	3	2
820	о таких	2	2
821	этой цели	2	2
822	выходит за	2	2
823	мы получаем	2	2
824	в сторону	2	2
825	чтобы быть	2	2
826	но еще	4	2
827	этой книге	3	2
828	является ее	2	2
829	их как	2	2
830	те или	2	2
831	не раз	3	2
832	к себе	4	2
833	строится на	2	2
834	мысли а	2	2
835	а все	2	2
836	уже о	2	2
837	если б	2	2
838	на себя	3	2
839	бы привести	3	2
840	с языком	2	2
841	себе представить	2	2
842	что само	2	2
843	том случае	3	2
844	случае если	3	2
845	и уже	2	2
846	образом если	2	2
847	и должно	2	2
848	и сделали	2	2
849	разве не	2	2
850	даже для	2	2
851	которое было	2	2
852	нашего анализа	2	2
853	данный момент	3	2
854	же и	4	2
