N	2gram	Vinokur_Ku	TeoriaLi
1	в качестве	12	33
2	не только	29	24
3	и в	44	24
4	в частности	6	23
5	состоит в	4	22
6	может быть	25	22
7	в том	47	20
8	при этом	6	20
9	я в	2	18
10	тогда как	2	18
11	и не	23	17
12	а в	7	15
13	но и	13	14
14	так и	10	14
15	а не	17	14
16	в себе	4	14
17	в рамках	5	13
18	но не	11	13
19	в этом	31	12
20	то же	12	12
21	но в	11	12
22	сводится к	3	12
23	в его	16	12
24	том что	30	11
25	точки зрения	25	11
26	своего рода	4	11
27	и его	8	11
28	по отношению	9	10
29	лишь в	6	10
30	отношению к	9	10
31	как это	6	10
32	что в	25	10
33	в данном	8	9
34	не в	18	9
35	в искусстве	2	9
36	с другой	14	9
37	в то	4	9
38	только в	15	9
39	всего лишь	3	8
40	не может	13	8
41	как бы	11	8
42	в своей	4	8
43	же время	4	8
44	или иной	3	7
45	в своем	4	7
46	а также	3	7
47	мы имеем	11	7
48	отношение к	2	7
49	в области	15	7
50	отличие от	3	7
51	в самом	20	7
52	в отличие	3	7
53	однако в	2	7
54	не столько	2	7
55	в нем	7	7
56	тем самым	5	6
57	или иного	5	6
58	того или	6	6
59	другой стороны	12	6
60	конечном счете	2	6
61	в конечном	3	6
62	со стороны	8	6
63	не менее	12	6
64	еще не	10	6
65	то что	14	6
66	или менее	3	6
67	как и	3	6
68	более или	3	6
69	или иначе	4	6
70	уже не	13	6
71	приводит к	3	6
72	между ними	2	6
73	в ее	2	6
74	с его	4	6
75	данном случае	2	5
76	по преимуществу	3	5
77	как в	6	5
78	как правило	2	5
79	как к	2	5
80	иначе говоря	2	5
81	ни в	3	5
82	в виду	7	5
83	и тем	7	5
84	роли в	3	5
85	не является	2	5
86	для того	23	5
87	и о	3	5
88	в пределах	8	5
89	для него	2	5
90	не случайно	7	5
91	так или	3	5
92	на почве	2	5
93	между тем	11	5
94	могут быть	5	5
95	а а	4	5
96	того чтобы	25	5
97	того что	11	5
98	он не	4	5
99	в себя	2	5
100	можно сказать	6	5
101	никогда не	2	4
102	сказать что	5	4
103	в отношении	2	4
104	это не	13	4
105	так в	2	4
106	в форме	3	4
107	в другом	2	4
108	в силу	16	4
109	этого слова	8	4
110	и а	2	4
111	в их	3	4
112	одного и	2	4
113	в этих	5	4
114	что он	7	4
115	по пути	2	4
116	далеко не	2	4
117	к тому	8	4
118	речи и	8	4
119	а только	10	4
120	того же	6	4
121	слова в	7	4
122	в свою	4	4
123	в целом	5	4
124	и того	2	4
125	и что	11	4
126	языка в	14	4
127	говорить о	5	4
128	или даже	2	4
129	не на	4	4
130	не следует	6	4
131	отношения к	2	4
132	в нашем	8	4
133	не знает	4	4
134	в слове	3	4
135	хотя и	7	4
136	но он	2	4
137	даже в	4	3
138	и то	7	3
139	перед нами	4	3
140	в соответствии	6	3
141	и потому	6	3
142	из этих	5	3
143	виду не	2	3
144	одной стороны	2	3
145	о чем	2	3
146	в которой	7	3
147	не все	4	3
148	и для	3	3
149	тем не	10	3
150	и как	3	3
151	если бы	21	3
152	к которому	3	3
153	роль в	6	3
154	в узком	3	3
155	или в	5	3
156	он должен	2	3
157	свою очередь	4	3
158	в таком	3	3
159	слова как	5	3
160	одним из	2	3
161	с этой	4	3
162	а именно	4	3
163	и вот	4	3
164	была бы	5	3
165	с одной	3	3
166	а с	3	3
167	не с	4	3
168	есть в	6	3
169	в контексте	2	3
170	и позволяет	2	3
171	столь же	2	3
172	именно в	7	3
173	потому что	40	3
174	в сторону	2	3
175	с языком	2	3
176	что можно	4	3
177	во втором	2	3
178	прежде всего	14	3
179	этом смысле	8	3
180	отнюдь не	5	3
181	от себя	3	3
182	с точки	16	3
183	а на	3	3
184	все эти	17	3
185	и по	4	3
186	связи с	8	3
187	в связи	4	3
188	таким образом	17	3
189	например в	5	3
190	в этой	8	3
191	в одном	4	3
192	как раз	10	3
193	вовсе не	18	3
194	может служить	4	2
195	еще и	7	2
196	в каком	6	2
197	только и	3	2
198	к одному	2	2
199	в основании	2	2
200	речи а	3	2
201	могла бы	2	2
202	не могут	5	2
203	идет о	3	2
204	слова не	2	2
205	так же	8	2
206	если в	2	2
207	но как	2	2
208	таких случаях	3	2
209	тем более	2	2
210	дело не	4	2
211	не всегда	4	2
212	дело в	2	2
213	что она	5	2
214	с их	3	2
215	это было	2	2
216	отличается от	2	2
217	об этом	4	2
218	и даже	5	2
219	в конце	5	2
220	и здесь	8	2
221	на деле	2	2
222	противном случае	2	2
223	это и	6	2
224	языка на	2	2
225	превращается в	4	2
226	казалось бы	5	2
227	такова например	2	2
228	у нас	19	2
229	к своему	2	2
230	у него	3	2
231	самом деле	17	2
232	может и	2	2
233	е о	2	2
234	в чем	2	2
235	вместе с	8	2
236	в одно	2	2
237	в какой	7	2
238	на фоне	3	2
239	здесь мы	2	2
240	в структуре	3	2
241	и является	4	2
242	и это	3	2
243	ее в	2	2
244	духовной культуры	2	2
245	тому что	3	2
246	о том	10	2
247	в самой	6	2
248	что такое	8	2
249	могли бы	4	2
250	если мы	5	2
251	оно не	5	2
252	должен быть	8	2
253	и на	8	2
254	на себя	3	2
255	этой точки	4	2
256	к какому-либо	2	2
257	соответствии с	5	2
258	на этом	4	2
259	в году	3	2
260	из которых	3	2
261	для обозначения	2	2
262	в известном	2	2
263	один из	8	2
264	в них	10	2
265	по себе	10	2
266	речь идет	4	2
267	несмотря на	6	2
268	здесь не	5	2
269	в той	6	2
