N	3gram	Vinokur_Ku	FransuaR
1	в то же	4	55
2	то же время	4	55
3	до сих пор	5	27
4	в том что	23	27
5	в большинстве случаев	2	22
6	в этом отношении	8	20
7	с точки зрения	16	20
8	для того чтобы	21	17
9	о том что	6	17
10	в связи с	4	16
11	большей или меньшей	2	16
12	в большей или	2	15
13	или меньшей степени	2	14
14	на самом деле	3	13
15	не может быть	5	13
16	с одной стороны	2	13
17	с другой стороны	12	12
18	можно сказать что	2	11
19	в отличие от	3	11
20	в конце концов	3	10
21	не только в	4	10
22	по отношению к	8	9
23	так и в	2	9
24	в свое время	4	9
25	более или менее	3	8
26	таким образом в	2	8
27	после того как	2	8
28	в настоящее время	2	7
29	можно было бы	11	7
30	в узком смысле	2	7
31	в самом деле	14	7
32	о том как	3	7
33	но все же	3	6
34	в свою очередь	4	6
35	во всяком случае	8	5
36	и вовсе не	4	5
37	и в самом	4	4
38	а следовательно и	2	4
39	но даже и	2	4
40	так же как	3	4
41	на этот вопрос	3	4
42	можно говорить о	2	3
43	в этом смысле	8	3
44	что все это	2	3
45	заключается в том	2	3
46	вместе с тем	3	3
47	и в том	2	3
48	что иное как	2	3
49	несколько слов о	2	3
50	и там где	2	3
51	одного и того	2	3
52	не что иное	2	3
53	и не в	2	3
54	и того же	2	3
55	в особенности же	2	3
56	а с другой	3	3
57	смысле этого слова	2	3
58	ничего общего с	2	2
59	только тогда когда	2	2
60	в нашем смысле	2	2
61	потому что она	2	2
62	и еще один	2	2
63	в таких случаях	3	2
64	хотя бы в	4	2
65	мы знаем что	2	2
66	не потому что	4	2
67	в этом случае	4	2
68	но также и	2	2
69	в конечном счете	2	2
70	большую роль в	2	2
71	том что он	4	2
72	языка но и	2	2
73	может быть только	2	2
74	и в другом	2	2
75	только для того	2	2
76	в том чтобы	9	2
