N	3gram	Bakhtin_Pr	Vladivir
1	в том что	6	29
2	о том что	2	22
3	тем не менее	2	18
4	в то время	2	13
5	в письме к	2	13
6	во всяком случае	4	12
7	более или менее	4	11
8	в конце концов	7	11
9	к тому же	2	11
10	в то же	13	10
11	с точки зрения	21	10
12	не может быть	8	10
13	как раз и	5	9
14	то же время	13	9
15	у него в	2	9
16	в этом смысле	12	9
17	на то что	2	8
18	том что он	5	6
19	в данном случае	2	6
20	в отличие от	4	6
21	в настоящее время	3	6
22	с другой стороны	6	6
23	и в этом	5	6
24	само по себе	4	6
25	бы то ни	3	5
26	то время как	2	5
27	и в то	2	5
28	не только в	2	5
29	он не только	2	5
30	по крайней мере	2	4
31	сам по себе	2	4
32	можно сказать что	2	4
33	как мы уже	2	4
34	в этом отношении	3	4
35	можно было бы	3	4
36	в себе и	2	4
37	и т д	4	4
38	начала и до	2	3
39	только то что	2	3
40	нам кажется что	3	3
41	в самом деле	6	3
42	и до конца	2	3
43	но это не	2	3
44	не только не	2	3
45	с начала и	2	3
46	хотя бы и	3	3
47	хотя и не	3	3
48	это вовсе не	2	3
49	оно должно быть	2	2
50	так и в	2	2
51	может быть и	2	2
52	но в то	7	2
53	как мы сказали	3	2
54	к нему и	2	2
55	в том и	2	2
56	до сих пор	9	2
57	как мы увидим	3	2
58	из этих трех	3	2
59	а следовательно и	2	2
60	то ни было	2	2
