N	3gram	Losev_Vlad	FransuaR
1	в то же	7	55
2	то же время	7	55
3	как мы уже	3	28
4	в том что	13	27
5	в этом отношении	2	20
6	но в то	2	20
7	для того чтобы	3	17
8	о том что	9	17
9	в связи с	7	16
10	и до конца	2	16
11	начала и до	2	14
12	с начала и	2	14
13	не может быть	4	13
14	дело в том	7	13
15	а также и	2	12
16	мы уже сказали	2	12
17	с другой стороны	3	12
18	и в то	3	12
19	можно сказать что	3	11
20	в конце концов	6	10
21	не только в	3	10
22	в свое время	6	9
23	более или менее	5	8
24	после того как	2	8
25	в настоящее время	2	7
26	на первый план	4	7
27	это конечно не	2	7
28	в то время	6	7
29	к тому же	3	6
30	в свою очередь	2	6
31	за то что	2	6
32	как мы сказали	2	6
33	во всяком случае	8	5
34	в это время	5	5
35	в том же	3	5
36	на первом плане	2	5
37	и тот же	2	5
38	и в частности	3	5
39	также и в	2	4
40	один и тот	2	4
41	как раз и	2	4
42	в году в	3	4
43	как мы увидим	2	4
44	что и в	2	4
45	но даже и	3	4
46	во второй половине	3	4
47	том что в	3	4
48	и то что	7	4
49	вовсе не был	2	3
50	бы то ни	2	3
51	потому что в	2	3
52	в году и	2	3
53	как мы знаем	3	3
54	но это не	2	3
55	он не только	2	3
56	в этом смысле	4	3
57	свидетельствуют о том	2	3
58	так и не	3	3
59	но в общем	2	3
60	вместе с тем	2	3
61	и в том	2	3
62	что иное как	2	3
63	но дело в	2	3
64	не что иное	2	3
65	и вообще в	3	3
66	в те времена	7	3
67	у него в	2	3
68	в связи со	2	3
69	на эту тему	2	2
70	на французском языке	3	2
71	с ним в	2	2
72	там же с	19	2
73	с новым годом	2	2
74	года то есть	2	2
75	что он пишет	2	2
76	мы знаем что	2	2
77	мы будем говорить	2	2
78	и в его	2	2
79	так как он	2	2
80	до некоторой степени	2	2
81	в тех же	2	2
82	по этому поводу	2	2
83	том что он	4	2
84	то что он	6	2
85	уже после смерти	2	2
86	главным образом в	2	2
87	мы сейчас увидим	2	2
88	в париже и	2	2
89	что у него	2	2
90	в том чтобы	4	2
