N	2gram	Losev_Prob	VelikijI
1	и не	56	20
2	и в	62	16
3	так как	14	9
4	то что	42	9
5	еще не	12	8
6	в истории	4	8
7	и потому	13	7
8	что они	8	7
9	а не	28	7
10	не есть	57	6
11	как бы	11	5
12	но и	20	5
13	все это	9	5
14	хотя и	9	5
15	того что	10	5
16	что все	2	4
17	и все	13	4
18	как и	15	4
19	в котором	3	4
20	потому что	40	4
21	в нем	13	4
22	в ней	12	4
23	что не	4	4
24	что мы	12	4
25	в его	10	4
26	говорить о	7	4
27	в этом	25	4
28	что он	16	4
29	и есть	9	4
30	так и	16	4
31	никогда не	7	3
32	что в	11	3
33	в том	35	3
34	и для	5	3
35	не имеет	12	3
36	тому что	5	3
37	но в	17	3
38	к тому	4	3
39	ни в	17	3
40	их в	2	3
41	нет ничего	6	3
42	то это	13	3
43	но это	13	3
44	бы и	7	3
45	хотя бы	6	3
46	и будет	2	3
47	в своей	8	3
48	во всех	4	3
49	нас и	2	3
50	в конце	7	3
51	за ним	2	3
52	в них	6	3
53	жизни и	7	3
54	что и	11	3
55	не было	6	3
56	если не	7	3
57	и что	9	3
58	не в	21	3
59	все эти	14	3
60	в этих	6	3
61	в чем	5	3
62	когда в	4	2
63	и то	17	2
64	с тем	9	2
65	да и	9	2
66	самого себя	4	2
67	не так	8	2
68	но не	6	2
69	что их	2	2
70	не могли	2	2
71	ее и	2	2
72	и это	11	2
73	это не	10	2
74	ее в	2	2
75	не только	33	2
76	является в	3	2
77	а в	9	2
78	том что	25	2
79	на том	3	2
80	и во	5	2
81	от него	2	2
82	а к	2	2
83	во всяком	14	2
84	и тогда	3	2
85	есть уже	4	2
86	уже не	12	2
87	могут быть	2	2
88	не к	2	2
89	т д	20	2
90	ничего и	2	2
91	не будет	3	2
92	для них	4	2
93	того чтобы	4	2
94	тем что	8	2
95	мы не	15	2
96	конечно не	3	2
97	можно было	7	2
98	только в	33	2
99	на нас	2	2
100	до того	2	2
101	и сам	6	2
102	и за	2	2
103	все равно	6	2
104	для нас	23	2
105	прежде всего	13	2
106	и т	20	2
107	будет уже	2	2
108	с ним	11	2
109	его не	2	2
110	мы и	5	2
111	а с	2	2
112	для него	4	2
