N	2gram	Voloshinov	Istorich
1	и в	13	181
2	может быть	8	115
3	не только	6	114
4	что в	3	90
5	но и	3	85
6	в этом	2	81
7	так как	3	75
8	то что	6	73
9	таким образом	6	72
10	и не	8	67
11	все же	5	65
12	мы видим	2	65
13	не может	8	61
14	так же	2	57
15	то же	4	56
16	никогда не	3	56
17	в том	2	53
18	том что	2	53
19	с другой	2	52
20	а в	2	52
21	а не	2	48
22	не в	3	47
23	другой стороны	2	46
24	превращается в	3	45
25	мы должны	6	44
26	но в	4	44
27	и пр	7	44
28	и его	12	43
29	в нем	2	42
30	только в	6	42
31	как в	2	42
32	в его	7	38
33	тем что	2	38
34	так и	3	37
35	как и	3	37
36	мы уже	2	37
37	мы можем	4	36
38	здесь мы	3	35
39	что они	2	35
40	все эти	2	35
41	мы не	4	35
42	там где	2	33
43	прежде всего	9	31
44	с этим	3	30
45	с одной	2	30
46	одной стороны	2	29
47	могут быть	2	27
48	в ней	2	26
49	и др	2	26
50	было бы	4	24
51	если бы	2	24
52	не менее	2	24
53	все это	4	23
54	как бы	6	23
55	при этом	2	22
56	в одном	3	21
57	ее в	2	21
58	в другом	2	21
59	к тому	2	21
60	в связи	2	21
61	в тех	2	19
62	в данном	2	18
63	вовсе не	2	18
64	в них	2	17
65	связана с	3	16
66	и все	3	16
67	данном случае	2	15
68	в целом	2	15
69	в своей	4	15
70	и то	3	15
71	в пределах	3	15
72	и тем	2	15
73	но мы	4	14
74	а также	2	14
75	с этой	2	14
76	отношению к	3	14
77	его на	2	14
78	и ее	2	14
79	по отношению	3	14
80	и наконец	5	14
81	своего рода	2	13
82	что иное	2	13
83	и для	3	13
84	в книге	2	13
85	не имеет	2	13
86	в себе	3	13
87	с ними	2	13
88	во всем	2	12
89	в их	3	12
90	и их	7	12
91	хотя бы	5	12
92	ни один	3	12
93	от этого	2	11
94	связанные с	2	11
95	точки зрения	7	11
96	в этот	2	11
97	уже в	2	11
98	иное как	2	11
99	не что	2	11
100	что же	3	10
101	в ее	3	10
102	что эта	2	10
103	вслед за	2	10
104	связанных с	2	10
105	не мог	2	10
106	не как	3	10
107	но так	2	10
108	в которой	3	10
109	и к	2	10
110	а как	2	9
111	тот же	2	9
112	зависимости от	2	9
113	но для	3	9
114	героя и	2	9
115	в чем	2	9
116	в течение	2	9
117	роль в	2	8
118	кажется что	2	8
119	входит в	2	8
120	в зависимости	2	8
121	в целях	2	8
122	и эта	5	8
123	этот материал	2	8
124	с самого	2	7
125	поставить вопрос	3	7
126	еще в	2	7
127	есть не	2	7
128	между тем	2	7
129	и при	2	7
130	те же	2	7
131	думать что	2	7
132	в области	2	7
133	самом деле	3	7
134	не столько	3	7
135	для него	2	7
136	нет ничего	2	6
137	и уже	3	6
138	самого начала	2	6
139	к сожалению	2	6
140	не на	2	6
141	мог бы	2	6
142	в своих	2	5
143	соответствии с	2	5
144	в ряд	2	5
145	в которую	2	5
146	бы в	2	5
147	материал в	2	5
148	несмотря на	2	5
149	от своего	2	5
150	может иметь	2	5
151	мы получим	2	5
152	и может	2	5
153	да и	3	5
154	из тела	2	4
155	тела и	3	4
156	во всей	2	4
157	в руках	2	4
158	и этот	2	4
159	и должно	2	4
160	с точки	5	4
161	в действительности	2	4
162	еще и	4	4
163	в самом	2	4
164	точку зрения	3	3
165	себе что	2	3
166	вряд ли	3	3
167	при анализе	3	3
168	в языке	2	3
169	от всех	2	3
170	подойти к	2	3
171	тех пор	4	3
172	и делают	2	2
173	в полном	2	2
174	в каждом	4	2
175	наконец в	2	2
176	мы считаем	2	2
177	лишь в	4	2
178	и наиболее	2	2
179	только путем	3	2
180	она является	2	2
181	материала и	3	2
182	о социальной	2	2
183	материала в	4	2
184	с помощью	2	2
185	мы понимаем	2	2
186	со всей	3	2
187	но одно	2	2
188	к одному	3	2
189	и следовательно	2	2
190	в процессе	5	2
191	представляет себе	2	2
192	общего с	3	2
193	одно и	3	2
194	пути к	2	2
195	того или	2	2
196	их функций	2	2
197	не исчерпывается	2	2
198	в сознании	4	2
199	ничего общего	3	2
200	всей своей	2	2
201	говорить о	3	2
202	чем же	2	2
203	учение о	2	2
