N	2gram	Tiupa_Anal	PoTuStor
1	может быть	19	17
2	и в	36	16
3	мы можем	2	9
4	в этом	19	9
5	таким образом	4	9
6	прежде всего	7	9
7	точки зрения	3	8
8	совершенно не	3	8
9	не может	3	8
10	и его	18	8
11	сказать что	2	7
12	не только	40	7
13	с его	15	7
14	с точки	2	6
15	самом деле	2	6
16	я и	6	6
17	и к	7	6
18	для него	8	6
19	при этом	19	6
20	все эти	2	5
21	как бы	14	5
22	нуждается в	2	5
23	еще не	7	5
24	в чем	2	5
25	отношение к	2	5
26	как мы	4	4
27	и на	5	4
28	все это	5	4
29	его в	4	4
30	в его	12	4
31	и ее	3	4
32	но и	26	4
33	и не	14	4
34	и все	3	4
35	но в	8	4
36	в этой	10	4
37	с ее	3	4
38	и их	3	4
39	все что	2	4
40	и может	2	4
41	только в	9	4
42	в нем	3	4
43	с ними	2	4
44	можно сказать	5	4
45	так и	19	4
46	для всех	5	4
47	отнюдь не	7	4
48	и даже	12	4
49	едва ли	6	3
50	что в	15	3
51	жизни и	2	3
52	и как	5	3
53	и потому	3	3
54	тех же	2	3
55	а в	17	3
56	в том	16	3
57	и вот	2	3
58	в общем	4	3
59	между ними	3	3
60	те же	3	3
61	крайней мере	5	3
62	во время	2	3
63	в большинстве	2	3
64	на две	3	3
65	в этих	2	3
66	в конечном	5	3
67	отношения к	6	3
68	с их	3	3
69	как это	7	3
70	то что	5	3
71	во всех	4	3
72	по крайней	5	3
73	мира и	2	3
74	могут быть	4	3
75	всяком случае	6	3
76	вместе с	3	3
77	в одном	4	3
78	на этом	2	3
79	во всяком	6	3
80	том что	19	3
81	в основе	2	3
82	один из	6	2
83	никогда не	7	2
84	что мы	2	2
85	по своему	3	2
86	с нею	2	2
87	в них	4	2
88	в жизни	2	2
89	в одно	2	2
90	и для	4	2
91	что не	3	2
92	нам кажется	3	2
93	нашего времени	5	2
94	и по	3	2
95	а на	2	2
96	что и	10	2
97	не менее	9	2
98	ее в	2	2
99	во сне	3	2
100	было бы	6	2
101	не могут	2	2
102	сводится к	5	2
103	возникает в	2	2
104	о том	9	2
105	то же	7	2
106	они не	2	2
107	с этим	4	2
108	как и	27	2
109	что он	5	2
110	говорить о	6	2
111	того же	7	2
112	на два	2	2
113	в своей	12	2
114	мы не	4	2
115	себя и	2	2
116	из этих	4	2
117	но как	4	2
118	в самом	7	2
119	в начале	10	2
120	в свое	4	2
121	в частности	19	2
122	он не	9	2
123	т.е в	2	2
124	у него	2	2
125	своей жизни	2	2
126	со всеми	2	2
127	при всей	2	2
128	оно не	2	2
129	не есть	6	2
130	за пределы	3	2
131	к этому	3	2
132	путь к	4	2
133	что на	3	2
134	конечном счете	5	2
135	не знает	2	2
136	в пределах	5	2
137	и т.п	7	2
138	является по	2	2
139	есть в	2	2
140	мы уже	2	2
141	не будет	3	2
142	с ним	2	2
143	но это	3	2
144	но зато	2	2
145	в итоге	4	2
