N	2gram	Tiupa_Narr	Istorich
1	и в	19	181
2	может быть	25	115
3	не только	32	114
4	что он	6	111
5	мы имеем	2	102
6	что в	3	90
7	но и	23	85
8	в этом	17	81
9	то что	11	73
10	и не	20	67
11	все же	7	65
12	еще не	7	63
13	не может	10	61
14	так же	2	57
15	то же	4	56
16	никогда не	3	56
17	в том	18	53
18	том что	14	53
19	с другой	8	52
20	а в	11	52
21	о том	6	48
22	а не	12	48
23	его в	2	47
24	не в	14	47
25	другой стороны	4	46
26	но в	6	44
27	это не	2	43
28	и его	5	43
29	в нем	4	42
30	только в	4	42
31	как в	7	42
32	или в	2	39
33	в его	9	38
34	тем что	3	38
35	и на	3	38
36	так и	9	37
37	он не	3	37
38	уже не	5	37
39	как и	7	37
40	что они	3	35
41	все эти	2	35
42	не всегда	2	34
43	что это	3	34
44	но не	6	34
45	а именно	3	34
46	связи с	4	34
47	у него	4	34
48	же как	3	33
49	в качестве	21	32
50	представляет собой	13	31
51	ничего не	2	31
52	прежде всего	4	31
53	один из	3	31
54	с одной	7	30
55	к нему	5	30
56	но все	4	29
57	как мы	3	29
58	одной стороны	7	29
59	например в	2	28
60	в иной	2	28
61	и с	4	28
62	героя в	8	27
63	того что	2	27
64	могут быть	3	27
65	в ней	3	26
66	как это	6	26
67	и др	2	26
68	представляют собой	2	26
69	на него	3	26
70	и он	3	25
71	было бы	4	24
72	что мы	2	24
73	не менее	3	24
74	когда он	3	23
75	тем не	3	23
76	в частности	14	23
77	точно так	2	23
78	в этой	5	23
79	как бы	4	23
80	при этом	9	22
81	сказать что	4	21
82	к тому	7	21
83	они не	2	21
84	здесь не	4	21
85	в связи	2	21
86	она не	2	20
87	одна из	3	20
88	из них	3	20
89	в силу	4	20
90	наряду с	2	20
91	из этих	3	20
92	и как	5	19
93	что у	2	19
94	на том	3	19
95	не все	5	18
96	в данном	5	18
97	в то	3	18
98	по существу	2	17
99	и только	2	17
100	со стороны	9	16
101	перед нами	4	16
102	и все	2	16
103	между двумя	5	16
104	данном случае	4	15
105	даже в	2	15
106	в особенности	4	15
107	в пределах	2	15
108	и даже	3	15
109	как будто	3	15
110	и тем	4	15
111	отношение к	2	14
112	должна быть	2	14
113	а также	7	14
114	можно было	2	14
115	отношению к	6	14
116	из которых	4	14
117	и есть	2	14
118	и ее	2	14
119	одной из	4	14
120	по отношению	7	14
121	на себя	3	14
122	своего рода	12	13
123	что иное	2	13
124	и для	2	13
125	смерти и	2	13
126	тогда как	12	13
127	в своем	2	13
128	не имеет	2	13
129	в себе	8	13
130	в форме	5	13
131	по себе	5	13
132	после смерти	2	13
133	у нее	2	12
134	одним из	2	12
135	утверждать что	2	12
136	хотя бы	4	12
137	к себе	5	12
138	о нем	4	12
139	что не	4	12
140	точки зрения	10	11
141	хотя и	3	11
142	уже в	3	11
143	человека в	2	11
144	иное как	2	11
145	далеко не	5	11
146	же в	4	11
147	к которому	2	11
148	не что	2	11
149	восходит к	3	11
150	приходит к	2	10
151	в ее	3	10
152	и тот	2	10
153	говорит о	2	10
154	но как	2	10
155	вслед за	4	10
156	за собой	4	10
157	если не	4	10
158	как правило	4	10
159	не мог	4	10
160	не как	2	10
161	а с	3	10
162	а если	2	10
163	ни в	3	10
164	о чем	2	10
165	не было	2	10
166	себя в	5	10
167	в основе	5	9
168	в свою	3	9
169	в себя	6	9
170	а по	2	9
171	это и	3	9
172	более или	2	9
173	зависит от	2	9
174	жизни и	3	9
175	героя и	4	9
176	что на	2	9
177	не будет	3	9
178	на первый	2	9
179	том свете	2	9
180	или менее	2	9
181	же не	4	9
182	с его	6	9
183	приводит к	2	9
184	ему в	2	9
185	тем самым	6	8
186	роль в	2	8
187	одно из	2	8
188	именно в	6	8
189	тому как	2	8
190	или даже	2	8
191	на другой	2	8
192	подобно тому	2	8
193	может оказаться	2	8
194	и потому	2	8
195	та же	2	8
196	встречается в	2	8
197	можно сказать	5	8
198	независимо от	2	8
199	не с	3	8
200	состоит в	13	7
201	однако в	2	7
202	не то	2	7
203	если в	3	7
204	еще одна	3	7
205	вплоть до	2	7
206	когда мы	2	7
207	одного из	4	7
208	и когда	2	7
209	в какой	2	7
210	будто бы	3	7
211	ключ к	2	7
212	между тем	3	7
213	первый взгляд	2	7
214	совершенно не	2	7
215	те же	4	7
216	между собой	2	7
217	этого слова	2	7
218	не есть	3	7
219	в области	2	7
220	самом деле	2	7
221	не столько	4	7
222	о ней	3	7
223	здесь и	2	7
224	для него	2	7
225	здесь совершенно	2	7
226	одну из	2	6
227	а иногда	2	6
228	отличие от	5	6
229	как говорит	3	6
230	себе не	2	6
231	дело с	2	6
232	этой точки	2	6
233	между ними	2	6
234	в сказании	2	6
235	в роли	2	6
236	то в	6	6
