N	3gram	Tiupa_Narr	Marksizm
1	с точки зрения	2	46
2	не может быть	6	25
3	в самом деле	3	19
4	в то же	7	15
5	по отношению к	5	15
6	то же время	7	15
7	в связи с	3	14
8	в том что	11	14
9	и не может	3	12
10	для того чтобы	4	11
11	до сих пор	3	11
12	в отличие от	6	10
13	одного и того	2	9
14	как если бы	2	9
15	и того же	2	9
16	то же самое	3	8
17	в свою очередь	2	7
18	во всяком случае	2	6
19	на то что	2	6
20	с одной стороны	5	6
21	той или иной	6	5
22	в этом отношении	5	5
23	к тому что	4	5
24	в первом случае	3	4
25	можно сказать что	5	4
26	о том что	3	4
27	в зависимости от	3	4
28	но при этом	3	3
29	и то же	2	3
30	тем не менее	6	3
31	более или менее	2	3
32	одно и то	2	3
33	не только в	12	3
34	в этом последнем	2	3
35	но и в	4	3
36	с установкой на	2	2
37	в данном случае	12	2
38	в этом и	3	2
39	сами по себе	2	2
40	к тому же	8	2
41	к себе самому	3	2
42	того или иного	3	2
