N	3gram	Tiupa_Anal	Problemy
1	то же время	7	26
2	в то же	7	26
3	с точки зрения	2	25
4	по отношению к	9	18
5	не может быть	2	14
6	во всяком случае	6	9
7	с другой стороны	7	9
8	в том что	12	8
9	сама по себе	3	7
10	том что он	2	6
11	в отличие от	5	6
12	по крайней мере	5	5
13	той или иной	6	5
14	сам по себе	2	5
15	к тому же	7	5
16	подобно тому как	3	5
17	в той или	2	5
18	и прежде всего	2	4
19	тем не менее	3	4
20	как нам кажется	3	4
21	о том что	7	4
22	как и в	6	4
23	в этом отношении	3	4
24	в данном случае	11	3
25	не только не	3	3
26	можно сказать что	2	3
27	в слове о	2	2
28	что он не	2	2
29	не только в	5	2
30	дело в том	3	2
31	в значительной степени	3	2
32	в свою очередь	7	2
