N	3gram	Tiupa_Narr	Analitik
1	в том что	11	25
2	не может быть	6	19
3	по отношению к	5	18
4	в то же	7	16
5	о том что	3	15
6	той или иной	6	14
7	в данном случае	12	14
8	то же время	7	14
9	в отличие от	6	14
10	к тому же	8	13
11	в конечном счете	4	11
12	мы имеем дело	4	11
13	так и не	2	10
14	подобно тому как	4	9
15	с одной стороны	5	9
16	я в мире	3	9
17	того или иного	3	9
18	в свою очередь	2	9
19	в этом отношении	5	8
20	не только в	12	8
21	с точки зрения	2	8
22	присутствия в мире	2	8
23	состоит в том	5	8
24	во всяком случае	2	7
25	тем не менее	6	6
26	одного и того	2	6
27	присутствия я в	2	6
28	и того же	2	6
29	но и не	2	5
30	во времени и	6	5
31	но и в	4	5
32	не только не	2	5
33	времени и пространстве	6	5
34	имеем дело с	4	5
35	не сводится к	7	4
36	здесь не только	2	4
37	в ответ на	3	4
38	в самом деле	3	4
39	для того чтобы	4	4
40	в соответствии с	7	4
41	с той или	2	4
42	и тем самым	6	4
43	на себя внимание	3	4
44	в известном смысле	4	4
45	в равной степени	3	4
46	едва ли не	2	4
47	и не может	3	4
48	собственно говоря и	2	4
49	обращает на себя	3	4
50	и представляет собой	2	4
51	и т п	2	3
52	то же самое	3	3
53	речь идет о	3	3
54	в первом случае	3	3
55	и все же	4	3
56	тогда как в	2	3
57	в связи с	3	3
58	человеческого я в	2	3
59	можно сказать что	5	3
60	сами по себе	2	3
61	дело в том	2	3
62	при встрече с	3	3
63	а в том	2	3
64	в зависимости от	3	3
65	тем или иным	2	2
66	одно и то	2	2
67	как если бы	2	2
68	и то же	2	2
69	более или менее	2	2
70	а с другой	2	2
71	в войне и	2	2
72	как правило не	2	2
73	к тому что	4	2
74	в частности в	2	2
75	присутствия человеческого я	2	2
76	войне и мире	2	2
77	тому же в	2	2
78	до сих пор	3	2
79	обратим внимание на	2	2
80	событие самого рассказывания	2	2
81	на то что	2	2
