N	3gram	Bakhtin_Fr	Narrotol
1	в том что	8	18
2	в данном случае	4	17
3	в отличие от	3	11
4	о том что	5	9
5	к тому же	3	9
6	в то же	14	8
7	в этом отношении	7	8
8	то же время	14	8
9	не может быть	4	8
10	можно сказать что	4	6
11	с одной стороны	2	6
12	на самом деле	4	5
13	подобно тому как	2	5
14	для того чтобы	8	5
15	но и в	3	5
16	то же самое	3	3
17	в первом случае	3	3
18	существенную роль в	3	3
19	в связи с	5	3
20	с точки зрения	5	3
21	а также и	4	3
22	в самом деле	2	3
23	до сих пор	3	3
24	дело в том	4	3
25	все то что	5	2
26	играют существенную роль	2	2
27	более или менее	2	2
28	в нем не	4	2
29	здесь не в	3	2
30	в отрыве от	2	2
31	как бы в	2	2
32	можно было бы	2	2
33	так же как	4	2
34	дело здесь не	2	2
35	и в то	3	2
36	и не в	2	2
