N	2gram	Vinokur_Ku	Problema
1	и в	44	182
2	и не	23	152
3	вовсе не	18	145
4	то что	14	144
5	не есть	4	113
6	не только	29	104
7	потому что	40	89
8	в этом	31	88
9	может быть	25	82
10	том что	30	81
11	в том	47	81
12	не просто	7	80
13	только в	15	73
14	сказать что	5	72
15	но и	13	70
16	у нас	19	68
17	также и	7	68
18	и даже	5	66
19	по себе	10	64
20	даже и	5	63
21	не менее	12	58
22	о том	10	57
23	так и	10	56
24	тем не	10	56
25	а не	17	56
26	но в	11	55
27	так что	5	52
28	ни в	3	51
29	для нас	6	50
30	отнюдь не	5	48
31	в себе	4	48
32	смысле слова	3	47
33	было бы	28	46
34	в своей	4	45
35	прежде всего	14	45
36	что в	25	44
37	в его	16	44
38	все эти	17	43
39	не в	18	43
40	таким образом	17	42
41	как раз	10	42
42	то же	12	42
43	а именно	4	42
44	если мы	5	42
45	так как	16	40
46	что мы	6	40
47	и то	7	40
48	что он	7	40
49	и что	11	40
50	не может	13	39
51	в этой	8	39
52	и тем	7	39
53	во всяком	8	39
54	как бы	11	39
55	в данном	8	38
56	никак не	5	37
57	хотя бы	19	37
58	того что	11	37
59	в нем	7	37
60	еще не	10	36
61	есть нечто	2	36
62	точки зрения	25	36
63	и все	4	36
64	и т	62	35
65	когда мы	3	35
66	в виду	7	34
67	и с	11	34
68	указывает на	2	34
69	как и	3	34
70	уже не	13	34
71	не является	2	33
72	или иной	3	33
73	в таком	3	33
74	т д	21	33
75	в то	4	32
76	здесь не	5	32
77	но не	11	32
78	в своем	4	31
79	в конце	5	31
80	связи с	8	31
81	все это	10	31
82	что такое	8	31
83	так же	8	31
84	но это	4	31
85	ясно что	7	30
86	с другой	14	30
87	и для	3	30
88	в настоящее	2	30
89	подобного рода	4	30
90	настоящее время	2	30
91	как мы	2	29
92	перед нами	4	29
93	все же	17	29
94	об этом	4	29
95	в связи	4	29
96	можно сказать	6	29
97	данном случае	2	28
98	и о	3	28
99	что же	11	28
100	а в	7	28
101	и как	3	27
102	ничего не	6	27
103	и это	3	27
104	хотя и	7	27
105	ничего общего	2	27
106	еще и	7	26
107	по крайней	11	26
108	в результате	8	26
109	как будто	2	26
110	вместе с	8	26
111	это не	13	26
112	крайней мере	11	26
113	да и	5	26
114	другой стороны	12	26
115	и его	8	26
116	тем самым	5	25
117	с точки	16	25
