N	3gram	Propp_Isto	RusskieA
1	в том что	4	49
2	и т д	36	21
3	тем не менее	6	14
4	в этом случае	13	12
5	вместе с тем	7	11
6	о том что	5	10
7	в других местах	2	10
8	в том чтобы	2	9
9	но это не	2	8
10	в данном случае	2	8
11	для того чтобы	3	8
12	подобно тому как	2	8
13	т е в	6	7
14	как мы увидим	4	7
15	в это время	2	6
16	как мы видели	2	6
17	не может быть	6	6
18	после того как	4	6
19	так же как	10	6
20	это показывает что	2	5
21	в связи с	6	5
22	мы видели что	2	5
23	а иногда и	2	4
24	в то время	3	4
25	только тогда когда	2	4
26	мы не будем	3	4
27	в этих случаях	7	4
28	но вместе с	4	3
29	приводит нас к	5	3
30	же как и	4	3
31	т е на	2	3
32	по отношению к	2	3
33	можно предположить что	3	3
34	здесь мы имеем	4	3
35	в воду и	3	3
36	до сих пор	7	3
37	мы уже видели	2	3
38	на то что	3	3
39	так как в	3	2
40	потому что он	5	2
41	речь будет ниже	3	2
42	мы увидим ниже	4	2
43	о том как	4	2
44	мы имеем здесь	3	2
45	в своих целях	2	2
46	как и в	4	2
47	не только в	2	2
48	во всех этих	2	2
49	друг с другом	2	2
50	с одной стороны	7	2
51	не будем здесь	2	2
52	но так как	3	2
53	с другой стороны	10	2
54	и в обрядах	3	2
55	это еще не	2	2
56	но все же	6	2
57	к себе в	2	2
