N	3gram	Tiupa_Narr	Problema
1	тем не менее	3	56
2	о том что	6	39
3	в том что	8	37
4	в связи с	2	29
5	в данном случае	4	28
6	той или иной	4	26
7	с точки зрения	2	25
8	с другой стороны	4	25
9	в таком случае	2	23
10	то есть в	2	17
11	в то же	3	17
12	точно так же	2	16
13	не что иное	2	14
14	что иное как	2	14
15	сами по себе	2	13
16	можно было бы	2	13
17	того или иного	2	13
18	не может быть	5	12
19	можно сказать что	4	12
20	так или иначе	2	12
21	бы то ни	3	11
22	с одной стороны	7	11
23	более или менее	2	10
24	не только в	2	10
25	и тем самым	3	10
26	в той или	2	10
27	в том или	2	7
28	к тому же	4	7
29	то или иное	2	7
30	здесь не в	2	6
31	то ни было	3	6
32	на первый взгляд	2	6
33	в этом отношении	3	6
34	так же как	2	5
35	том или ином	2	5
36	в том числе	6	5
37	этой точки зрения	2	4
38	все же не	4	4
39	ту или иную	2	4
40	но все же	4	4
41	и не в	4	4
42	подобно тому как	2	4
43	том числе и	4	4
44	мы имеем дело	2	4
45	в отличие от	5	3
46	в известном смысле	2	3
47	не то что	2	3
48	по отношению к	6	2
49	в основе своей	4	2
50	а не в	2	2
51	не отличается от	2	2
52	в свою очередь	3	2
53	времени и пространстве	5	2
54	не может не	2	2
55	перед нами не	2	2
