N	3gram	Tiupa_Disk	Dialekti
1	с точки зрения	3	46
2	по крайней мере	3	26
3	в том что	18	25
4	не может быть	5	18
5	то же время	9	15
6	в то же	7	14
7	одно и то	2	12
8	и то же	2	12
9	о том что	8	12
10	с другой стороны	4	12
11	по себе не	2	9
12	подобно тому как	4	9
13	и не только	2	9
14	содержит в себе	3	9
15	только то что	2	8
16	той или иной	6	7
17	говоря уже о	2	7
18	можно сказать что	3	7
19	сами по себе	2	7
20	не говоря уже	2	7
21	не в том	3	7
22	и прежде всего	2	6
23	более или менее	2	6
24	во всяком случае	2	6
25	с одной стороны	12	6
26	и в то	2	6
27	а не только	2	4
28	то же самое	2	4
29	в данном случае	6	4
30	и может быть	3	4
31	к тому же	4	4
32	одной стороны и	3	4
33	в этом отношении	4	4
34	с той или	2	4
35	и как бы	5	3
36	с самого начала	2	3
37	как и в	3	3
38	речь идет о	2	3
39	не только в	2	3
40	и не может	3	3
41	как будто бы	2	3
42	того или иного	2	3
43	ни о чем	2	2
44	же время и	2	2
45	в силу своей	2	2
46	в себе не	2	2
47	тот или иной	2	2
48	в качестве примера	2	2
49	том что в	3	2
50	дело в том	3	2
51	и в особенности	2	2
52	в свою очередь	3	2
53	мы имеем дело	3	2
54	времени и пространства	2	2
55	и то что	2	2
