N	2gram	Losev_Dial	Istorich
1	и в	35	181
2	и т	31	160
3	т д	28	142
4	т е	49	133
5	может быть	30	115
6	не только	26	114
7	что он	16	111
8	мы имеем	4	102
9	что в	19	90
10	но и	17	85
11	в этом	18	81
12	так как	24	75
13	то что	25	73
14	таким образом	5	72
15	вместе с	3	71
16	и не	51	67
17	все же	9	65
18	мы видим	6	65
19	в этих	6	64
20	еще не	4	63
21	не может	16	61
22	так же	6	57
23	то же	21	56
24	никогда не	18	56
25	в том	20	53
26	том что	18	53
27	с другой	10	52
28	а в	8	52
29	потому что	23	52
30	что и	7	51
31	и что	17	51
32	о том	8	48
33	а не	24	48
34	его в	3	47
35	не в	12	47
36	другой стороны	7	46
37	превращается в	2	45
38	мы должны	6	44
39	но в	8	44
40	и пр	7	44
41	это не	18	43
42	и его	6	43
43	в нем	25	42
44	показывает что	2	42
45	только в	7	42
46	как в	3	42
47	в царство	3	40
48	или в	2	39
49	в его	4	38
50	тем что	2	38
51	что здесь	4	37
52	так и	18	37
53	он не	5	37
54	уже не	3	37
55	как и	10	37
56	мы уже	8	37
57	мы можем	5	36
58	мы увидим	2	36
59	знаем что	2	36
60	с тем	2	35
61	что они	8	35
62	все эти	4	35
63	не всегда	2	34
64	во время	2	34
65	что это	21	34
66	но не	9	34
67	а именно	3	34
68	связи с	3	34
69	у него	2	34
70	же как	3	33
71	об этом	7	33
72	сих пор	4	32
73	в качестве	2	32
74	ничего не	19	31
75	прежде всего	14	31
76	один из	3	31
77	то это	6	31
78	с этим	5	30
79	до сих	4	30
80	с одной	4	30
81	к нему	12	30
82	но все	5	29
83	как мы	5	29
84	одной стороны	3	29
85	но это	12	29
86	например в	2	28
87	что она	18	28
88	и с	10	28
89	как он	5	27
90	так что	21	27
91	того что	6	27
92	могут быть	6	27
93	в ней	4	26
94	как это	8	26
95	и др	2	26
96	на него	2	26
97	вопрос о	3	25
98	в дальнейшем	6	25
99	и он	6	25
100	было бы	14	24
101	если бы	12	24
102	в виде	2	24
103	что мы	3	24
104	к этому	2	24
105	не менее	5	24
106	видно что	2	24
107	того как	3	24
108	все это	14	23
109	когда он	2	23
110	тем не	3	23
111	в частности	4	23
112	точно так	3	23
113	в этой	3	23
114	их в	2	23
115	и это	6	23
116	как бы	19	23
117	при этом	2	22
118	и по	5	22
119	с ним	9	22
120	в одном	4	21
121	сказать что	19	21
122	ее в	2	21
123	в другом	6	21
124	к тому	6	21
125	они не	3	21
126	связано с	2	21
127	в связи	3	21
128	другими словами	2	20
129	она не	10	20
130	в мифе	23	20
131	из них	5	20
132	в силу	6	20
133	из этих	2	20
134	и как	14	19
135	что у	3	19
136	в тех	2	19
137	есть и	11	19
138	на то	5	19
139	но он	3	19
140	после этого	3	18
141	что этот	3	18
142	в данном	5	18
143	вовсе не	19	18
144	в то	10	18
145	по существу	2	17
146	то и	3	17
147	и только	5	17
148	очень много	4	17
149	в них	4	17
150	дело не	3	17
151	можно найти	2	17
152	то мы	2	16
153	и они	3	16
154	этот обряд	3	16
155	всех этих	4	16
156	со стороны	2	16
157	перед нами	3	16
158	и все	11	16
159	в котором	5	16
160	во всех	3	16
161	в своей	9	15
162	уже знаем	4	15
163	даже в	6	15
164	и то	15	15
165	в особенности	6	15
166	и эти	2	15
167	тот кто	2	15
168	и даже	23	15
169	в которых	2	15
170	как будто	7	15
171	в одной	4	15
172	но есть	2	15
173	и тем	2	15
174	от него	4	14
175	отношение к	5	14
176	но мы	3	14
177	должна быть	5	14
178	с этой	3	14
179	мы еще	2	14
180	в него	2	14
181	можно было	5	14
182	с ней	2	14
183	и есть	20	14
184	но они	2	14
185	что иное	4	13
186	и для	2	13
187	все что	2	13
188	и от	5	13
189	его не	7	13
190	на этом	4	13
191	в своем	7	13
192	же можно	2	13
193	время как	7	13
194	или на	3	13
195	и у	2	13
196	не имеет	15	13
197	и если	5	13
198	в себе	23	13
199	с ними	4	13
200	не просто	19	13
201	по себе	39	13
202	то время	3	13
203	а потом	9	12
204	не знаю	3	12
205	кроме того	2	12
206	во всем	3	12
207	в их	5	12
208	как только	4	12
209	и их	5	12
210	утверждать что	3	12
211	хотя бы	6	12
212	чаще всего	2	12
213	не знает	2	12
214	что не	13	12
215	к ней	4	12
216	и вот	10	11
217	от этого	5	11
218	е в	3	11
219	никто не	2	11
220	и более	7	11
221	связанные с	3	11
222	относится к	2	11
223	главным образом	2	11
224	происходит в	2	11
225	только с	3	11
226	точки зрения	25	11
227	хотя и	4	11
228	но уже	3	11
229	миф о	2	11
230	уже в	5	11
231	иное как	4	11
232	имеется в	3	11
233	на нее	2	11
234	далеко не	2	11
235	же в	2	11
236	у меня	4	11
237	ясно что	11	11
238	в очень	3	11
239	дает нам	2	11
240	я не	9	11
241	не что	4	11
242	по мере	3	11
243	такой же	2	11
244	должны быть	2	11
245	пока не	2	10
246	что же	5	10
247	в ее	3	10
248	почти всегда	4	10
249	но если	6	10
250	он может	3	10
251	говорит о	6	10
252	что эта	5	10
253	указывает на	3	10
254	но как	7	10
255	есть только	9	10
256	вслед за	2	10
257	что эти	3	10
258	ее на	2	10
259	к ним	3	10
260	на земле	3	10
261	он и	2	10
262	в состоянии	2	10
263	не как	4	10
264	однако это	2	10
265	а с	2	10
266	но так	2	10
