N	2gram	Kanaev_Sov	Literetu
1	а не	3	50
2	и не	6	47
3	не только	4	46
4	и в	7	44
5	может быть	12	43
6	при этом	3	41
7	в том	4	39
8	в этом	7	38
9	такого рода	2	30
10	то же	3	26
11	как и	6	23
12	не в	3	22
13	не может	17	22
14	в себе	3	20
15	прежде всего	5	19
16	как бы	4	18
17	точки зрения	12	17
18	в его	2	17
19	в этой	3	16
20	не менее	2	15
21	в целом	4	15
22	и даже	2	14
23	с одной	2	13
24	уже не	2	13
25	еще не	3	12
26	это не	4	11
27	отличие от	2	11
28	в отличие	2	11
29	а в	4	11
30	вместе с	4	11
31	в области	3	10
32	что в	2	10
33	отнюдь не	3	10
34	из них	4	10
35	жизни и	4	10
36	и т.д	3	9
37	одна из	3	8
38	в конце	3	8
39	все же	3	8
40	но в	3	8
41	уже в	3	8
42	той же	2	8
43	с точки	5	8
44	у нас	3	7
45	в самом	2	7
46	в одном	3	7
47	в нем	3	7
48	самом деле	2	6
49	было бы	3	6
50	то и	2	6
51	в каждом	8	6
52	и наконец	5	6
53	в третьем	2	6
54	у него	2	6
55	тем же	2	6
56	или иной	2	5
57	так как	4	5
58	как он	3	5
59	мы с	2	5
60	мы не	9	5
61	тем не	2	5
62	в нашем	2	5
63	и к	3	5
64	в свою	2	4
65	для нас	3	4
66	и все	3	4
67	на его	2	4
68	могут быть	2	4
69	как мы	2	4
70	во всяком	2	4
71	совершенно не	2	4
72	такой же	2	4
73	со всеми	2	4
74	приводит к	2	4
75	на этом	2	4
76	и что	2	4
77	то ни	2	4
78	таким образом	11	4
79	и есть	2	4
80	вопрос о	4	3
81	ничего не	6	3
82	и потому	3	3
83	для его	2	3
84	в первом	3	3
85	а на	2	3
86	следующим образом	3	3
87	что же	5	3
88	все эти	5	3
89	свою очередь	2	3
90	тот же	2	3
91	же это	4	3
92	что такое	2	3
93	он в	3	3
94	из которых	2	3
95	всяком случае	2	3
96	говорить о	2	3
97	же самое	2	3
98	у каждого	3	2
99	роль в	2	2
100	ведь это	3	2
101	при таком	3	2
102	и будет	2	2
103	но мы	3	2
104	о жизни	2	2
105	и по	2	2
106	так называемых	3	2
107	и мы	3	2
108	в результате	6	2
109	из этих	2	2
110	так сказать	2	2
111	по мнению	2	2
112	значение в	2	2
113	каждого из	2	2
114	скажем в	2	2
115	из двух	3	2
116	в живом	2	2
117	как известно	2	2
118	нет и	4	2
119	еще более	2	2
120	свою собственную	2	2
121	не можем	7	2
122	можно назвать	2	2
123	в таком	2	2
