N	2gram	Nazirov_Vr	slovoVRo
1	и в	8	92
2	в романе	6	89
3	в нем	6	59
4	может быть	4	59
5	и его	3	59
6	и не	5	51
7	не только	9	44
8	не может	2	41
9	но и	7	39
10	в этом	8	36
11	точки зрения	2	30
12	в роман	2	27
13	в его	3	27
14	все это	4	25
15	как бы	4	24
16	то же	5	23
17	в то	5	20
18	как и	6	18
19	же время	5	18
20	с ним	4	18
21	все же	6	17
22	в истории	4	17
23	и даже	6	17
24	таким образом	2	17
25	при этом	4	16
26	в них	2	16
27	но в	6	16
28	и с	6	15
29	в той	2	15
30	с точки	2	15
31	это не	4	13
32	рядом с	2	13
33	с его	3	13
34	никогда не	2	12
35	отношение к	2	12
36	а в	2	12
37	еще не	2	12
38	для него	2	11
39	в своем	3	10
40	в том	3	10
41	и все	7	10
42	в себе	2	10
43	в него	2	10
44	далеко не	3	10
45	уже не	2	10
46	его в	3	9
47	одним из	3	9
48	в своей	2	9
49	одна из	2	9
50	он не	3	9
51	п в	2	8
52	в ней	4	8
53	человека в	3	8
54	для нас	4	8
55	том что	3	7
56	о нем	6	7
57	у тургенева	11	7
58	связи с	3	7
59	у него	5	7
60	с которым	2	7
61	не было	5	7
62	а также	2	6
63	что в	7	6
64	в свою	2	6
65	между тем	5	6
66	не менее	2	5
67	его и	2	5
68	о том	4	5
69	уже в	4	5
70	но он	3	5
71	вместе с	2	5
72	так же	4	4
73	его на	2	4
74	но как	2	4
75	и ее	2	4
76	о романе	2	4
77	в виду	4	4
78	что он	4	4
79	том же	2	4
80	так в	2	4
81	в чем	3	4
82	и во	3	4
83	же как	2	4
84	но это	2	4
85	и как	3	4
86	и о	3	4
87	эти слова	3	4
88	о себе	3	4
89	из них	2	4
90	и уже	3	4
91	отношения к	2	4
92	на первый	2	4
93	как раз	2	4
94	время и	2	3
95	его с	2	3
96	и то	2	3
97	к этому	3	3
98	тем что	3	3
99	в связи	3	3
100	в этой	2	3
101	целый ряд	4	3
102	и это	2	3
103	в эту	2	3
104	к себе	2	2
105	и у	3	2
106	а с	2	2
107	то что	7	2
108	х годов	4	2
109	к ним	2	2
110	достоевский был	2	2
111	и т.п	2	2
112	в известном	2	2
113	место в	2	2
114	нашего времени	2	2
115	и что	8	2
116	тургенева и	18	2
117	же в	2	2
118	он был	3	2
119	об этом	5	2
120	на то	3	2
121	столь же	2	2
122	к автору	2	2
123	в котором	6	2
124	в своих	4	2
125	в начале	6	2
126	время он	2	2
127	несмотря на	4	2
