N	2gram	Tiupa_Anal	NovoeSre
1	а не	25	17
2	и в	30	16
3	не может	26	16
4	и не	33	11
5	и есть	3	10
6	что в	7	9
7	в том	36	8
8	он не	4	8
9	не будет	3	7
10	может быть	33	7
11	как и	23	7
12	в этом	31	7
13	никогда не	4	6
14	лишь в	12	6
15	ни в	5	6
16	не в	17	6
17	не знает	4	6
18	с его	3	6
19	не только	30	5
20	должен быть	6	5
21	все это	2	5
22	в нем	3	5
23	с ее	2	5
24	и к	5	5
25	культуры в	2	5
26	должно быть	2	4
27	и для	3	4
28	прежде всего	8	4
29	не менее	5	4
30	и потому	2	4
31	то что	11	4
32	о том	11	4
33	это не	7	4
34	потому что	3	4
35	и все	5	4
36	быть может	2	4
37	в мире	14	3
38	тому как	5	3
39	но и	29	3
40	подобно тому	5	3
41	с другой	7	3
42	в ее	2	3
43	к тому	12	3
44	в своей	7	3
45	еще не	5	3
46	как в	3	3
47	не есть	8	3
48	за пределы	6	3
49	сказать что	2	3
50	во всех	5	3
51	вопрос о	2	3
52	не означает	2	3
53	в основе	6	3
54	в себе	17	2
55	как будто	6	2
56	все они	2	2
57	и с	2	2
58	том чтобы	7	2
59	для этого	2	2
60	себя в	8	2
61	но не	13	2
62	нет и	2	2
63	в категориях	2	2
64	и т.п	13	2
65	что все	2	2
66	думать что	2	2
67	нашего времени	3	2
68	роль в	3	2
69	того чтобы	3	2
70	хотя бы	4	2
71	и заключается	2	2
72	в новом	2	2
73	а в	11	2
74	но в	11	2
75	том что	21	2
76	не к	3	2
77	и на	10	2
78	есть в	4	2
79	и что	2	2
80	все эти	3	2
81	на протяжении	2	2
82	времени в	4	2
83	у него	5	2
84	времени и	7	2
85	на уровне	10	2
86	уже не	6	2
87	с их	2	2
88	для чего	2	2
89	как это	5	2
90	другой стороны	2	2
91	так и	16	2
92	личность в	4	2
93	такого рода	6	2
94	могут быть	12	2
95	одной стороны	6	2
96	такой же	3	2
97	в то	10	2
98	который в	3	2
99	хотя и	4	2
100	этом смысле	3	2
101	с одной	7	2
102	том и	2	2
103	место в	3	2
104	и даже	10	2
105	в центре	3	2
106	вместе с	6	2
107	я не	2	2
