N	3gram	Losev_Dial	Morfolog
1	и т д	38	60
2	мы видим что	2	11
3	не может быть	12	9
4	в связи с	3	9
5	с точки зрения	25	6
6	тем не менее	10	6
7	подобно тому как	5	5
8	с другой стороны	3	5
9	в том что	12	4
10	к тому что	2	4
11	не могут быть	3	4
12	о том что	6	3
13	бы то ни	2	3
14	то время как	6	3
15	в то время	6	3
16	как и в	3	3
17	и пр и	2	3
18	не значит что	2	3
19	на то что	3	3
20	потому что его	2	2
21	во всяком случае	3	2
22	не что иное	6	2
23	в данном случае	3	2
24	что иное как	6	2
25	в этом отношении	2	2
26	т д в	2	2
27	и тем не	2	2
28	точно так же	3	2
29	о том как	2	2
30	хотя и не	2	2
31	с одной стороны	3	2
