N	2gram	Losev_Vesc	EvropaiE
1	и в	44	37
2	в отношении	7	32
3	точки зрения	10	23
4	что в	11	21
5	не только	48	18
6	с точки	6	17
7	в то	11	16
8	отношении к	4	15
9	хотя бы	9	15
10	то же	12	15
11	в своем	9	14
12	но в	8	14
13	но и	19	14
14	и не	57	14
15	же время	4	14
16	в качестве	4	14
17	в этом	17	12
18	в том	15	11
19	в их	4	11
20	так и	4	10
21	т е	79	9
22	так же	4	9
23	в смысле	22	9
24	не может	44	9
25	отнюдь не	8	9
26	в себе	23	9
27	прежде всего	17	9
28	только в	23	9
29	одной стороны	3	8
30	в ее	8	8
31	было бы	24	8
32	в своей	6	8
33	с одной	3	8
34	к тому	3	8
35	также и	9	7
36	с другой	8	7
37	как и	15	7
38	так как	17	7
39	между прочим	4	7
40	того что	16	7
41	том что	13	6
42	в последние	2	6
43	во всех	5	6
44	то есть	2	6
45	и даже	12	6
46	может быть	37	6
47	и на	2	6
48	стороны и	2	6
49	с этой	6	6
50	того чтобы	4	6
51	для того	3	6
52	на то	9	6
53	то что	47	6
54	как бы	19	6
55	вовсе не	11	6
56	но не	9	5
57	от этого	3	5
58	тем самым	2	5
59	и потому	8	5
60	в россии	2	5
61	но если	12	5
62	этой точки	3	5
63	в той	6	5
64	как мы	6	5
65	которую мы	2	5
66	со стороны	9	5
67	не в	14	5
68	в виде	3	5
69	в частности	3	5
70	же как	3	5
71	сказать что	21	4
72	в каком	6	4
73	вопрос о	6	4
74	и притом	4	4
75	не имеет	2	4
76	само по	4	4
77	можно сказать	8	4
78	то в	4	4
79	независимо от	5	4
80	именно в	2	4
81	в самом	13	4
82	но даже	3	4
83	в полной	2	4
84	мы не	8	4
85	в ней	14	4
86	для нас	2	4
87	по себе	22	4
88	несмотря на	6	4
89	тем более	3	4
90	к ней	4	4
91	ни было	12	4
92	той или	3	4
93	не на	2	4
94	как это	4	4
95	то ни	13	4
96	бы то	12	4
97	никогда не	5	3
98	с тем	8	3
99	и от	4	3
100	и для	13	3
101	ни на	7	3
102	и только	11	3
103	в данной	2	3
104	о том	11	3
105	очевидно что	2	3
106	ли это	9	3
107	в данном	6	3
108	вообще не	6	3
109	того же	5	3
110	в сфере	6	3
111	не из	2	3
112	ту или	3	3
113	когда он	2	3
114	можно было	6	3
115	этом смысле	2	3
116	бы и	9	3
117	бы ни	3	3
118	в свою	5	3
119	в определенном	2	3
120	в результате	9	3
121	мы можем	4	3
122	последние годы	2	3
123	это так	4	3
124	но на	2	3
125	не будет	13	3
126	из них	7	3
127	и прежде	2	3
128	можно ли	7	3
129	всяком случае	2	3
130	на себя	5	3
131	мы видели	3	3
132	что и	11	3
133	друг с	2	3
134	и мы	5	3
135	и тем	7	3
136	тем что	7	3
137	говорит о	3	3
138	этом отношении	2	3
139	не является	3	3
140	жизни в	3	3
141	или иную	3	3
142	потому что	25	3
143	себе не	3	3
144	и со	2	3
145	себе в	5	3
146	в применении	2	3
147	с другом	2	3
148	как в	3	3
149	применении к	3	3
150	во всяком	4	3
151	дело в	6	3
152	всех прочих	3	2
153	есть в	4	2
154	именно потому	2	2
155	данном случае	2	2
156	и если	5	2
157	в его	5	2
158	не есть	79	2
159	и этот	2	2
160	что это	18	2
161	при помощи	4	2
162	и то	14	2
163	что если	2	2
164	утверждать что	2	2
165	к нему	3	2
166	как же	6	2
167	она не	9	2
168	а в	6	2
169	с этим	4	2
170	из того	3	2
171	мы должны	5	2
172	или по	2	2
173	с другими	8	2
174	в котором	4	2
175	его на	4	2
176	но как	3	2
177	как оно	4	2
178	далеко не	2	2
179	в своих	3	2
180	с в	3	2
181	только те	2	2
182	и еще	4	2
183	только к	2	2
184	и с	11	2
185	бы в	9	2
186	этот вопрос	6	2
187	не нужно	3	2
188	что на	2	2
189	во втором	2	2
190	по преимуществу	2	2
191	другой стороны	3	2
192	есть ли	10	2
193	что все	2	2
194	но еще	3	2
195	между ними	6	2
196	тогда когда	5	2
197	по своей	3	2
198	и та	2	2
199	на язык	3	2
200	в одном	6	2
201	и можно	2	2
202	в сферу	2	2
203	и как	12	2
204	не можем	3	2
205	мог бы	7	2
206	что же	17	2
207	есть не	17	2
208	или вернее	2	2
209	если бы	8	2
210	жизни и	6	2
211	в силу	4	2
212	еще более	4	2
213	как не	2	2
214	и того	2	2
215	а не	34	2
216	нечто абсолютно	2	2
217	и тут	7	2
218	с а	4	2
219	мы видим	5	2
220	прочим и	2	2
221	и что	22	2
222	и во	3	2
223	в потенции	3	2
224	то не	7	2
225	свою очередь	5	2
226	точка зрения	5	2
227	но именно	3	2
228	подходит к	2	2
229	и чем	4	2
230	и все	6	2
231	или в	3	2
232	к природе	2	2
233	наряду с	2	2
234	по сравнению	8	2
235	таким образом	16	2
236	это значит	30	2
237	в истории	3	2
238	он не	4	2
239	как будто	2	2
240	только одно	2	2
241	главным образом	3	2
242	сравнению с	7	2
243	и эта	4	2
244	что эти	2	2
245	ведь и	6	2
246	не к	3	2
247	в этой	4	2
248	данной области	2	2
249	но с	2	2
250	а тем	3	2
251	и таким	2	2
252	между собой	2	2
253	хотя и	5	2
254	должна быть	8	2
255	вместе с	4	2
256	заключается в	3	2
257	он сам	2	2
258	и более	4	2
