N	2gram	Propp_Isto	VelikijI
1	и не	19	20
2	и в	44	16
3	так как	19	9
4	то что	16	9
5	еще не	16	8
6	в истории	7	8
7	и потому	2	7
8	что они	3	7
9	а не	5	7
10	человека и	2	6
11	как бы	4	5
12	на себя	4	5
13	но и	16	5
14	все это	4	5
15	что есть	2	5
16	того что	3	5
17	это еще	3	4
18	что все	4	4
19	и все	4	4
20	как и	12	4
21	в котором	2	4
22	потому что	18	4
23	все что	5	4
24	в нем	10	4
25	в образе	16	4
26	в ней	8	4
27	что не	3	4
28	что мы	4	4
29	в его	16	4
30	в этом	20	4
31	что он	29	4
32	и есть	3	4
33	так и	9	4
34	никогда не	5	3
35	превращается в	10	3
36	всех людей	3	3
37	что в	18	3
38	в том	13	3
39	и для	3	3
40	от этого	6	3
41	не имеет	4	3
42	но в	7	3
43	ни в	2	3
44	их в	7	3
45	то это	8	3
46	но это	10	3
47	хотя бы	2	3
48	в своей	3	3
49	во всех	3	3
50	от которого	2	3
51	за ним	4	3
52	в них	3	3
53	жизни и	4	3
54	что и	11	3
55	и мы	3	3
56	не было	2	3
57	лишь в	2	3
58	тех которые	2	3
59	если не	4	3
60	и что	13	3
61	не в	11	3
62	все эти	11	3
63	что во	2	3
64	в этих	7	3
65	должна быть	3	3
66	и они	5	3
67	с его	3	3
68	и то	5	2
69	с тем	9	2
70	одна из	6	2
71	но не	8	2
72	по которым	2	2
73	тот кто	7	2
74	ее и	3	2
75	и это	5	2
76	это не	8	2
77	ее в	8	2
78	не только	17	2
79	не могут	2	2
80	а в	9	2
81	том что	12	2
82	на том	5	2
83	что от	3	2
84	его к	3	2
85	но мы	5	2
86	чтобы овладеть	2	2
87	от него	2	2
88	и тогда	2	2
89	есть уже	2	2
90	уже не	14	2
91	могут быть	9	2
92	которые не	2	2
93	в последнем	2	2
94	так много	2	2
95	один из	6	2
96	т д	36	2
97	вера в	2	2
98	превращаются в	2	2
99	того чтобы	3	2
100	тем что	12	2
101	вот почему	2	2
102	мы не	6	2
103	только в	8	2
104	и сам	2	2
105	в форме	5	2
106	его и	2	2
107	для нас	6	2
108	в себя	3	2
109	людей и	2	2
110	прежде всего	7	2
111	и т	39	2
112	с ним	9	2
113	его не	3	2
114	это мы	3	2
115	мы и	3	2
116	а с	2	2
117	для него	2	2
