N	2gram	Vinokur_St	Dialekti
1	т е	21	159
2	и не	23	120
3	и т	36	82
4	по себе	3	79
5	а не	19	78
6	и в	61	77
7	т д	25	75
8	точки зрения	16	72
9	может быть	16	71
10	не только	36	66
11	значит что	3	61
12	то что	27	59
13	ничего не	6	54
14	не может	10	53
15	и даже	8	47
16	так как	7	46
17	с точки	10	46
18	что это	5	46
19	потому что	13	45
20	не просто	2	44
21	как бы	8	43
22	ни в	5	42
23	и что	8	42
24	не имеет	5	41
25	вовсе не	24	41
26	в том	56	40
27	что такое	2	39
28	в этом	37	39
29	то же	7	39
30	в себе	3	38
31	что она	5	38
32	том что	49	37
33	что он	23	37
34	прежде всего	11	37
35	это не	8	36
36	так что	8	36
37	что в	41	34
38	в нем	9	34
39	и все	3	33
40	того что	14	33
41	но и	28	32
42	все это	13	31
43	ясно что	10	31
44	и как	2	30
45	сказать что	9	30
46	так и	15	29
47	было бы	21	29
48	как и	11	28
49	никогда не	7	27
50	крайней мере	2	26
51	по крайней	2	26
52	в виду	6	26
53	не в	15	26
54	есть только	2	25
55	и то	6	25
56	и пр	4	25
57	говорить о	3	25
58	если бы	11	24
59	но это	9	24
60	в то	10	23
61	это и	5	23
62	что оно	4	23
63	таким образом	16	23
64	но что	2	22
65	я не	13	22
66	она не	3	21
67	что не	3	21
68	должна быть	3	21
69	в чем	4	21
70	допустим что	2	21
71	в каком	4	20
72	что все	3	20
73	только в	11	20
74	как раз	10	20
75	и вообще	5	20
76	что и	8	20
77	совершенно не	7	20
78	о том	30	20
79	и с	6	20
80	в таком	4	20
81	в своем	8	19
82	что мы	5	19
83	как это	6	19
84	не менее	8	19
85	и это	4	19
86	в самом	14	19
87	не существует	4	19
88	и его	11	19
89	что же	6	18
90	с другой	11	18
91	хотя бы	8	18
92	же время	5	18
93	ни на	3	18
94	жизни и	6	18
95	но если	5	17
96	в основе	4	17
97	в сущности	2	17
98	можно сказать	2	17
99	в своей	12	16
100	мы не	3	16
101	кроме того	3	16
102	только не	2	16
103	к нему	2	16
104	да и	4	16
105	то это	3	16
106	об этом	9	16
107	тем не	4	16
108	конечно не	2	16
109	и о	4	15
110	быть и	2	15
111	то в	3	15
112	также и	10	15
113	но только	2	15
114	все же	12	15
115	так же	7	15
116	в виде	3	15
117	самом деле	14	15
118	хотя и	4	15
119	же и	4	15
120	на то	5	15
121	несмотря на	4	15
122	и потому	3	14
123	я уже	3	14
124	д и	2	14
125	ни с	3	14
126	даже и	2	14
127	же это	3	14
128	а именно	3	14
129	не было	7	14
130	и только	3	14
131	но в	16	13
132	в ней	9	13
133	время как	2	13
134	отличается от	2	13
135	говорит о	5	13
136	он не	11	13
137	что именно	2	13
138	мы находим	4	13
139	что они	9	13
140	другой стороны	9	13
141	и к	5	13
142	не могу	2	13
143	вопрос о	9	12
144	могут быть	5	12
145	еще не	4	12
146	все эти	7	12
147	именно в	8	12
148	не могут	2	12
149	даже не	5	12
150	а в	18	12
151	тем более	4	12
152	нет никакого	3	12
153	с этим	6	12
154	и тогда	2	12
155	но не	5	12
156	не о	2	11
157	нисколько не	3	11
158	быть в	2	11
159	должны быть	4	11
160	и тем	3	11
161	его не	3	11
162	в них	2	11
163	в данном	16	11
164	мы имеем	2	11
165	есть в	2	11
166	не значит	3	11
167	что я	3	11
168	из них	11	11
169	одно из	3	10
170	от этого	2	10
171	к тому	9	10
172	в ее	6	10
173	е в	3	10
174	в его	19	10
175	за пределы	2	10
176	это было	2	10
177	нет ни	3	10
178	для того	15	10
179	с этой	5	10
180	и для	4	10
181	что для	4	10
182	оно не	3	10
183	и можно	2	10
184	или иное	3	10
185	в их	3	10
186	в частности	6	10
187	только потому	2	10
188	можно ли	5	10
189	во всяком	8	10
190	и уже	3	10
191	в результате	5	10
192	то или	3	10
193	времени и	4	10
194	как будто	5	10
195	как он	3	9
196	общего с	3	9
197	а если	2	9
198	и по	6	9
199	в истории	5	9
200	иметь в	2	9
201	превращается в	2	9
202	не как	2	9
203	тут не	3	9
204	в этих	5	9
205	и более	4	9
206	в котором	11	9
207	той же	5	9
208	в одном	7	9
209	и от	2	9
210	была бы	10	9
211	тому что	8	9
212	же как	5	9
213	при этом	4	9
214	случае не	3	9
215	и он	2	9
216	то время	2	9
217	всех этих	2	9
218	бы в	2	9
219	как о	2	9
220	и на	7	9
221	на самом	8	8
222	в отношении	11	8
223	и без	4	8
224	не на	3	8
225	в этой	13	8
226	того или	4	8
227	у нас	12	8
228	с одной	3	8
229	но все	9	8
230	что эта	5	8
231	у меня	3	8
232	даже в	5	8
233	в одной	3	8
234	уже о	6	8
235	при помощи	4	8
236	бы только	2	8
237	ничего общего	3	8
238	бы и	4	8
239	или иначе	3	8
240	этом смысле	2	8
241	тем самым	2	7
242	что здесь	2	7
243	в конце	5	7
244	из этих	7	7
245	он должен	2	7
246	думаю что	6	7
247	что этот	3	7
248	не говоря	2	7
249	связи с	3	7
250	тем что	6	7
251	думать что	2	7
252	во внимание	2	7
253	без всякого	2	7
254	и об	7	7
255	нуждается в	2	7
256	не потому	3	7
257	сами по	2	7
258	е не	2	7
259	со стороны	7	7
260	не всегда	2	7
261	не знает	2	7
262	точно так	2	7
263	говоря уже	2	7
264	и я	5	7
265	говорят что	2	7
266	с его	3	7
267	истории и	2	7
268	зависимости от	2	7
269	и их	3	7
270	как в	15	7
271	заключается в	5	7
272	так или	3	7
273	но для	3	7
274	то ни	2	7
275	как на	10	7
276	отношения к	2	7
277	но он	5	7
278	еще и	5	6
279	в другом	5	6
280	отношение к	3	6
281	на основании	2	6
282	с тем	3	6
283	для своего	2	6
284	они не	2	6
285	более или	2	6
286	того чтобы	15	6
287	в зависимости	2	6
288	никто не	4	6
289	для этого	2	6
290	то не	3	6
291	в которой	13	6
292	что нет	2	6
293	в каком-то	2	6
294	по своей	2	6
295	но они	3	6
296	вообще не	5	6
297	но я	5	6
298	но с	7	6
299	вместе с	5	6
300	его в	4	6
301	о чем	4	6
302	или менее	2	6
303	у пушкина	17	6
304	мере в	3	6
305	по существу	3	6
306	по своему	2	6
307	одной стороны	2	6
308	можно было	14	6
309	того как	8	6
310	с их	2	6
311	во всех	8	6
312	о котором	2	6
313	дело не	4	6
314	с полной	2	6
315	для него	10	6
316	ее в	2	6
317	уже в	3	6
318	всяком случае	8	6
319	может не	2	6
320	бы ни	3	6
321	из того	2	5
322	с той	3	5
323	были бы	2	5
324	точку зрения	3	5
325	гораздо более	5	5
326	что на	3	5
327	речь идет	6	5
328	и во	3	5
329	если в	2	5
330	только к	2	5
331	бы это	2	5
332	не является	5	5
333	сих пор	12	5
334	например в	8	5
335	что у	8	5
336	их в	2	5
337	в своих	2	5
338	если это	3	5
339	имеет ничего	2	5
340	конце концов	2	5
341	все в	2	5
342	тем или	3	5
343	вплоть до	6	5
344	в это	3	5
345	не раз	2	5
346	и у	2	5
347	в области	16	5
348	нет никаких	2	5
349	том смысле	4	5
350	что с	4	5
351	в качестве	7	5
352	к этому	4	5
353	в течение	7	5
354	отношении к	3	5
355	тому же	2	5
356	и так	3	5
357	я думаю	11	5
358	в той	9	5
359	известно что	2	5
360	до сих	13	5
361	данном случае	7	4
362	и нужно	3	4
363	бы мы	2	4
364	в каждом	3	4
365	опять-таки не	2	4
366	и эти	2	4
367	а как	5	4
368	очень мало	4	4
369	что ни	2	4
370	ведь и	3	4
371	на них	2	4
372	а потому	2	4
373	что касается	4	4
374	поэзии и	3	4
375	них и	2	4
376	не знаю	2	4
377	связанные с	3	4
378	ни один	2	4
379	еще более	5	4
380	свою собственную	3	4
381	д но	4	4
382	если не	4	4
383	эти вопросы	3	4
384	том как	4	4
385	я бы	2	4
386	но именно	3	4
387	или же	3	4
388	на все	2	4
389	не зная	2	4
390	т п	11	4
391	и очень	5	4
392	в общем	2	4
393	далее в	4	4
394	на себя	3	4
395	с нею	3	4
396	бы то	2	4
397	как например	2	4
398	хотя в	2	4
399	который не	3	4
400	из нее	3	4
401	смысле что	2	4
402	этом отношении	13	4
403	из двух	3	4
404	но ведь	8	4
405	у него	3	4
406	такой же	6	4
407	со всеми	2	4
408	не по	5	4
409	и здесь	2	4
410	будто бы	4	4
411	меньше всего	3	4
412	это время	3	4
413	видно что	3	4
414	можно назвать	3	4
415	всегда будет	2	4
416	быть не	2	4
417	представление о	5	4
418	я с	3	3
419	в первую	2	3
420	возможно что	4	3
421	никаких оснований	2	3
422	для нас	7	3
423	от его	2	3
424	без всяких	2	3
425	должен быть	3	3
426	и всегда	2	3
427	нас к	2	3
428	от своего	2	3
429	не надо	2	3
430	к своему	3	3
431	зрения в	2	3
432	в москве	4	3
433	самого начала	3	3
434	а с	6	3
435	одной из	4	3
436	но разве	3	3
437	не так	2	3
438	идет о	3	3
439	с самого	4	3
440	и сейчас	6	3
441	иначе и	2	3
442	место в	2	3
443	такое же	2	3
444	в первом	2	3
445	тот же	2	3
446	не говорю	3	3
447	это можно	3	3
448	почти все	2	3
449	это вовсе	2	3
450	говорит что	4	3
451	при таком	2	3
452	несколько примеров	5	3
453	на него	3	3
454	целый ряд	3	3
455	при его	3	3
456	что как	3	3
457	лишь в	3	3
458	чем не	2	3
459	как известно	2	3
460	обоих случаях	2	3
461	на почве	2	3
462	но к	2	3
463	стороны в	2	3
464	в которых	5	3
465	на точку	2	3
466	бы все	3	3
467	при чем	6	3
