N	2gram	Medvedev_V	Komedia
1	и в	26	77
2	и не	20	47
3	в том	15	44
4	том что	8	42
5	т е	18	33
6	о том	10	33
7	но и	10	32
8	может быть	23	30
9	таким образом	32	29
10	из них	11	29
11	в то	6	28
12	и его	6	28
13	в этом	29	27
14	что он	4	26
15	к тому	5	26
16	не только	26	25
17	вместе с	8	25
18	как и	7	23
19	что в	11	23
20	что и	3	22
21	если бы	3	22
22	в самом	4	22
23	в конце	3	21
24	так и	6	21
25	а в	3	21
26	то же	10	21
27	в его	15	20
28	во время	4	19
29	к этому	9	19
30	в этой	4	18
31	и т	25	17
32	еще не	2	17
33	в нем	7	17
34	же время	5	17
35	все же	6	16
36	у него	6	16
37	не менее	2	16
38	до нас	2	16
39	и сам	2	16
40	сих пор	2	16
41	действующих лиц	5	16
42	он не	2	16
43	до сих	2	16
44	его в	3	15
45	в своем	8	15
46	не в	6	15
47	точки зрения	3	15
48	между тем	6	15
49	прежде всего	13	15
50	один из	6	15
51	было бы	8	15
52	в которой	2	15
53	ли не	2	14
54	все это	13	14
55	об этом	9	14
56	о чем	2	13
57	то что	7	13
58	но в	2	13
59	в них	5	13
60	того чтобы	3	13
61	что она	2	13
62	только что	4	13
63	в одном	5	13
64	как раз	4	13
65	так же	3	12
66	с другой	11	12
67	для того	3	12
68	т п	9	12
69	как это	12	12
70	не по	2	12
71	в качестве	12	12
72	хотя и	2	12
73	не может	17	12
74	но не	2	12
75	в котором	3	12
76	из которых	2	12
77	по отношению	7	11
78	в их	5	11
79	в частности	12	11
80	с тем	4	11
81	что его	2	11
82	и даже	2	11
83	и для	2	11
84	в целом	5	10
85	на основании	8	10
86	одной из	2	10
87	в чем	2	10
88	же в	7	10
89	с его	4	10
90	с этим	3	10
91	на него	2	10
92	с одной	2	10
93	как бы	5	10
94	тому что	7	9
95	одной стороны	2	9
96	в образе	2	9
97	о его	2	9
98	и по	3	9
99	даже не	2	9
100	из его	4	9
101	в своей	4	9
102	того как	2	9
103	отношению к	7	9
104	вовсе не	3	9
105	говорить о	2	9
106	только в	8	9
107	в ней	2	9
108	и ее	4	8
109	как он	3	8
110	то это	2	8
111	войны и	2	8
112	а затем	2	8
113	связи с	5	8
114	да и	2	8
115	по поводу	4	8
116	что ни	2	8
117	другой стороны	8	8
118	можно было	2	8
119	бы в	3	8
120	в течение	2	8
121	при всем	3	8
122	что у	3	8
123	что для	4	8
124	в которых	3	8
125	не было	7	8
126	во всех	7	8
127	в себе	6	7
128	в другом	2	7
129	и у	2	7
130	со своим	3	7
131	и к	3	7
132	мы знаем	3	7
133	в связи	4	7
134	что они	3	7
135	во всяком	2	7
136	если в	2	7
137	из этих	7	7
138	хотя бы	20	7
139	в результате	5	7
140	не является	5	7
141	равно как	4	7
142	к его	2	7
143	отнюдь не	4	7
144	конце концов	2	7
145	всяком случае	2	7
146	даже в	5	6
147	в силу	14	6
148	в виду	4	6
149	в области	2	6
150	на вопрос	2	6
151	его от	2	6
152	не приходится	2	6
153	том числе	2	6
154	могут быть	8	6
155	что не	3	6
156	нет и	3	6
157	и он	3	6
158	на это	2	6
159	и как	3	6
160	человека в	2	6
161	после того	2	6
162	на то	2	6
163	в своих	2	6
164	когда он	4	6
165	на этом	2	6
166	главным образом	7	6
167	или в	3	6
168	а не	7	6
169	никогда не	5	5
170	этом отношении	14	5
171	это не	7	5
172	том как	3	5
173	вслед за	3	5
174	в каждом	2	5
175	одним из	5	5
176	роль в	4	5
177	после этого	2	5
178	одном из	4	5
179	по существу	4	5
180	от них	2	5
181	к ним	2	5
182	представить себе	2	5
183	мы имеем	3	5
184	в ее	4	5
185	который в	2	5
186	сказать что	5	5
187	и от	3	5
188	в сознании	4	5
189	т д	16	5
190	от того	2	5
191	именно в	3	5
192	приводит к	6	5
193	он и	2	5
194	жизни и	3	5
195	же самое	2	5
196	не о	2	4
197	чтобы не	2	4
198	которые в	2	4
199	к этим	2	4
200	не столько	2	4
201	видеть в	3	4
202	в пользу	2	4
203	не всегда	2	4
204	видно из	3	4
205	или менее	6	4
206	к сожалению	2	4
207	образом в	3	4
208	многие из	2	4
209	все его	2	4
210	его не	3	4
211	между ними	3	4
212	же как	2	4
213	е в	2	4
214	например в	3	4
215	как известно	2	4
216	одна из	4	4
217	силу этого	4	4
218	чуть ли	2	4
219	стороны и	2	4
220	бы не	2	4
221	него в	3	4
222	и их	3	4
223	у нас	3	4
224	в пределах	5	4
225	следует что	2	4
226	том чтобы	2	4
227	далеко не	3	4
228	каждой из	2	4
229	их в	7	4
230	как видим	9	4
231	из себя	2	4
232	что мы	2	4
233	по его	2	4
234	этой области	3	4
235	не следует	8	4
236	чем же	4	4
237	нет ни	2	3
238	и потому	2	3
239	не могут	10	3
240	всего лишь	3	3
241	вплоть до	2	3
242	при всей	2	3
243	должен быть	4	3
244	если они	2	3
245	а как	2	3
246	том же	6	3
247	в году	7	3
248	она не	3	3
249	они не	2	3
250	он говорит	5	3
251	он в	2	3
252	в известной	2	3
253	от до	2	3
254	этом же	2	3
255	не столь	3	3
256	по этому	10	3
257	ни одного	2	3
258	для них	2	3
259	с ними	4	3
260	было в	2	3
261	также что	2	3
262	мы видели	3	3
263	числе и	2	3
264	нет никаких	2	3
265	ли это	2	3
266	а к	2	3
267	конечном счете	5	3
268	только для	2	3
269	как о	3	3
270	не с	2	3
271	более или	6	3
272	будто бы	2	3
273	по себе	2	3
274	относится к	2	3
275	является не	4	3
276	целого ряда	2	3
277	и есть	5	3
278	как на	3	3
279	еще и	2	2
280	сообщает о	2	2
281	перед нами	5	2
282	очевидно что	7	2
283	показывают что	5	2
284	ни одна	2	2
285	человека и	3	2
286	в конечном	7	2
287	и формы	2	2
288	никак не	3	2
289	это только	4	2
290	у них	2	2
291	начинается с	2	2
292	и при	5	2
293	в основном	7	2
