N	3gram	Losev_Dial	Psycholo
1	в том что	12	78
2	на то что	4	55
3	в самом деле	3	51
4	и т п	3	37
5	о том что	6	34
6	то же самое	3	31
7	с точки зрения	18	29
8	с одной стороны	3	28
9	до сих пор	4	23
10	не может быть	4	23
11	и т д	28	22
12	к тому что	3	20
13	с другой стороны	7	20
14	на самом деле	3	17
15	с самого начала	2	16
16	в зависимости от	2	15
17	во всяком случае	3	14
18	в этом отношении	2	14
19	в то время	2	14
20	само по себе	7	14
21	можно было бы	4	13
22	то время как	2	13
23	и в этом	4	13
24	сам по себе	8	12
25	в конце концов	4	12
26	по сравнению с	2	11
27	сами по себе	4	10
28	не в том	2	10
29	что он не	2	9
30	потому что он	5	9
31	точно так же	3	9
32	и то же	8	8
33	что в нем	4	8
34	друг с другом	2	8
35	так как это	2	7
36	можно сказать что	6	7
37	только то что	6	7
38	одно и то	8	7
39	в этом смысле	4	7
40	потому что она	3	6
41	более или менее	5	6
42	тем не менее	3	6
43	сама по себе	12	6
44	не что иное	4	6
45	так как она	4	6
46	что иное как	4	6
47	друг к другу	2	6
48	никогда не может	2	6
49	и та же	5	6
50	и может быть	3	6
51	по себе не	7	6
52	не только в	2	6
53	ни в каком	9	5
54	в таком случае	2	5
55	потому что они	2	5
56	не было бы	2	5
57	ни в какой	3	5
58	не имеет никакого	3	5
59	в том смысле	4	5
60	и в частности	4	5
61	есть не просто	2	4
62	не значит что	6	4
63	к тому же	2	4
64	ли это что	2	4
65	как будто бы	3	4
66	по себе и	3	4
67	это и есть	3	4
68	вовсе не в	3	4
69	одна и та	5	4
70	того и другого	2	4
71	значит ли это	2	4
72	то или иное	4	4
73	только тогда когда	4	4
74	это вовсе не	2	4
75	только потому что	4	4
76	принять во внимание	2	4
77	и то и	3	3
78	то и другое	3	3
79	может быть и	6	3
80	ничего общего с	3	3
81	несмотря на то	2	3
82	не потому что	5	3
83	потому что и	2	3
84	к выводу что	2	3
85	в нем нет	3	3
86	я не могу	2	3
87	по себе а	2	3
88	в то же	7	3
89	как это мы	2	3
90	иметь в виду	4	3
91	не может и	3	3
92	то же время	8	3
93	том смысле что	3	3
94	той или иной	4	2
95	то что я	2	2
96	было бы и	2	2
97	д и т	3	2
98	по себе так	2	2
99	есть не что	3	2
100	в связи с	3	2
101	так как он	2	2
102	лежащая в основе	2	2
103	по крайней мере	11	2
104	в каком случае	5	2
105	мы находим в	2	2
106	т д все	2	2
107	мы уже знаем	4	2
108	это значит что	16	2
109	может быть в	2	2
110	того что она	2	2
111	д все это	2	2
112	одной стороны и	3	2
113	т д и	3	2
114	как она есть	3	2
115	что это только	2	2
116	так или иначе	3	2
117	когда мы говорим	2	2
118	может быть только	2	2
119	как один из	2	2
120	это и не	2	2
121	уже знаем что	2	2
122	может и не	2	2
