N	2gram	Savitsky_P	FransuaR
1	и в	14	367
2	в этом	10	112
3	и не	12	101
4	в его	2	98
5	прежде всего	3	92
6	не только	17	87
7	но и	6	84
8	как бы	4	82
9	в нем	3	75
10	но в	9	75
11	в том	9	71
12	то же	9	66
13	в них	2	65
14	и с	2	64
15	в то	7	63
16	все это	2	62
17	во всех	2	62
18	же время	7	55
19	что в	4	52
20	в своем	4	51
21	только в	7	48
22	том что	4	45
23	то что	4	41
24	точки зрения	3	37
25	в ней	6	37
26	может быть	5	35
27	в себе	3	34
28	и потому	4	30
29	потому что	3	30
30	не может	4	29
31	не в	5	29
32	из них	2	28
33	и к	4	28
34	том числе	2	27
35	в области	11	25
36	в ее	2	24
37	в частности	2	24
38	например в	2	24
39	но не	3	24
40	это не	3	23
41	и о	5	22
42	а в	4	22
43	и других	2	22
44	не было	2	22
45	именно в	2	21
46	в качестве	9	21
47	в отношении	10	21
48	есть в	2	21
49	и как	3	21
50	а также	4	20
51	как раз	2	20
52	в значительной	2	20
53	с точки	3	20
54	и это	2	20
55	хотя и	3	19
56	в эту	2	19
57	было бы	6	19
58	с другой	5	19
59	одна из	2	18
60	для того	3	17
61	того что	2	17
62	и вот	2	17
63	еще более	2	17
64	а не	2	17
65	между тем	3	16
66	тот же	3	16
67	в начале	2	16
68	начала и	2	16
69	с одной	3	16
70	xix века	6	15
71	как на	2	15
72	мы не	3	14
73	в котором	4	14
74	с этим	2	13
75	в жизни	2	13
76	в мире	2	13
77	и есть	2	13
78	одной стороны	3	13
79	во всей	2	12
80	в пределах	8	12
81	главным образом	2	12
82	в общем	2	11
83	культуры в	2	11
84	время в	2	11
85	с ними	3	11
86	да и	2	10
87	для нас	2	9
88	в которых	5	9
89	же в	4	9
90	отношения к	2	9
91	с тем	3	8
92	и без	3	8
93	если бы	4	8
94	не менее	2	8
95	не будем	2	7
96	никак не	2	7
97	в виде	2	7
98	значительной мере	2	7
99	думать что	2	7
100	и если	4	7
101	тех кто	4	6
102	xix веке	2	6
103	могут быть	3	6
104	для них	2	6
105	было в	2	6
106	между прочим	2	6
107	хотя бы	8	6
108	в xix	2	6
109	не столько	2	6
110	и пр	5	6
111	говорить о	2	6
112	тем самым	3	5
113	к началу	2	5
114	тем более	2	5
115	из важнейших	2	5
116	что мы	3	5
117	есть не	2	5
118	церкви и	2	5
119	должно быть	2	5
120	по сравнению	2	5
121	в ряду	2	5
122	стороны и	2	5
123	не к	2	5
124	так называемые	2	4
125	но к	2	4
126	друг другу	2	4
127	что из	2	4
128	заключается в	3	4
129	точек зрения	2	4
130	если в	2	4
131	есть нечто	2	4
132	и тем	2	4
133	бы ни	2	4
134	в смысле	6	4
135	по себе	4	4
136	мира с	2	4
137	в полной	2	3
138	не о	2	3
139	которое в	2	3
140	духа и	2	3
141	европейской культуры	4	3
142	со стороны	2	3
143	знать что	2	3
144	в которую	2	3
145	большей степени	4	3
146	слова но	2	3
147	в силу	2	3
148	наряду с	3	3
149	на этих	2	3
150	и мучеников	2	3
151	образом на	2	3
152	и весьма	2	3
153	которую мы	2	3
154	г и	2	3
155	в тот	2	3
156	и мы	2	3
157	народа его	2	3
158	мы должны	4	2
159	переход от	2	2
160	как мир	2	2
161	вслед за	3	2
162	в недрах	2	2
163	может и	2	2
164	именно как	2	2
165	быть может	6	2
166	где в	2	2
167	первой половины	4	2
168	по-видимому не	2	2
169	по характеру	2	2
170	теперь в	2	2
171	эта идея	2	2
172	но также	4	2
173	полной мере	2	2
174	где бы	2	2
175	ii в	2	2
