N	2gram	Savitsky_E	KFilosof
1	может быть	6	45
2	в его	2	42
3	не может	9	29
4	и не	14	28
5	и в	37	28
6	в котором	2	24
7	не есть	2	22
8	в себе	9	21
9	только в	9	18
10	в своем	14	17
11	в ее	8	17
12	а не	2	17
13	в этом	12	15
14	не в	5	13
15	точки зрения	23	13
16	но не	5	12
17	к нему	2	12
18	в своей	8	11
19	во всех	6	11
20	и для	3	10
21	с точки	17	10
22	в их	11	9
23	но и	14	9
24	как бы	6	9
25	и все	2	9
26	если бы	2	8
27	со стороны	5	8
28	в мире	2	8
29	жизни и	2	8
30	было бы	8	8
31	то что	6	7
32	отнюдь не	9	7
33	и только	3	7
34	что и	3	7
35	вовсе не	6	7
36	на основе	2	7
37	мира в	4	6
38	в том	11	6
39	не имеет	4	6
40	в смысле	9	6
41	за вычетом	2	6
42	место в	3	6
43	он не	2	6
44	никогда не	3	5
45	не только	18	5
46	но как	2	5
47	хотя бы	15	5
48	то же	15	5
49	жизни в	3	5
50	а в	2	5
51	но в	14	5
52	культуры и	2	5
53	как и	7	5
54	ко всему	2	5
55	именно в	4	5
56	в одном	2	5
57	там где	3	5
58	мира но	2	5
59	в каком	4	4
60	что это	2	4
61	тем самым	5	4
62	том что	6	4
63	что в	21	4
64	ни было	4	4
65	прежде всего	9	4
66	к ним	3	4
67	в своих	2	4
68	мира и	3	4
69	для нас	4	4
70	во всей	2	4
71	должна быть	2	4
72	между тем	8	4
73	лежат в	4	3
74	или иного	4	3
75	того или	4	3
76	в то	16	3
77	мира не	2	3
78	в некотором	4	3
79	тем что	3	3
80	и тем	3	3
81	для того	6	3
82	по своему	7	3
83	и этот	2	3
84	независимо от	4	3
85	о том	3	3
86	поскольку он	2	3
87	в ней	4	3
88	в свою	3	3
89	стороны в	2	3
90	могут быть	2	3
91	этом смысле	3	3
92	тогда когда	2	3
93	и та	2	3
94	и на	6	3
95	на своем	3	3
96	того что	7	3
97	мы не	4	3
98	той или	4	3
99	на язык	2	3
100	бы и	3	3
101	не дает	3	3
102	культурные ценности	2	3
103	могут стать	2	2
104	и то	2	2
105	кажется что	2	2
106	и мы	3	2
107	или иной	4	2
108	и потому	5	2
109	различия в	3	2
110	в данном	3	2
111	ли это	3	2
112	его на	2	2
113	как оно	2	2
114	и эта	2	2
115	дело в	3	2
116	жизни мира	2	2
117	то ни	4	2
118	вопрос о	4	2
119	и как	2	2
120	в виде	5	2
121	и других	2	2
122	в области	11	2
123	так и	10	2
124	отношении к	15	2
125	с тем	3	2
126	как в	3	2
127	этот факт	3	2
128	при условии	2	2
129	от этого	5	2
130	думать что	8	2
131	одна и	2	2
132	можно ли	3	2
133	она не	2	2
134	не из	3	2
135	еще более	2	2
136	не нужно	2	2
137	в процессе	4	2
138	ее от	2	2
139	по себе	4	2
140	потому что	3	2
141	поскольку она	2	2
142	не будет	3	2
143	того чтобы	6	2
144	и того	2	2
145	в качестве	14	2
146	же время	14	2
147	в этой	2	2
148	бы то	4	2
149	будет ли	2	2
