N	3gram	Propp_Morf	Myshleni
1	в том что	4	133
2	с точки зрения	6	89
3	для того чтобы	3	78
4	по отношению к	7	42
5	с одной стороны	2	39
6	в этом отношении	2	30
7	можно было бы	2	28
8	в этом случае	10	27
9	с другой стороны	5	26
10	в собственном смысле	3	26
11	о том что	3	25
12	на то что	3	25
13	не может быть	9	23
14	к тому что	4	22
15	в то время	3	22
16	то время как	3	20
17	во всяком случае	2	18
18	состоит в том	3	18
19	в связи с	9	17
20	в данном случае	2	15
21	подобно тому как	5	14
22	точно так же	2	13
23	тем не менее	6	12
24	то что в	2	10
25	друг на друга	2	10
26	на самом деле	4	9
27	друг к другу	2	9
28	более или менее	2	9
29	собственном смысле слова	3	9
30	как и в	3	9
31	не могут быть	4	8
32	независимо от того	4	8
33	в первом случае	3	7
34	о том как	2	7
35	вопрос о том	2	7
36	не что иное	2	6
37	в обоих случаях	2	6
38	что иное как	2	6
39	и таким образом	2	6
40	но все же	4	5
41	таким образом мы	7	5
42	как мы увидим	5	5
43	к вопросу о	2	4
44	в тех случаях	2	4
45	мы увидим что	2	4
46	тем и другим	2	4
47	но так как	2	4
48	тех случаях когда	2	4
49	мы видим что	11	4
50	бы то ни	3	3
51	то ни было	2	3
52	связи с этим	5	3
53	потому что его	2	3
54	связи функций между	2	3
55	оно может быть	2	3
56	функций между собой	2	3
57	мы имеем в	2	3
58	в настоящее время	3	3
59	наряду с этим	5	2
60	том случае если	2	2
61	может существовать без	2	2
62	не входит в	2	2
63	с того что	2	2
64	в этих случаях	14	2
65	если это так	2	2
66	в том случае	3	2
67	мы увидим ниже	6	2
68	в большинстве случаев	3	2
69	к другу и	2	2
70	начинается с того	2	2
71	приводят к тому	2	2
72	мы уже видели	2	2
