N	3gram	Potebnia_M	RusskieA
1	в том что	22	49
2	и т д	5	21
3	тем не менее	7	14
4	в этом случае	2	12
5	вместе с тем	5	11
6	о том что	5	10
7	в том чтобы	4	9
8	в данном случае	3	8
9	для того чтобы	5	8
10	подобно тому как	3	8
11	мы не можем	5	7
12	не может быть	7	6
13	после того как	2	6
14	к тому что	3	5
15	во всяком случае	3	4
16	в то время	7	4
17	только тогда когда	11	4
18	и многие другие	2	4
19	но вместе с	2	3
20	более или менее	6	3
21	с тем и	3	3
22	по отношению к	10	3
23	с точки зрения	2	3
24	далеко не все	3	3
25	и в том	3	3
26	до сих пор	4	3
27	до тех пор	5	3
28	на то что	3	3
29	в свою очередь	6	3
30	тех пор пока	2	3
31	на самом деле	4	2
32	потому что он	3	2
33	может быть назван	3	2
34	можно сказать что	3	2
35	в этом отношении	2	2
36	в большинстве случаев	2	2
37	но тем не	4	2
38	одно из них	2	2
39	как и в	3	2
40	не только в	4	2
41	с одной стороны	4	2
42	может быть только	4	2
43	и т п	7	2
44	но так как	2	2
45	с другой стороны	4	2
46	не только по	3	2
47	равно как и	2	2
48	мы должны будем	2	2
