N	3gram	Nazirov_Tv	Myslijsy
1	в том что	8	47
2	по отношению к	3	26
3	не может быть	2	19
4	тем не менее	2	18
5	по крайней мере	4	17
6	и т д	10	15
7	там же с	10	15
8	в свою очередь	2	14
9	то же время	18	13
10	в то же	19	13
11	во всяком случае	2	12
12	с другой стороны	2	12
13	и т п	4	11
14	сами по себе	2	11
15	о том что	6	9
16	в таком случае	2	9
17	не могут быть	2	9
18	на самом деле	2	8
19	то есть не	2	8
20	так и в	2	8
21	можно сказать что	2	7
22	как и в	2	7
23	не только в	2	7
24	с самого начала	3	6
25	может быть назван	2	5
26	в данном случае	2	4
27	в том же	3	4
28	на этот вопрос	2	4
29	дело в том	4	4
30	точно так же	3	3
31	но это не	2	3
32	в связи с	2	3
33	это не значит	2	3
34	в одном из	2	3
35	в наше время	4	3
36	и та же	2	2
37	и не может	2	2
38	а может быть	2	2
