N	3gram	Losev_Prob	EvropaiE
1	с точки зрения	9	16
2	в то же	10	15
3	с одной стороны	2	8
4	и в то	2	8
5	в том что	17	6
6	этой точки зрения	2	5
7	для того чтобы	4	5
8	так же как	3	5
9	то ни было	4	4
10	бы то ни	5	4
11	той или иной	16	4
12	не только в	2	4
13	и в этом	6	4
14	того или иного	5	4
15	само по себе	5	4
16	ту или иную	3	3
17	и прежде всего	3	3
18	во всяком случае	8	3
19	же как и	4	3
20	можно сказать что	2	3
21	в этом смысле	5	3
22	хотя бы и	2	3
23	можно было бы	6	3
24	в той или	7	3
25	и только в	3	2
26	в данном случае	12	2
27	с другой стороны	11	2
28	только в том	2	2
29	друг от друга	3	2
30	на то что	2	2
31	и в частности	4	2
32	так и в	2	2
33	как мы видели	2	2
34	заключается в том	5	2
35	по сравнению с	3	2
36	не может быть	5	2
