N	2gram	Vygotskiy_	Freidism
1	и не	20	34
2	таким образом	21	34
3	точки зрения	19	31
4	не может	17	30
5	может быть	33	28
6	и в	65	28
7	в этом	37	28
8	прежде всего	2	26
9	в его	11	25
10	и его	8	22
11	мы можем	12	20
12	как бы	29	19
13	как мы	12	18
14	то что	61	17
15	вовсе не	11	16
16	так как	13	15
17	с точки	11	15
18	все эти	7	15
19	самом деле	33	14
20	так и	3	14
21	в своей	6	14
22	с ним	6	14
23	во всех	4	13
24	и все	14	13
25	но в	5	13
26	как и	12	13
27	том что	28	12
28	то же	17	12
29	что он	23	12
30	мы видели	7	12
31	ни в	6	12
32	в самом	41	12
33	и наконец	2	12
34	для него	4	12
35	все это	12	12
36	сказать что	14	11
37	его в	5	11
38	мы знаем	3	11
39	только в	9	11
40	никогда не	9	10
41	и с	4	10
42	все те	5	10
43	не только	16	10
44	но и	6	10
45	не в	12	10
46	он не	11	10
47	в том	46	10
48	мы уже	12	10
49	все что	2	10
50	один из	7	10
51	что же	3	10
52	тот же	5	10
53	конечно не	6	10
54	мы должны	3	9
55	к этому	5	9
56	те же	2	9
57	совершенно не	8	9
58	к нему	2	9
59	в чем	3	9
60	уже не	2	9
61	и на	7	9
62	мы не	7	9
63	а не	11	9
64	во всяком	6	9
65	с его	2	9
66	все же	10	8
67	с этим	11	8
68	было бы	22	8
69	по мнению	2	8
70	и вот	6	8
71	еще не	3	8
72	а в	9	8
73	знаем что	4	8
74	в ней	23	8
75	на этом	6	8
76	всяком случае	6	8
77	при этом	10	8
78	в каком	8	7
79	так сказать	6	7
80	не могут	2	7
81	до конца	5	7
82	в жизни	6	7
83	в то	5	7
84	в себе	9	7
85	что в	36	7
86	и ее	4	7
87	хотя бы	3	7
88	и для	4	7
89	отношение к	2	7
90	роль в	2	7
91	не является	2	7
92	того что	9	7
93	к смерти	2	7
94	но не	3	7
95	что все	10	7
96	с самого	10	7
97	об этом	4	7
98	связь с	5	7
99	в нем	8	7
100	если мы	19	7
101	и к	5	7
102	из них	10	7
103	и прежде	2	7
104	жизни и	6	7
105	в этой	20	7
106	одно из	4	6
107	на самом	3	6
108	для этого	9	6
109	но мы	4	6
110	мы имеем	2	6
111	из этих	6	6
112	всех этих	2	6
113	для того	18	6
114	в таком	6	6
115	и только	8	6
116	и о	6	6
117	если он	5	6
118	которой мы	4	6
119	она не	10	6
120	к тому	18	6
121	не можем	4	6
122	что такое	2	6
123	можно сказать	2	6
124	в свою	6	6
125	совсем не	3	6
126	здесь в	4	6
127	как раз	14	6
128	и что	29	6
129	во время	4	6
130	в основе	5	6
131	что это	19	5
132	ничего не	4	5
133	со стороны	4	5
134	что она	34	5
135	в которой	8	5
136	можем сказать	2	5
137	и по	2	5
138	со всеми	2	5
139	и те	2	5
140	в этих	3	5
141	на основании	2	5
142	как это	13	5
143	самого начала	10	5
144	увидим что	11	5
145	что и	7	5
146	ее в	7	5
147	тому что	10	5
148	в общем	4	5
149	далеко не	3	5
