N	2gram	Tiupa_Lite	Freidism
1	и не	19	34
2	таким образом	4	34
3	точки зрения	8	31
4	не может	10	30
5	может быть	24	28
6	и в	26	28
7	в этом	19	28
8	прежде всего	14	26
9	в его	9	25
10	и его	7	22
11	как бы	8	19
12	как мы	2	18
13	то что	14	17
14	вовсе не	3	16
15	так как	2	15
16	с точки	4	15
17	все эти	2	15
18	самом деле	2	14
19	так и	7	14
20	в своей	5	14
21	с ним	2	14
22	во всех	4	13
23	в душе	3	13
24	но в	5	13
25	как и	13	13
26	по отношению	6	13
27	том что	19	12
28	то же	13	12
29	что он	8	12
30	в самом	4	12
31	и наконец	2	12
32	для него	6	12
33	его в	4	11
34	отношению к	4	11
35	только в	8	11
36	никогда не	5	10
37	и с	4	10
38	в сознание	3	10
39	за пределы	3	10
40	не только	29	10
41	но и	25	10
42	не в	11	10
43	он не	4	10
44	в том	22	10
45	все что	3	10
46	один из	7	10
47	могут быть	4	9
48	к этому	2	9
49	и др	4	9
50	в чем	2	9
51	уже не	9	9
52	и на	5	9
53	мы не	5	9
54	а не	28	9
55	во всяком	3	9
56	с его	5	9
57	все же	6	8
58	было бы	4	8
59	и вот	2	8
60	еще не	4	8
61	а в	5	8
62	в ней	4	8
63	на этом	3	8
64	всяком случае	2	8
65	при этом	23	8
66	до конца	3	7
67	в жизни	7	7
68	в то	12	7
69	в себе	8	7
70	что в	7	7
71	хотя бы	3	7
72	роль в	2	7
73	я и	10	7
74	не является	3	7
75	того что	7	7
76	к смерти	2	7
77	но не	8	7
78	в нем	4	7
79	из них	5	7
80	и прежде	4	7
81	жизни и	6	7
82	в этой	7	7
83	одно из	3	6
84	для этого	5	6
85	мы имеем	2	6
86	из этих	2	6
87	человека и	2	6
88	не менее	11	6
89	для того	2	6
90	и только	4	6
91	в пределах	4	6
92	к тому	3	6
93	не можем	2	6
94	что такое	2	6
95	в свою	2	6
96	как раз	6	6
97	и что	2	6
98	же время	12	6
99	в основе	5	6
100	по поводу	2	5
101	ничего не	3	5
102	со стороны	6	5
103	тех же	3	5
104	с их	3	5
105	во второй	2	5
106	со всеми	2	5
107	в этих	2	5
108	как это	9	5
109	не знает	3	5
110	что и	3	5
111	далеко не	4	5
112	в своих	5	5
113	только то	3	5
114	это не	4	5
115	той же	5	5
116	отнюдь не	4	5
117	не было	5	5
118	он сам	2	5
119	в себя	5	5
120	вместе с	5	5
121	данном случае	6	4
122	человека в	5	4
123	одна из	8	4
124	но это	2	4
125	в области	5	4
126	с ее	3	4
127	в другом	3	4
128	тем не	4	4
129	этом отношении	5	4
130	в первый	2	4
131	в виду	4	4
132	ничего общего	2	4
133	свою очередь	2	4
134	это как	3	4
135	только на	3	4
136	и за	2	4
137	у него	5	4
138	как в	5	4
139	в своем	12	4
140	едва ли	5	4
141	не тот	2	4
142	так называемый	3	4
143	а только	2	4
144	потому что	5	4
145	о себе	7	4
146	а потому	4	4
147	и т.п	14	4
148	из тех	2	4
149	в целом	10	4
150	себя и	3	4
151	всех своих	3	4
152	в данном	7	4
153	слова и	6	4
154	я не	8	4
155	сводится к	4	4
156	и то	3	3
157	все то	2	3
158	читателя в	2	3
159	в сознании	3	3
160	жизни в	5	3
161	нуждается в	3	3
162	конечном счете	8	3
163	в результате	2	3
164	к себе	3	3
165	и даже	9	3
166	тем же	5	3
167	и как	2	3
168	а как	2	3
169	не остается	2	3
170	одним из	8	3
171	у нас	5	3
172	этого не	2	3
173	такой же	3	3
174	как на	3	3
175	себе и	2	3
176	является по	2	3
177	в какой	2	3
178	в искусстве	4	3
179	не поддается	2	3
180	мы в	3	3
181	из наиболее	2	3
182	и является	2	3
183	от всех	2	3
184	о том	3	3
185	это уже	2	3
186	того же	5	3
187	на почве	2	3
188	освободиться от	2	3
189	в конечном	9	3
190	на себя	4	3
191	приводит к	4	3
192	для всех	5	3
193	в одном	2	3
194	уже в	7	3
195	себя в	7	3
196	сознания в	14	3
197	на это	2	3
198	для них	2	3
199	раз и	2	3
200	мир в	5	3
201	ведь мы	2	3
202	и есть	3	3
203	и сам	6	3
204	в нашем	2	3
205	о которой	2	3
206	во втором	3	3
207	между тем	2	3
208	на основе	2	3
209	до последнего	2	2
210	да и	3	2
211	окружающей его	2	2
212	самого себя	3	2
213	в отношении	2	2
214	чтобы не	2	2
215	особого рода	3	2
216	к этой	2	2
217	нет в	2	2
218	или иной	3	2
219	а также	5	2
220	то в	3	2
221	быть это	4	2
222	отношению ко	2	2
223	из того	3	2
224	для нее	2	2
225	по преимуществу	6	2
226	для своего	2	2
227	дело в	3	2
228	превращается в	2	2
229	такого рода	18	2
230	дело не	2	2
231	не как	4	2
232	в отличие	6	2
233	в конце	6	2
234	на один	2	2
235	как к	4	2
236	для себя	6	2
237	века в	3	2
238	друг друга	5	2
239	должен быть	2	2
240	этого сознания	2	2
241	однако и	2	2
242	и тем	4	2
243	все они	2	2
244	в их	3	2
245	в поле	2	2
246	ни было	2	2
247	к своему	2	2
248	для нас	3	2
249	их не	2	2
250	произведение искусства	8	2
251	отличие от	6	2
252	с одной	9	2
253	должна быть	3	2
254	к объекту	2	2
255	а с	2	2
256	для понимания	2	2
257	в мире	9	2
258	с сыном	2	2
259	не имеет	2	2
260	относится к	3	2
261	также и	3	2
262	не есть	2	2
263	как совокупность	3	2
264	с другой	11	2
265	опыта как	2	2
266	он и	5	2
267	одной стороны	8	2
268	личность не	3	2
269	от других	2	2
270	из которых	3	2
271	представляет собой	5	2
272	но как	3	2
273	ко всему	4	2
274	же как	3	2
275	из этого	2	2
276	в качестве	21	2
277	всю жизнь	2	2
278	художественное творчество	2	2
279	не к	3	2
280	мира в	4	2
281	оказывается не	2	2
282	хх века	12	2
283	в нашей	2	2
