N	3gram	Vygotskiy_	Mirosoze
1	не может быть	8	28
2	в том что	30	9
3	для того чтобы	19	7
4	в высшей степени	7	7
5	друг к другу	2	6
6	о том что	10	6
7	есть прежде всего	2	6
8	вместе с тем	5	6
9	прежде всего в	2	5
10	до сих пор	4	5
11	мы увидим что	2	5
12	от того что	2	4
13	по отношению к	11	4
14	что он не	2	4
15	на то что	9	4
16	и в самом	2	4
17	то время как	4	4
18	потому что он	3	4
19	можно было бы	6	4
20	в то время	5	4
21	во всяком случае	5	3
22	том что он	2	3
23	в значительной степени	2	3
24	одной и той	2	3
25	как и в	2	3
26	же как и	4	3
27	как и все	2	3
28	и той же	2	3
29	к тому что	3	3
30	на протяжении всего	2	3
31	так же как	6	3
32	так как он	3	3
33	по сравнению с	9	3
34	все более и	3	2
35	по своей природе	3	2
36	смысле этого слова	6	2
37	в своей книге	2	2
38	подобно тому как	2	2
39	в этом отношении	6	2
40	том что в	3	2
41	к тому чтобы	2	2
42	более и более	3	2
