N	2gram	Tiupa_Hudo	Istorich
1	и в	34	181
2	и т	15	160
3	т д	5	142
4	т е	6	133
5	может быть	12	115
6	не только	22	114
7	что он	14	111
8	что в	8	90
9	но и	13	85
10	в этом	22	81
11	так как	2	75
12	то что	13	73
13	вместе с	2	71
14	и не	15	67
15	все же	5	65
16	в этих	7	64
17	еще не	10	63
18	не может	10	61
19	так же	3	57
20	то же	14	56
21	никогда не	8	56
22	в том	24	53
23	том что	31	53
24	с другой	4	52
25	а в	11	52
26	потому что	7	52
27	что и	3	51
28	и что	3	51
29	о том	21	48
30	а не	23	48
31	его в	5	47
32	не в	16	47
33	превращается в	6	45
34	но в	6	44
35	это не	12	43
36	и его	8	43
37	мы знаем	4	42
38	в нем	5	42
39	только в	8	42
40	как в	11	42
41	или в	3	39
42	в его	17	38
43	для нас	4	38
44	тем что	6	38
45	и на	6	38
46	так и	19	37
47	он не	8	37
48	уже не	12	37
49	как и	16	37
50	мы уже	7	37
51	знаем что	2	36
52	что они	4	35
53	все эти	4	35
54	мы не	2	35
55	что это	2	34
56	но не	7	34
57	связи с	4	34
58	этого мотива	2	34
59	у него	13	34
60	там где	2	33
61	же как	4	33
62	об этом	8	33
63	сих пор	3	32
64	в качестве	13	32
65	так в	2	31
66	ничего не	11	31
67	прежде всего	12	31
68	один из	6	31
69	с этим	3	30
70	в русской	4	30
71	до сих	3	30
72	с одной	4	30
73	к нему	2	30
74	но все	2	29
75	как мы	5	29
76	одной стороны	4	29
77	но это	2	29
78	например в	3	28
79	что она	10	28
80	и другие	5	28
81	и с	10	28
82	как он	4	27
83	так что	3	27
84	героя в	2	27
85	того что	5	27
86	в ней	6	26
87	как это	8	26
88	представляют собой	2	26
89	на него	3	26
90	вопрос о	2	25
91	в дальнейшем	2	25
92	и он	6	25
93	было бы	8	24
94	если бы	7	24
95	в виде	2	24
96	не менее	9	24
97	видно что	3	24
98	все это	2	23
99	когда он	2	23
100	тем не	7	23
101	в частности	10	23
102	в этой	11	23
103	их в	2	23
104	и это	7	23
105	как бы	11	23
106	при этом	21	22
107	и по	3	22
108	с ним	6	22
109	в одном	3	21
110	сказать что	3	21
111	в другом	3	21
112	к тому	11	21
113	они не	2	21
114	здесь не	2	21
115	в связи	3	21
116	она не	6	20
117	одна из	4	20
118	в других	4	20
119	из них	5	20
120	в силу	2	20
121	наряду с	4	20
122	из этих	3	20
123	что у	4	19
124	все еще	3	19
125	с собой	2	19
126	в другой	2	19
127	на том	3	19
128	есть и	3	19
129	живет в	2	19
130	на то	4	19
131	но он	3	19
132	не все	2	18
133	в данном	3	18
134	вовсе не	2	18
135	в то	12	18
136	и говорит	2	18
137	нас к	2	17
138	то и	5	17
139	и только	2	17
140	том как	5	17
141	в них	3	17
142	дело не	2	17
143	со стороны	6	16
144	и она	2	16
145	перед нами	13	16
146	и все	10	16
147	в котором	5	16
148	во всех	2	16
149	данном случае	3	15
150	в целом	2	15
151	на его	2	15
152	в своей	15	15
153	уже знаем	2	15
154	даже в	4	15
155	и то	2	15
156	его и	2	15
157	в пределах	4	15
158	друг друга	5	15
159	и даже	4	15
160	как будто	7	15
161	в одной	3	15
162	и тем	2	15
163	он в	2	15
164	что при	3	15
165	от него	3	14
166	отношение к	3	14
167	но мы	2	14
168	с того	4	14
169	а также	4	14
170	с этой	3	14
171	на смену	2	14
172	в него	2	14
173	на вопрос	2	14
174	можно было	6	14
175	отношению к	15	14
176	и ее	3	14
177	одной из	5	14
178	по отношению	15	14
179	на себя	3	14
180	него и	2	14
181	к своему	2	13
182	своего рода	19	13
183	и для	5	13
184	все что	4	13
185	и от	6	13
186	тогда как	10	13
187	на этом	5	13
188	в своем	9	13
189	и у	3	13
190	не имеет	2	13
191	в себе	19	13
192	с ними	3	13
193	в форме	2	13
194	по себе	3	13
195	с мотивом	2	12
196	у нее	10	12
197	в их	2	12
198	к этой	4	12
199	и герой	2	12
200	как только	3	12
201	хотя бы	2	12
202	за ним	3	12
203	к себе	8	12
204	о нем	4	12
205	не знает	2	12
206	что не	4	12
207	к ней	2	12
208	от этого	2	11
209	и более	2	11
210	точки зрения	7	11
211	хотя и	3	11
212	уже в	2	11
213	человека в	10	11
214	же в	3	11
215	ясно что	2	11
216	я не	8	11
217	такой же	3	11
218	приходит к	3	10
219	что же	4	10
220	в ее	16	10
221	и тот	2	10
222	вступает в	2	10
223	говорит о	4	10
224	но как	3	10
225	вслед за	3	10
226	как правило	6	10
227	не знаем	2	10
228	ее на	3	10
229	на земле	2	10
230	начинается с	2	10
231	там же	2	10
232	он и	2	10
233	на основе	2	10
234	в состоянии	3	10
235	не как	3	10
236	а с	5	10
237	то чего	2	10
238	в которой	2	10
239	ни в	5	10
240	о чем	9	10
241	в это	4	10
242	не было	8	10
243	себя в	11	10
244	и к	6	10
245	а как	2	9
246	в основе	3	9
247	за него	2	9
248	это так	3	9
249	которой он	2	9
250	она в	5	9
251	в себя	3	9
252	а по	2	9
253	это и	2	9
254	следующим образом	3	9
255	жизни и	10	9
256	в первую	2	9
257	героя и	5	9
258	что на	4	9
259	том чтобы	2	9
260	же не	3	9
261	только на	6	9
262	себе в	2	9
263	с его	9	9
264	и так	3	9
265	приводит к	5	9
266	ему в	3	9
267	тем самым	2	8
268	не имеют	3	8
269	роль в	2	8
270	одно из	4	8
271	только что	4	8
272	именно в	9	8
273	тому как	4	8
274	или даже	2	8
275	именно на	2	8
276	на это	2	8
277	в жизни	9	8
278	подобно тому	4	8
279	же самое	4	8
280	и потому	3	8
281	и другое	2	8
282	та же	5	8
283	но с	3	8
284	и стал	2	8
285	и эта	3	8
286	и сам	3	8
287	можно сказать	9	8
288	с другими	2	8
289	не с	2	8
290	во сне	3	8
291	на самом	2	7
292	в конце	5	7
293	и о	8	7
294	а только	4	7
295	состоит в	8	7
296	однако в	4	7
297	того чтобы	6	7
298	этот момент	3	7
299	если в	4	7
300	тех же	2	7
301	как у	2	7
302	себе и	3	7
303	еще одна	3	7
304	еще в	4	7
305	о которых	2	7
306	когда мы	2	7
307	тому что	8	7
308	а то	2	7
309	как она	3	7
310	и когда	4	7
311	в начале	3	7
312	также в	2	7
313	что я	4	7
